#/home/enes/bim/BIM.py trees/ir8040186.trees,trees/ir8040187.trees,trees/ir8040188.trees,trees/ir8040189.trees,trees/ir8040190.trees,trees/ir8040191.trees,trees/ir8040192.trees,trees/ir8040193.trees,trees/ir8040194.trees,trees/ir8040195.trees,trees/ir8040196.trees,trees/ir8040197.trees,trees/ir8040198.trees,trees/ir8040199.trees,trees/ir8040200.trees,trees/ir8040201.trees 250 --stats=all --eta=etas/BC.json --out=outs/681536786.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,FulD,ZngE,FerL,bsfs,btree,Colless,path
0,10001.0,250,86,1.252501245079794,0.11810604974426275,-1.5037543848650903,0.4347918557870409,0.15197937854564614,0.9563898148884691,-0.7004808539384233,0.047623130091523594,ir8040186.trees
0,10001.0,250,67,1.9847780623338473,0.12527862874328155,-1.3365864839977537,1.047572487777388,-0.21252191330909187,3.779425903112791,-0.35228362321380813,0.042648600266167305,ir8040187.trees
0,10001.0,250,89,1.6344959440681404,0.03367276497423269,-1.761425587796573,1.2621735545319586,-0.6608191966247345,1.2877738549045348,-0.11453545172225031,0.03941572742583237,ir8040188.trees
0,10001.0,250,86,2.116087480196334,0.16727446402431256,-1.7156462720731365,0.9204220287219828,0.026675922243743534,1.6172005218482781,-0.27732898754111407,0.04041048988581053,ir8040189.trees
0,10001.0,250,96,1.5914033939423347,0.13896520882654656,-1.0944250393384773,0.6137476631463739,0.11998643245159975,1.3673611550785203,0.21633142114680584,0.03491555355547828,ir8040190.trees
0,10001.0,250,109,2.1769860541743964,0.16070516850452196,-1.6669549778795278,1.0083078727222352,-0.040514253267538346,1.9887064108426058,-1.004635093209839,0.04951449422883547,ir8040191.trees
0,10001.0,250,90,1.728793718997527,-0.011465445401086809,-1.7760401745358605,1.6075396471622245,-1.035960054125012,0.8608782443148377,-0.24069845280156069,0.04195745112286454,ir8040192.trees
0,10001.0,250,78,1.7869802786584612,0.12417177045617833,-0.4150394049204692,0.8769557582916218,-0.10399179644781813,1.5499854416113628,-0.07892543556916749,0.03489765513667574,ir8040193.trees
0,10001.0,250,83,0.8311910503637687,0.05888797016149638,-1.0092480510360406,0.4010303209884804,-0.03892803243771174,0.10876801237701136,-0.7636943908385961,0.04519626894675476,ir8040194.trees
0,10001.0,250,96,2.1129923975008977,0.03965751088578607,-0.7128238890726217,1.6567991621359501,-0.8825213230941915,1.2480279280755455,-0.5275916975944142,0.043456982050064055,ir8040195.trees
0,10001.0,250,66,0.7882652998697953,0.05514476793357143,-0.4947585593334031,0.38584069344137695,-0.04720106448439992,1.8067358487042822,-2.046419896931475,0.06206762534006995,ir8040196.trees
0,10001.0,250,94,2.0497458044946675,0.06451102389946611,-1.8315346116705407,1.4553810471643212,-0.6689600882739407,1.6369690271635151,-0.01420461897704158,0.038059765945502436,ir8040197.trees
0,10001.0,250,76,2.000932794976449,0.09864600324273327,-1.3001975058694988,1.2124387740799916,-0.40293309470584127,2.846534345254519,-0.7145702480784855,0.04403636049574643,ir8040198.trees
0,10001.0,250,89,1.4962142122234745,0.07511210175148247,-1.3512455721990102,0.8995498855034233,-0.2882094190578686,1.188825492115801,-1.0256650279173358,0.05209655827611522,ir8040199.trees
0,10001.0,250,90,1.6115147744580192,0.11909749001584843,-1.776040174535861,0.7480583385873105,-0.03678029174450758,2.0393754052424327,0.033101249177669496,0.03705313614389647,ir8040200.trees
0,10001.0,250,94,2.284119740516195,0.15180547396520447,-1.6368588868981766,1.158076163785292,-0.1715550042623131,2.0684891119170326,-1.2358847931742607,0.05373585141042065,ir8040201.trees
