#/home/enes/bim/BIM.py trees/r8020136.trees,trees/r8020137.trees,trees/r8020138.trees,trees/r8020139.trees,trees/r8020140.trees,trees/r8020141.trees,trees/r8020142.trees,trees/r8020143.trees,trees/r8020144.trees,trees/r8020145.trees,trees/r8020146.trees,trees/r8020147.trees,trees/r8020148.trees,trees/r8020149.trees,trees/r8020150.trees,trees/r8020151.trees,trees/r8020152.trees 250 --stats=all --eta=etas/BC.json --out=outs/491774874.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,bsfs,FerL,TajD,FayH,Colless,btree,path
0,10001.0,250,75,-0.5533239085139716,1.7310677504681848,1.5638684118018675,-1.0412838606387171,2.0094626778210682,0.008798124830366757,0.036250069402032084,0.00792770516114426,r8020136.trees
0,10001.0,250,68,-0.5678189987086351,-0.02574375677608097,1.4491076601832467,0.5765043709811718,0.9948096796203026,0.16055023191633647,0.03634025348706654,-0.05362161752947293,r8020137.trees
0,10001.0,250,61,0.00032417597643893617,0.8456806745895876,1.9687808095086439,-0.2509030309929127,1.4626889724722665,0.07922293127410082,0.029278403938333985,0.4666444715587916,r8020138.trees
0,10001.0,250,98,-1.13439575713901,1.0146346573490799,3.3060980315359156,-0.16862490197455468,1.9656704587768745,0.1274783808349672,0.03298490285221908,0.2603952351727065,r8020139.trees
0,10001.0,250,90,0.8619048437696767,0.3186809477438834,1.0418706933056903,0.029305052903201016,0.7680308361859104,0.06330421616507488,0.0340466966722248,0.032071555716534354,r8020140.trees
0,10001.0,250,65,-1.00863923187772,1.0498068678557062,1.568897563781192,-0.32562698774107435,1.7852354840546698,0.09354993370560377,0.03354499592297083,0.24787091707556974,r8020141.trees
0,10001.0,250,70,-0.12206448590580027,0.24130150176294238,1.1198624469699674,0.20397663898113105,0.9180512116922503,0.10096181321828274,0.03271149112579349,0.3631711934366972,r8020142.trees
0,10001.0,250,80,-0.02571372505386004,0.7009383464697632,1.7029979884763078,-0.21911882242229344,1.1798608392806502,0.06064326383520659,0.03442637381619116,0.23259338578435895,r8020143.trees
0,10001.0,250,69,-0.86380828017442,1.1482733728675791,3.957352492511512,-0.42253175603302223,1.8270329744451952,0.0826704628339862,0.02977458219976681,0.2807525718241736,r8020144.trees
0,10001.0,250,70,-0.8943969174224436,0.428718924118341,2.1383004711024403,0.06545456095583996,1.08914300656156,0.09456756504779149,0.03530585076680471,0.19250176020039897,r8020145.trees
0,10001.0,250,93,-0.44137633547331095,1.4288481125461465,1.4086056359386494,-0.7997736172395555,1.7540820174695453,0.023535430646578676,0.029973725547350696,0.5114219006150674,r8020146.trees
0,10001.0,250,84,-1.9000875425877366,0.5949783073230198,1.459476316706455,-0.013312549565718266,1.3133949553883797,0.09976278642760872,0.03616934531294056,-0.13966455666805022,r8020147.trees
0,10001.0,250,66,0.3214616444662292,0.3742712525555232,1.2567496187924472,0.1128134143766022,1.0546131404028587,0.09905237479839207,0.0318399698500748,0.2716063355195914,r8020148.trees
0,10001.0,250,74,-0.2760231599475562,0.5134626551033016,1.806061385124039,-0.08161400878158602,1.0104039929274122,0.06718328593041492,0.026743336984300845,0.8553688788546644,r8020149.trees
0,10001.0,250,63,-1.51379019011206,0.4942445668459776,1.8111063471867657,0.22053242871733517,1.5260737114376235,0.15211088039887227,0.026351263817256828,0.7365211642144489,r8020150.trees
0,10001.0,250,62,-0.04696560822816678,0.259500561957044,1.3724700882335061,0.16178930738089206,0.8860083315110212,0.09330521874714953,0.03078945369911236,0.3671775222330353,r8020151.trees
0,10001.0,250,77,1.500903481144,-0.13562054268199905,1.7785403392967305,0.4888643649115513,0.5839671695882874,0.11461557434822539,0.04040831256715667,-0.4916537350117705,r8020152.trees
