#/home/enes/bim/BIM.py trees/ir3060040.trees,trees/ir3060041.trees,trees/ir3060042.trees,trees/ir3060043.trees,trees/ir3060044.trees,trees/ir3060045.trees,trees/ir3060046.trees,trees/ir3060047.trees,trees/ir3060048.trees,trees/ir3060049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/384844045.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,FerL,FayH,FulD,TajD,btree,Colless,path
0,100001.0,50,355,-3.142352313549121,0.7951137485335056,-1.5294533042425917,-0.25570948116148884,1.0042653825262895,-1.0574031894463454,-2.4386753223221183,0.2302674494455317,ir3060040.trees
0,100001.0,50,373,-0.973741067690688,1.106607433349422,-1.2843023141045935,-0.1550672229229523,0.0038277966779611474,-0.03666015088599689,-1.3259512425150655,0.1757681094415789,ir3060041.trees
0,100001.0,50,410,-2.557954955137136,0.32335335129696535,-0.8238703094684516,-0.15161661264528054,0.8983977616805222,-0.7723665229059742,-1.1276057669934165,0.19388622796057195,ir3060042.trees
0,100001.0,50,361,-2.4182461487808675,0.33158989872665995,-0.8513127183599436,-0.15733755928898166,0.6051285499819433,-0.8037492589228805,-1.8526004415400519,0.2181393834129397,ir3060043.trees
0,100001.0,50,361,-0.6841223365516484,0.686972464411313,-0.8677710345558267,-0.11306297968887101,-0.29660410610813653,-0.14245633814498265,-1.169089440164586,0.1783529925731761,ir3060044.trees
0,100001.0,50,353,-3.8002532816931764,0.5833104624795976,-1.4913098053445932,-0.2753982814036217,1.8667456663019424,-1.4035054402722729,-2.849867389407865,0.24890164399092976,ir3060045.trees
0,100001.0,50,511,-1.0982829876908726,1.4805408988239503,-1.8310758811456551,-0.23327172915285616,-0.829155508683905,-0.24196248461202727,-0.9120380015419661,0.20079858030168593,ir3060046.trees
0,100001.0,50,333,-1.2963342006541896,0.27014435193894615,-0.6703124316224912,-0.12283714455047778,0.26586760315553437,-0.6156947004036888,-2.2367295155953864,0.27080708826740574,ir3060047.trees
0,100001.0,50,445,-0.45895222098800936,1.353782349871262,-1.4630972872606727,-0.16364281893821564,-0.163357458526021,0.1375213079780642,-1.4601807380521747,0.20111489040060468,ir3060048.trees
0,100001.0,50,344,-2.2591802903433313,0.10721961352432763,-0.5200323423572011,-0.10913335713876944,1.6142504438282175,-0.6761809195072078,-1.255488082946562,0.18895704349155396,ir3060049.trees
