#/home/enes/bim/BIM.py trees/ir8100005.trees,trees/ir8100006.trees,trees/ir8100007.trees,trees/ir8100008.trees,trees/ir8100009.trees,trees/ir8100010.trees,trees/ir8100011.trees,trees/ir8100012.trees,trees/ir8100013.trees,trees/ir8100014.trees,trees/ir8100015.trees,trees/ir8100016.trees,trees/ir8100017.trees,trees/ir8100018.trees,trees/ir8100019.trees,trees/ir8100020.trees,trees/ir8100021.trees 250 --stats=all --eta=etas/BC.json --out=outs/761512206.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,FerL,bsfs,TajD,FayH,btree,Colless,path
0,10001.0,250,109,-2.004844134468003,1.4747149969075624,-0.5290219586465974,2.3892175091922168,2.336431740516348,0.10556180721025923,-0.8248366790183231,0.046786223233949625,ir8100005.trees
0,10001.0,250,114,-0.920162022936404,2.072355800207035,-1.103624520751262,2.4730031558859613,2.6300982633563557,0.04885737943448472,-0.45960456943948874,0.043045631658146226,ir8100006.trees
0,10001.0,250,122,-1.0607539054103245,2.0579962112663823,-0.9317620396774957,2.5164302652132995,2.902721460445195,0.09317642213721476,-1.7013047054735,0.05555915417944178,ir8100007.trees
0,10001.0,250,78,-0.8799471540862621,2.126414196771716,-0.9728312126962235,3.806399109147761,3.0218947548040407,0.0973013568587247,-1.0877578545685742,0.05083056239294094,ir8100008.trees
0,10001.0,250,103,-0.5143206798988201,1.2514195369281704,-0.4047794506359318,2.947449237565884,2.0655149308936616,0.1021808380278676,-0.9878942002094209,0.0494425519916478,ir8100009.trees
0,10001.0,250,122,-2.5765959989567713,1.2313074057408147,-0.3071878857293769,1.7488875842921794,2.1872196414142673,0.12424855884089708,-0.5977764391596333,0.04526783440770869,ir8100010.trees
0,10001.0,250,106,-1.8004097934486367,1.3135847117759274,-0.28954675128285357,4.029830692740623,2.4107184676941578,0.14439401751524206,-0.1409500980593269,0.03634479266037758,ir8100011.trees
0,10001.0,250,110,-1.3449093760664421,2.1996617293201606,-1.0628776346876359,1.9322921326409723,2.990240282525941,0.08192695720644119,-1.5671434061794294,0.05986742669603144,ir8100012.trees
0,10001.0,250,115,-1.7410771423375533,1.662872257150173,-0.6323810965905797,2.3167365024763225,2.5661572966254313,0.10871424581296008,-0.6204145684199991,0.048387096774193554,ir8100013.trees
0,10001.0,250,106,-0.9327529447566322,1.4496496780841008,-0.3725848041686806,1.876536475528649,2.5646637907854575,0.14470273031801859,-0.6085953062210879,0.04467248647194236,ir8100014.trees
0,10001.0,250,116,-0.7979283768434265,1.222725178432706,-0.32561094323670065,1.6830220703071452,2.137637087541641,0.11815386260195754,-1.1530731437620443,0.053656050347399786,ir8100015.trees
0,10001.0,250,100,-1.3563329208510961,1.676060212990719,-0.5728832160969111,2.644595678748174,2.7131417448639934,0.12864559238669673,-1.7988355176380968,0.06220851146521571,ir8100016.trees
0,10001.0,250,99,-0.783264018592459,1.7315749477462552,-0.9711566116233854,1.478447144054669,2.1180041487297037,0.027776118597114006,-1.0419695238361382,0.05436492513834138,ir8100017.trees
0,10001.0,250,103,-0.8710695098130109,0.7725303705036052,0.15070343278644593,1.8376677091400233,1.9987326961147043,0.17391246745879738,-0.9874125506266204,0.04928442422441188,ir8100018.trees
0,10001.0,250,109,-1.4980103995852898,1.8894342390123773,-0.7441970047073891,2.1588720456618415,2.8736782134611527,0.11694538711774254,-0.7497390862578914,0.04652558004676154,ir8100019.trees
0,10001.0,250,104,-1.4222003839254311,2.2962530890822364,-1.2616321080861967,4.431246052769316,2.8518617256508074,0.04388090486311528,-0.3122305126726543,0.04193548387096774,ir8100020.trees
0,10001.0,250,88,-0.9172626160136287,1.5964294051595473,-0.908322465346228,1.4365094572734713,1.9366568498436338,0.022346500939980356,-1.1252353228590197,0.053731053245239024,ir8100021.trees
