#/home/enes/bim/BIM.py trees/ir3040050.trees,trees/ir3040051.trees,trees/ir3040052.trees,trees/ir3040053.trees,trees/ir3040054.trees,trees/ir3040055.trees,trees/ir3040056.trees,trees/ir3040057.trees,trees/ir3040058.trees,trees/ir3040059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/525306825.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FayH,FulD,FerL,ZngE,bsfs,btree,Colless,path
0,100001.0,50,426,0.006268777152404798,0.05730560392080836,0.15009377754055453,0.479956531214365,-0.4175058517214775,0.4059815178860118,-0.4889082969329579,0.12585807050092773,ir3040050.trees
0,100001.0,50,504,0.17652137107871047,-0.015743083647947784,-0.20650202324701294,-0.2373403769817645,0.2994623278393996,0.16731717140362884,-0.24696028607897996,0.13740929705215416,ir3040051.trees
0,100001.0,50,413,-0.054787630193054694,0.02136649498452299,-0.02847156021156877,0.21251821775015323,-0.21457933919446773,-0.10618663933036622,-0.6995809083200859,0.1509603841536614,ir3040052.trees
0,100001.0,50,403,-0.15581878667025345,-0.06356338794686964,0.3831802941208372,-0.44421805758684424,0.30892456758664927,-0.490611757117864,-0.9373238277459325,0.17830924036281176,ir3040053.trees
0,100001.0,50,416,0.022772269012128435,0.01013933288324287,0.5532263843064159,0.0721264599124446,-0.05146451426598285,-0.009469448395780154,-0.052831646222177564,0.1291231608922638,ir3040054.trees
0,100001.0,50,365,0.010469362491690417,0.00448806804441695,1.2922519269884658,0.031620498325908096,-0.022310915759900234,-0.39227146054052386,-0.5010200073858957,0.15685060431939765,ir3040055.trees
0,100001.0,50,283,0.06400512593144204,-0.0559370971364167,0.05740228656431255,-0.5060127030019094,0.4760040610329283,-0.26865303526280265,-0.7192065525637238,0.16028359395706332,ir3040056.trees
0,100001.0,50,448,0.027752062128224605,-0.02739875026796755,-0.11817581430178307,-0.24777684579029302,0.23157453065853442,-0.0677962273242056,-0.17433274510025654,0.13114631817639333,ir3040057.trees
0,100001.0,50,590,-0.04158066496897083,-0.05846633724913334,-0.028524342406990595,-0.47101900473098995,0.3916146672812709,-0.3985976424607714,-0.7616611427714411,0.16306755260243627,ir3040058.trees
0,100001.0,50,417,0.20299189040849247,-0.029405546941845894,0.9347014662266546,-0.3676898926481811,0.42714802894464693,0.10965371272042011,-0.11902823149509491,0.12249107563817606,ir3040059.trees
