start,end,N,SS,FerL,FayH,ZngE,bsfs,TajD,FulD,Colless,btree,path,iColless,ibtree
0,100001,50,346,-0.6020024826607842,-0.0959664582450568,0.3478001259022284,-0.5466055103058929,-0.3486630876968612,1.286721703966648,0.16318620471444387,-1.0410611467713011,3060000,0.23187781606148966,-2.2878835663659247
0,100001,50,307,-0.4088695570498219,-0.10523851101523672,-0.05709360223839735,-2.2128890789523576,-0.8070653587557081,2.347479020287472,0.16133937018516026,-1.0449298640264821,3060001,0.2037096088435374,-2.0491075235461924
0,100001,50,348,-1.1831025332389389,-0.2260044121808555,0.40773335454504944,-2.4475698266724883,-1.2203413297341241,1.0054380257665358,0.20135816564388007,-1.7188342884100856,3060002,0.2540791678990437,-2.3816486049279404
0,100001,50,411,-1.3009251772696109,-0.17617716100518024,0.97804934772553,-1.1914206021010572,-0.3142931486793713,0.3116991447029634,0.17645732326079594,-1.2594574483537342,3060003,0.2009940881114351,-1.6571469155689067
0,100001,50,360,-0.7185175533800605,-0.17165182911202415,-0.0066533438097826116,-2.8894879479796485,-1.2341110146270922,1.972262436333552,0.233695908919123,-2.3984247363660374,3060004,0.24415245550274894,-2.133829453286576
0,100001,50,441,-1.1068312384708001,-0.19101791179671035,0.5265884759203066,-2.0003166506238492,-0.8587570072189303,0.9064923449331328,0.2445694186765614,-2.2994067513581213,3060005,0.2640005497148355,-2.412101415791601
0,100001,50,338,-0.5851673643851992,-0.11450134285087328,0.1820864026382725,-0.9018933184288028,-0.6417439846588572,1.132214071872214,0.15592055535664548,-0.8784234263091661,3060006,0.2044584879406308,-1.8024026349561741
0,100001,50,353,-0.8426253330198249,-0.15156904824131784,0.3593480217552056,-1.781503340021248,-0.7352707994360967,1.1542745217487285,0.19232764027596852,-1.4760295600012618,3060007,0.21424874297545105,-1.9951091743432143
0,100001,50,392,-1.2321115450192768,-0.15906101434820213,0.9847707349718642,-0.7156553352163408,-0.1843348944946666,0.03299001670200338,0.1447140080522006,-0.5538632092094882,3060008,0.2163508260447036,-2.1447215170161984
0,100001,50,325,-0.2203259692242054,-0.03862544413385678,0.1018096160361272,-0.20241061019323425,-0.1771369488261829,1.672536086586124,0.155202368717271,-0.5642490341208749,3060009,0.1309141634181763,-0.11611635257569278
