#/home/enes/bim/BIM.py trees/ir8080186.trees,trees/ir8080187.trees,trees/ir8080188.trees,trees/ir8080189.trees,trees/ir8080190.trees,trees/ir8080191.trees,trees/ir8080192.trees,trees/ir8080193.trees,trees/ir8080194.trees,trees/ir8080195.trees,trees/ir8080196.trees,trees/ir8080197.trees,trees/ir8080198.trees,trees/ir8080199.trees,trees/ir8080200.trees,trees/ir8080201.trees 250 --stats=all --eta=etas/BC.json --out=outs/446558855.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,FerL,FayH,ZngE,TajD,btree,Colless,path
0,10001.0,250,65,-0.18065470877793824,5.3681438968286725,-0.6523840282403908,0.03597173191804717,1.2540960424381902,1.6508160207543265,-0.5968923564038905,0.0454074361963985,ir8080186.trees
0,10001.0,250,103,-1.227818339727202,1.1356533165891343,-0.9402030625009458,0.04005883487884259,1.7540287825464553,2.2215445476525972,-0.19600928812652604,0.03895767401402846,ir8080187.trees
0,10001.0,250,92,-1.406938276726918,4.2574211156750055,-1.2386235857767958,0.06362189858330877,2.369999794298002,3.0697801495527783,-0.7505117671772444,0.044565358207021635,ir8080188.trees
0,10001.0,250,64,-0.4174263314956757,5.201918765624304,-0.9291422623565352,0.044578864419656236,1.748267875317712,2.2667619738641283,-0.9600210488981439,0.04765297750140346,ir8080189.trees
0,10001.0,250,53,-1.898216121126221,5.0666113499168235,-1.2789110359909472,0.03321466272910652,2.242523097678674,2.7717014293735014,-1.09277825620728,0.04691346029278404,ir8080190.trees
0,10001.0,250,68,-1.3614877967535142,6.365845895171153,-1.3611166950145808,0.048881540377755016,2.4716296562845064,3.1098573407876113,-1.4509641513780425,0.05282959796173942,ir8080191.trees
0,10001.0,250,133,-1.087908237413959,3.1596013451580798,-0.24080895372609465,0.13818449279457706,1.2107012100832713,2.2563120485383124,-1.1009534808239527,0.05174821148392856,ir8080192.trees
0,10001.0,250,118,-1.7754180902955403,1.7044516238401615,-0.2651098737199832,0.181785426941052,1.500977969713866,2.8654016512531206,-0.3904638400055355,0.041555801369248704,ir8080193.trees
0,10001.0,250,63,-1.51379019011206,3.867561145103087,-0.4186068319100757,0.09841639018123922,1.2250881302764853,2.0151870772762437,-0.9352118707449778,0.04749319860085503,ir8080194.trees
0,10001.0,250,75,-1.2770264240783535,5.576344237912036,-0.9699505534019088,0.059681378206978546,1.9053884633880618,2.532721879248626,-1.7858004424762162,0.05838191475579738,ir8080195.trees
0,10001.0,250,60,-1.4380872487163567,5.777472289651704,-1.5250249944239846,0.025792002186049916,2.6023732702285396,3.123143121885527,0.17584203231110823,0.029407954398238113,ir8080196.trees
0,10001.0,250,91,-1.790349059764611,1.9402470211924308,-0.8003231973276604,0.12819412854205378,2.035069066269527,3.113869947101686,-0.35693775244546383,0.040928691725427055,ir8080197.trees
0,10001.0,250,80,-1.160451487086992,6.363608791502063,-1.8273683820562097,0.03646743460260062,3.159681769993954,3.7921164882043574,-2.2403159876408005,0.06810190069031888,ir8080198.trees
0,10001.0,250,75,-0.31208973665917794,3.097054823064834,-1.4524876315389192,0.038073685959575,2.561452624327895,3.134206831568727,-0.7834758430223434,0.044200997538541266,ir8080199.trees
0,10001.0,250,81,-0.7350513850614838,3.597427545587679,-0.5215066380860359,0.12807038555608632,1.5760453328085953,2.599396945005513,-1.2779049535060882,0.05353348879388522,ir8080200.trees
0,10001.0,250,71,-0.4161151127860697,6.628219747783291,-1.7537978431172028,0.019148080720376787,2.938846712032501,3.444371423672753,-1.1732155452228852,0.04651324190772305,ir8080201.trees
