#/home/enes/bim/BIM.py trees/ir8050202.trees,trees/ir8050203.trees,trees/ir8050204.trees,trees/ir8050205.trees,trees/ir8050206.trees,trees/ir8050207.trees,trees/ir8050208.trees,trees/ir8050209.trees,trees/ir8050210.trees,trees/ir8050211.trees,trees/ir8050212.trees,trees/ir8050213.trees,trees/ir8050214.trees,trees/ir8050215.trees,trees/ir8050216.trees,trees/ir8050217.trees 250 --stats=all --eta=etas/BC.json --out=outs/761531915.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FerL,TajD,ZngE,bsfs,FayH,Colless,btree,path
0,10001.0,250,76,-1.3001975058694983,-1.0532727378358628,2.6424093216901468,2.0218352063978795,4.850406395572458,0.056415104478069904,0.05167120093276332,-1.3875197963111439,ir8050202.trees
0,10001.0,250,73,-2.218756285826025,-1.4930206737640936,3.147182205536547,2.598468966409834,5.168994102054565,0.03322222215332248,0.06224899598393574,-2.1714449373239626,ir8050203.trees
0,10001.0,250,76,-1.300197505869499,0.27457760519214064,0.7640652007813847,0.11712347625777621,2.023268597661268,0.09838386234413202,0.046447888327503566,-0.615295570131213,ir8050204.trees
0,10001.0,250,79,0.011624348835882694,-0.9858100958784966,2.8071649636424025,2.042172343645724,3.9050182427139677,0.07876868662524987,0.0473587899987045,-0.871358910328089,ir8050205.trees
0,10001.0,250,71,-0.6701449632473337,-0.9275956656325076,2.1215635177061545,1.6869962573995663,1.6422974283309741,0.033564648491855975,0.040892602668739474,-0.20519924760771152,ir8050206.trees
0,10001.0,250,87,-0.8929394274758479,-0.3130512054438206,2.0010532385742588,1.1439417367030156,2.6599042553897405,0.11068994443806567,0.0544524137606143,-1.1789904459896776,ir8050207.trees
0,10001.0,250,76,-0.585494008806074,-0.48605222875494297,2.016080299347946,1.2862516562725033,2.354420906299375,0.08804597854292949,0.04564224640497474,-0.7845205439887106,ir8050208.trees
0,10001.0,250,88,-2.368419960567104,-1.607207492953655,3.536656480931757,2.873711519438511,6.753828797570109,0.048022254205517735,0.047104547221142636,-1.226995241507883,ir8050209.trees
0,10001.0,250,58,-0.4626557977974814,-0.5750063060295393,1.751845418093414,1.2325215607728277,5.424007518941815,0.05519848578020262,0.04770106820242848,-0.9911710769338165,ir8050210.trees
0,10001.0,250,56,-1.9597709246107353,-1.6028216626752583,3.21368758677935,2.700454421432596,5.671887805317138,0.021225439779061026,0.06066848037310533,-2.0594619045146265,ir8050211.trees
0,10001.0,250,67,-1.068324413454441,-0.6946910302328346,2.2348198592344755,1.5469216853063634,3.6041424565387343,0.07574886184114882,0.04749643736235264,-0.8909250291093156,ir8050212.trees
0,10001.0,250,80,-0.47960882986711273,-0.7146016177038949,2.0509019512644437,1.4878657773770771,1.3371758071797175,0.058334768626700846,0.051392667443969434,-1.145753913760367,ir8050213.trees
0,10001.0,250,69,-0.6028566239973348,-1.0351477933081144,2.464920389981817,1.9244376746961758,4.914658857717272,0.04502421203813161,0.05619251198341755,-1.4011254492041236,ir8050214.trees
0,10001.0,250,88,-0.7099544239345614,0.356397992752556,1.692429483188043,0.4660124817210215,1.8043121730325842,0.18051374730968023,0.0302694649566006,0.45928860377033853,ir8050215.trees
0,10001.0,250,90,-0.9643647842880028,-0.6718917140367935,1.3471237401117415,1.1432889656919205,0.6279611287923775,0.00997773198765456,0.051998315844021245,-1.0121822049301277,ir8050216.trees
0,10001.0,250,87,-1.7312392148733595,-0.2680650958607889,2.289704432035655,1.236141808888175,2.846362576723046,0.1392854881245725,0.050931837950881874,-0.8495376663433191,ir8050217.trees
