#/home/enes/bim/BIM.py trees/ir3120050.trees,trees/ir3120051.trees,trees/ir3120052.trees,trees/ir3120053.trees,trees/ir3120054.trees,trees/ir3120055.trees,trees/ir3120056.trees,trees/ir3120057.trees,trees/ir3120058.trees,trees/ir3120059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/914447830.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,TajD,ZngE,FayH,bsfs,FerL,Colless,btree,path
0,100001.0,50,511,0.27345987133004773,0.15782145489120594,0.24134068313675827,-0.01051225948398793,-0.03400130868987688,-0.18207869768650342,0.14011787921275382,-0.4612578097294438,ir3120050.trees
0,100001.0,50,382,0.9337145341008575,-0.5639489681910114,-0.2115876344553367,-0.05015733614939856,-1.2107175393025615,-0.09057229488554194,0.16362506541077965,-0.7388240232902918,ir3120051.trees
0,100001.0,50,445,-0.7293737469133346,-0.023273523335230056,0.3087314885470339,-0.04494581110925347,-0.10491985947520593,-0.36586703023555217,0.11454723398793486,-0.06602304005914283,ir3120052.trees
0,100001.0,50,443,-0.951892531740735,0.33734623886475945,0.45103709886552684,-0.013827484471888384,0.2757821919349785,-0.3156207785170539,0.1208978961955152,0.03858257067172253,ir3120053.trees
0,100001.0,50,377,-0.10963659532208532,0.09397077145492214,0.22663711403645395,-0.01756825196403212,-0.021635760893202106,-0.2032902033592059,0.11749910490511999,0.12895884001497718,ir3120054.trees
0,100001.0,50,482,1.0415946046466555,-0.5759496272932628,-0.19694671164463676,-0.0537934065098689,-1.58953513262857,-0.11510870329390059,0.14872391909784047,-0.77491779343208,ir3120055.trees
0,100001.0,50,397,0.17760548842289034,0.019109886377515515,0.010487695902425332,0.001250521529606151,0.008301449160728874,-0.0007116023901319549,0.15490979000295765,-0.5261363222055627,ir3120056.trees
0,100001.0,50,362,0.47175737621509534,0.062135650751546895,-0.3427840996197036,0.055162147520610785,0.48930835842614845,0.4277326708754986,0.12219668087015033,-0.3448494922096927,ir3120057.trees
0,100001.0,50,457,0.37051228625505883,0.23617732161946622,0.03755965941109911,0.027893044078760986,0.45388878070210537,0.09641037365219038,0.12894413084382692,-0.4422921619940415,ir3120058.trees
0,100001.0,50,428,0.3070601599193911,-0.8924688144827156,0.1340801721539677,-0.14273976514174724,-2.356283358329644,-0.6788683865100008,0.20279761904761917,-1.5968488461212642,ir3120059.trees
