#/home/enes/bim/BIM.py trees/ir3060030.trees,trees/ir3060031.trees,trees/ir3060032.trees,trees/ir3060033.trees,trees/ir3060034.trees,trees/ir3060035.trees,trees/ir3060036.trees,trees/ir3060037.trees,trees/ir3060038.trees,trees/ir3060039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/291532024.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FulD,bsfs,TajD,FerL,ZngE,Colless,btree,path
0,100001.0,50,350,-0.17738324552014856,1.6994795668889067,-3.04874478303455,-0.900698195243567,-0.9622952511150455,0.37896947104495604,0.24617346938775514,-1.8104316150607822,ir3060030.trees
0,100001.0,50,345,-0.2520973072551804,1.1713290606620375,-3.3002181566441666,-1.3555157683726264,-1.3227818482472933,0.46050963836381803,0.26707766439909286,-2.66344966983043,ir3060031.trees
0,100001.0,50,381,-0.19264653451555638,0.5562777687622051,-2.3765133409019086,-0.6445707991862265,-1.2434985726576029,0.757260498953718,0.2162755102040817,-1.3349835315948848,ir3060032.trees
0,100001.0,50,279,-0.22529046582579634,1.004997325235086,-2.903869664102411,-0.9372026053337593,-1.3362453568248456,0.6886012864843121,0.2273162786241257,-1.8840091334167808,ir3060033.trees
0,100001.0,50,380,-0.3489786595265268,1.3454327168279099,-3.702433745516012,-1.2056319729272558,-2.230111945131885,1.3324764164435308,0.2767384731670444,-2.385266119187129,ir3060034.trees
0,100001.0,50,446,-0.2510498204506214,0.693365094846699,-2.901137234380929,-0.7918373914565336,-1.6535150847791482,1.0404305005725585,0.22761580822805327,-2.090352931451999,ir3060035.trees
0,100001.0,50,358,-0.16718698327097528,0.1831032052352869,-1.9282508854996636,-0.7148300655506351,-0.9863490637242862,0.4957876375956866,0.2008044790950088,-1.5420598979808535,ir3060036.trees
0,100001.0,50,390,-0.11021361377135508,1.6443480861073172,-2.151730027666842,-0.7929566047241036,-0.4619602265247879,-0.004331143304864147,0.2182229056005964,-1.7930133178772119,ir3060037.trees
0,100001.0,50,331,-0.16685247967098493,1.984942836153536,-3.368497262915223,-1.3017342798750722,-0.6367611196493239,-0.11256140701319038,0.2805668934240362,-2.951881321273435,ir3060038.trees
0,100001.0,50,475,-0.21828384347183877,0.9181883363506828,-3.118612740566411,-0.7830780890793162,-1.3833865196944797,0.8080357175219939,0.24456063417102367,-2.402799751735521,ir3060039.trees
