#/home/enes/bim/BIM.py trees/r8020017.trees,trees/r8020018.trees,trees/r8020019.trees,trees/r8020020.trees,trees/r8020021.trees,trees/r8020022.trees,trees/r8020023.trees,trees/r8020024.trees,trees/r8020025.trees,trees/r8020026.trees,trees/r8020027.trees,trees/r8020028.trees,trees/r8020029.trees,trees/r8020030.trees,trees/r8020031.trees,trees/r8020032.trees,trees/r8020033.trees 250 --stats=all --eta=etas/BC.json --out=outs/111270935.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,FayH,TajD,FerL,bsfs,Colless,btree,path
0,10001.0,250,55,-0.3274609709916461,0.15790166524000648,0.13146103478812393,1.0055224708613815,0.3506220925281415,3.836866154406456,0.028106734337730428,0.6160567604739442,r8020017.trees
0,10001.0,250,67,-0.531800272367815,0.527298181018627,0.06320882417296808,0.9999955428733365,-0.10645215902029875,0.9002023350302575,0.030113007862716375,0.44902413431373067,r8020018.trees
0,10001.0,250,85,-1.485444564057036,1.4333696567078118,0.03643742990825271,1.8461733762140835,-0.7575566063546356,1.1942384571302502,0.021342088785248518,1.298505581726454,r8020019.trees
0,10001.0,250,68,-0.3032627326936763,0.6959699428269224,0.08876721409021072,1.354036714819989,-0.12140029341733681,1.7634314010591468,0.03370760777176369,0.13934464668062482,r8020020.trees
0,10001.0,250,67,1.0777721508920626,0.9438980829570865,0.06731578796591274,1.4980450853124008,-0.35034043758908806,1.4761319924097107,0.03684464906773495,0.023665347741260945,r8020021.trees
0,10001.0,250,69,-0.34190496782024954,0.9676623479790634,0.06400099024227932,1.5034864567414232,-0.3758839302649159,2.089955518668656,0.0363912224580705,-0.03648409290068185,r8020022.trees
0,10001.0,250,59,0.40151129858760504,0.4081845233080887,0.12318921594426424,1.2422699151750751,0.17058692489305546,1.3830187753231638,0.034951634494969124,0.12893777693632236,r8020023.trees
0,10001.0,250,78,0.2823222188282214,0.34668161994463276,0.009300404084275035,0.450450785080757,-0.18181656990770093,0.304843452730949,0.0384290618695982,-0.1020067098551154,r8020024.trees
0,10001.0,250,72,-1.2038789414713407,1.0652402611385663,0.06645495397427433,1.6289316398991114,-0.42667866081111533,1.6543170788544048,0.029953271450392727,0.44152249232705665,r8020025.trees
0,10001.0,250,65,-1.836623754977502,1.4075572884164194,0.06956413014145306,2.038414751562514,-0.6307598659227854,2.0674158249961576,0.03831454851664724,-0.43158967100593,r8020026.trees
0,10001.0,250,52,-1.1968968564189937,0.8805908054374384,0.1372258147105446,1.8650183147812727,-0.08145064510545207,3.1833113351543663,0.030225741676382954,0.17204391908752467,r8020027.trees
0,10001.0,250,75,-0.794558080368765,0.6027060914695714,0.10710865666394864,1.3674426341338801,0.004115267740655282,1.629987149936443,0.02962267229011626,0.2194948038883414,r8020028.trees
0,10001.0,250,72,-1.4545840432082398,0.9012623919448571,-0.025433004650611185,0.8554147778911464,-0.6476782066060667,0.4073945275007131,0.037919229098557425,0.0013116350616050982,r8020029.trees
0,10001.0,250,66,-0.7668319605999475,0.7888428842986103,0.1644317215982958,1.9405802893817934,0.08343041506140302,1.4970565027771727,0.03029125298849356,0.46761352966835346,r8020030.trees
0,10001.0,250,85,-1.2711838632943115,0.5932796261660273,0.11637960096046931,1.4191044729331634,0.04729897746768514,2.450927569646589,0.02948450694272693,0.618253960755981,r8020031.trees
0,10001.0,250,68,0.49040606535120307,0.6274587593795631,0.03070855699286303,0.9061907678300388,-0.2816484398381615,3.893286817902041,0.03026622619510299,-0.1561125930177799,r8020032.trees
0,10001.0,250,62,-0.9123750516608062,-0.034203869614148355,0.1946962071954159,1.194803103519468,0.6945605493862973,1.5599380370496507,0.03181332726658008,0.3658936898578161,r8020033.trees
