#/home/enes/bim/BIM.py trees/ir3040020.trees,trees/ir3040021.trees,trees/ir3040022.trees,trees/ir3040023.trees,trees/ir3040024.trees,trees/ir3040025.trees,trees/ir3040026.trees,trees/ir3040027.trees,trees/ir3040028.trees,trees/ir3040029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/330134992.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FulD,FerL,FayH,ZngE,TajD,Colless,btree,path
0,100001.0,50,446,-0.1321884997771171,0.12861065272449182,0.3944381386777288,0.029967283592000717,-0.4697271441155619,-0.23977466981034967,0.13438552991289976,-0.4068386692199909,ir3040020.trees
0,100001.0,50,396,-0.3598518446946253,0.8219647286841627,0.10383473503154031,-0.0033772691751172705,-0.2069736664299458,-0.224667637803442,0.14048299319727894,-0.6331349623217909,ir3040021.trees
0,100001.0,50,365,-1.0368907836226284,0.44087427473750845,-0.017339201700309604,-0.04531560662579352,-0.3039021161717151,-0.6188054549971216,0.1691690962099126,-1.3431327671206288,ir3040022.trees
0,100001.0,50,434,0.1526960471321952,-0.5960302574027917,-0.11411186020087528,-0.011336767446002897,0.11617192982376126,0.031227422649109538,0.13730158730158737,-0.2626524882979948,ir3040023.trees
0,100001.0,50,317,0.273162917089616,-0.021305297251433583,0.15493220139069977,0.027932200964973185,-0.06601842972856095,0.13541455782766582,0.13663751214771627,-0.1255109936390078,ir3040024.trees
0,100001.0,50,494,-0.4691351979504692,-0.11395135699062833,-0.29120398067953096,-0.04759160194254898,0.15773963578712616,-0.18869356437308715,0.1581579506802721,-1.1522405290908437,ir3040025.trees
0,100001.0,50,373,0.9463222922701159,-0.5913450325122284,0.5101283685868631,0.07901410728325152,-0.3109772453435465,0.2638252007546771,0.11248905502795178,0.2367019811318918,ir3040026.trees
0,100001.0,50,365,-0.11254153078646484,-0.20779441269179105,-0.33259760425576407,-0.0378570852983707,0.3036522313834732,0.023641308287448683,0.1564862055933484,-0.88586355126141,ir3040027.trees
0,100001.0,50,454,-0.35253026788800995,0.6231810880405778,-0.22606352222980491,-0.027155272293289543,0.19527056915186794,-0.005667617893141825,0.15646258503401358,-0.8232751371600934,ir3040028.trees
0,100001.0,50,379,-1.3274846872910255,0.5765540910879934,-0.6406771364165174,-0.10294549566583068,0.36297797285614913,-0.38478622650142424,0.1765970756118539,-1.1458110153278744,ir3040029.trees
