#/home/enes/bim/BIM.py trees/r3050030.trees,trees/r3050031.trees,trees/r3050032.trees,trees/r3050033.trees,trees/r3050034.trees,trees/r3050035.trees,trees/r3050036.trees,trees/r3050037.trees,trees/r3050038.trees,trees/r3050039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/824592977.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,bsfs,FulD,FayH,ZngE,TajD,Colless,btree,path
0,100001.0,50,426,-0.5574266156509117,-0.7178252822649213,0.5325768800134821,-0.08051639494033068,0.3816031870350507,-0.20724052873266813,0.1646871863499498,-0.4488676395084845,r3050030.trees
0,100001.0,50,445,-0.657237707390199,-1.1435826925538886,0.36936375407380356,-0.10484067639463884,0.37615412476150023,-0.38710036781794754,0.1463103534096565,-0.7804063404405065,r3050031.trees
0,100001.0,50,412,-0.043087703512282347,-1.3655782510780348,1.6329391549444772,-0.03695967775476666,-0.19774886214472073,-0.456092278531187,0.1545115268329554,-0.47321581380739375,r3050032.trees
0,100001.0,50,371,-0.5811929726584987,-0.7932862101482551,0.06147120886378753,-0.10168143504284875,0.26831255433908285,-0.46729933644543975,0.17408416069130367,-0.878771350475753,r3050033.trees
0,100001.0,50,460,-0.1601117158017058,-0.5091071262635563,0.24998243153955235,-0.035308512102494784,0.019187399766925295,-0.23443170200373192,0.1455174248470338,-0.3893166551067379,r3050034.trees
0,100001.0,50,325,-0.09966580788962538,-1.0850974784448948,0.9446546342986701,-0.054071464043143974,-0.22325892763200883,-0.6031704192670846,0.1788043242774817,-0.6961748454067097,r3050035.trees
0,100001.0,50,423,-0.9690711683300943,-0.3692496435403524,-0.2106792261145871,-0.09223300472251392,1.0166953675544124,0.32368397393957066,0.11885170734960643,-0.35367040814684336,r3050036.trees
0,100001.0,50,358,-0.3302747727496046,-2.6926033722503373,2.0842318848816035,-0.09110369697881135,-0.09297670551645743,-0.7417191437702999,0.15589569160997743,-1.1763979562637383,r3050037.trees
0,100001.0,50,401,-0.3469751078206154,0.022405424616109657,-0.26316047557563277,-0.027582016849463712,0.4044109012106363,0.1942600473290711,0.12700605103920018,-0.2216085510232607,r3050038.trees
0,100001.0,50,449,-0.6162847216686189,-1.2026885255273758,1.3267575365093074,-0.09666326924496767,0.36480561772713677,-0.33957459915174604,0.19171551599363132,-1.0601335482712526,r3050039.trees
