#/home/enes/bim/BIM.py trees/ir8090202.trees,trees/ir8090203.trees,trees/ir8090204.trees,trees/ir8090205.trees,trees/ir8090206.trees,trees/ir8090207.trees,trees/ir8090208.trees,trees/ir8090209.trees,trees/ir8090210.trees,trees/ir8090211.trees,trees/ir8090212.trees,trees/ir8090213.trees,trees/ir8090214.trees,trees/ir8090215.trees,trees/ir8090216.trees,trees/ir8090217.trees 250 --stats=all --eta=etas/BC.json --out=outs/252144807.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FerL,bsfs,FulD,ZngE,TajD,Colless,btree,path
0,10001.0,250,59,0.03139930336248191,-1.363701793044114,6.31956690016931,-2.0155216929643363,2.372855353842426,2.8990635217255853,0.04012825495530509,-0.32866943730055187,ir8090202.trees
0,10001.0,250,78,0.015104450567222483,-1.8592692576935752,6.5508804539697705,-1.577308777834953,3.088364625866801,3.5769087207358625,0.048694779116465865,-0.9923447346163472,ir8090203.trees
0,10001.0,250,63,0.005990362630295132,-2.5238706546690093,6.746154545878464,-2.3663534363026018,4.104229761177413,4.697590726206279,0.03170747506153647,0.3942152980397899,ir8090204.trees
0,10001.0,250,63,-0.006899999627495073,-2.1690060332384364,6.03852680981462,-0.37703919519133816,3.459840869624517,3.8842339761779026,0.034298484259619115,0.14113664469857354,ir8090205.trees
0,10001.0,250,55,0.03157375512237055,-1.722105140802908,4.646281667785515,-0.9724529589850468,2.9490763915343194,3.564560562341061,0.03891911732953319,-0.46980408218298503,ir8090206.trees
0,10001.0,250,87,0.016368541010338442,-2.5121997151518975,6.033103400369136,-2.359964055421494,4.152812385086998,4.7688700032906945,0.058038606037051424,-1.4989276321368887,ir8090207.trees
0,10001.0,250,61,0.030641232830912295,-1.3047661277836773,4.244409711629308,-0.5854422861640386,2.2746784395479964,2.779614308103142,0.031027335147039772,0.23976649398755456,ir8090208.trees
0,10001.0,250,56,-0.002042154407576084,-2.515117508306032,5.453225060929395,-1.008319855025177,4.0426688941189175,4.598388969914661,0.030282420002591008,0.48629516053216726,ir8090209.trees
0,10001.0,250,61,0.0024473733132609208,-2.204183372460483,6.3553705980092605,-0.8783255172342775,3.5681231942170846,4.071481072028313,0.043949993522477006,-0.8364134448177536,ir8090210.trees
0,10001.0,250,72,-0.0009537062197072841,-2.2916096896361497,3.1238250665451313,-1.7052891449451395,3.693342088596433,4.1665827755491796,0.05447596838968778,-1.27085387026831,ir8090211.trees
0,10001.0,250,70,-0.0350208053645366,-2.776665886710065,2.5202233410086667,-2.18161763661685,4.283118205339609,4.620027694064115,0.03648464827050136,-0.21267320223101388,ir8090212.trees
0,10001.0,250,63,0.01474417942929912,-2.0404212722125465,4.444954386172678,-0.9454146926516994,3.3733861977469055,3.92338568915959,0.046314289415727426,-1.039037890558449,ir8090213.trees
0,10001.0,250,72,0.02324879093370897,-2.3016101487758958,4.331453293311067,-2.2066993484189377,3.846625748929683,4.494702390789481,0.06399792719264154,-2.0632178889409274,ir8090214.trees
0,10001.0,250,62,-0.0015884851475059347,-2.19619819666411,4.470284278862599,-1.4893146806158997,3.5330812055109595,4.0035583837221145,0.03999870449540096,-0.37731556062519495,ir8090215.trees
0,10001.0,250,62,0.02782043048394391,-2.081209086521259,6.116605779277844,-1.4893146806158999,3.5116652573755593,4.165574153260491,0.055658116336313,-1.3622231491306014,ir8090216.trees
0,10001.0,250,71,-0.0002373412644268986,-2.646633774488265,5.849282262691914,-1.940294215553656,4.270122429828881,4.82517567075992,0.05379582847519109,-1.2706361231613592,ir8090217.trees
