#/home/enes/bim/BIM.py trees/ir8080122.trees,trees/ir8080123.trees,trees/ir8080124.trees,trees/ir8080125.trees,trees/ir8080126.trees,trees/ir8080127.trees,trees/ir8080128.trees,trees/ir8080129.trees,trees/ir8080130.trees,trees/ir8080131.trees,trees/ir8080132.trees,trees/ir8080133.trees,trees/ir8080134.trees,trees/ir8080135.trees,trees/ir8080136.trees,trees/ir8080137.trees 250 --stats=all --eta=etas/BC.json --out=outs/587168410.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FayH,bsfs,ZngE,FerL,TajD,Colless,btree,path
0,10001.0,250,86,-1.9275381592811829,0.08076465516348877,3.673731442207874,2.5341385160097,-1.2807467266079138,3.3689488961142655,0.042298225158699305,-0.5269216578952982,ir8080122.trees
0,10001.0,250,84,-1.0333549355823888,0.09775878203471766,2.8515132406592656,1.9691478695562803,-0.871199626476878,2.8450750720974676,0.0560629615235134,-1.7136272977391547,ir8080123.trees
0,10001.0,250,87,-1.1025143743252253,0.13002267034352827,2.275337189795993,1.8493097686236248,-0.6806796677571071,2.9182205393033924,0.045731312346158834,-0.8099344796201382,ir8080124.trees
0,10001.0,250,80,-1.387399039493618,0.11273377924595916,2.980344541696008,1.823038572022785,-0.7293529996129581,2.7787528292189583,0.04927235825020512,-1.2213700296119787,ir8080125.trees
0,10001.0,250,72,-0.45176363626064303,0.12718012150455524,2.028044246200879,0.5412240269760616,0.11117288808112188,1.4256611516281916,0.04283030740473415,-0.5368203761105732,ir8080126.trees
0,10001.0,250,83,-1.8858923928269258,0.09025664816722956,1.6515227536858264,1.892931181028654,-0.8510962547922759,2.7113361553246937,0.0506947143412359,-1.0632341913845842,ir8080127.trees
0,10001.0,250,73,-1.2288906286319263,0.07845328370306885,3.333942751748715,1.6330069901981148,-0.7358972517059658,2.346758548454607,0.06411938074880166,-1.8152462952286463,ir8080128.trees
0,10001.0,250,78,-2.0422165270007464,0.13508105622552644,1.6512282191923933,1.9507608884442755,-0.7304405821596566,3.067048686554344,0.04299224547961431,-0.47747271402948194,ir8080129.trees
0,10001.0,250,78,-1.3448549032520563,0.04859379877382948,3.2100119899223993,2.314495805216663,-1.2615644884268309,2.920436573721032,0.04331843503044436,-0.5707747803561467,ir8080130.trees
0,10001.0,250,104,-1.2454701045947811,0.1337063688711413,2.439460504999245,2.078332225917876,-0.801968790559025,3.195152840768937,0.05416828604741547,-1.5433492411720522,ir8080131.trees
0,10001.0,250,108,-1.312940783700573,0.1587482364688736,1.740678219536593,1.6198420719780917,-0.4261929489342109,2.846513077363849,0.03705143153258194,-0.14806763817783816,ir8080132.trees
0,10001.0,250,72,-0.9531738397344417,0.03391822199323124,5.179819570194418,1.764819757426944,-0.9743407307940666,2.2110104889599,0.04984453944811504,-1.3615843815996878,ir8080133.trees
0,10001.0,250,85,-1.4854445640570355,0.19239525139844924,1.7422348909861725,1.1706979333934706,-0.0393721178172325,2.559405085300832,0.03859883980365908,-0.056831070337941623,ir8080134.trees
0,10001.0,250,60,0.34651766572059534,0.021495350942629398,5.073387757537349,2.9289707059305004,-1.742377831471137,3.4674786982277306,0.05494235004534266,-1.4844596573919582,ir8080135.trees
0,10001.0,250,102,-1.930033095296748,0.1659637450013941,1.980792293078576,1.586187411671639,-0.3817723998006095,2.856008356096169,0.04181241093405881,-0.7813352507640426,ir8080136.trees
0,10001.0,250,75,-2.0007289396427366,0.08011051296955671,1.6888532833482417,1.5902372237742937,-0.7027410824646693,2.3082907815972433,0.06123958198384938,-1.8663302574286622,ir8080137.trees
