#/home/enes/bim/BIM.py trees/ir8090138.trees,trees/ir8090139.trees,trees/ir8090140.trees,trees/ir8090141.trees,trees/ir8090142.trees,trees/ir8090143.trees,trees/ir8090144.trees,trees/ir8090145.trees,trees/ir8090146.trees,trees/ir8090147.trees,trees/ir8090148.trees,trees/ir8090149.trees,trees/ir8090150.trees,trees/ir8090151.trees,trees/ir8090152.trees,trees/ir8090153.trees 250 --stats=all --eta=etas/BC.json --out=outs/632569249.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,FulD,FerL,FayH,TajD,Colless,btree,path
0,10001.0,250,69,5.208824926151741,3.344318193435123,-2.1685665610598464,-2.0379130393674054,0.009883683928333295,3.8471634967753108,0.03786112190698278,-0.35240699709572526,ir8090138.trees
0,10001.0,250,54,6.5188718172912266,3.582939856446353,-1.5914089407117977,-2.1846795840150612,0.0113690924358354,4.164313746134324,0.03099494753206374,0.11725310004655808,ir8090139.trees
0,10001.0,250,64,6.606068329257145,3.3737981615085055,-2.0976137869611753,-2.011025002783801,0.023213082254369105,3.975451886405476,0.046638165565487756,-0.950057976571393,ir8090140.trees
0,10001.0,250,74,6.23027631072021,3.9184162360938264,-2.230507027577472,-2.4078350404559528,0.005551892603030869,4.458388262074646,0.04445200155460552,-0.8472340859715808,ir8090141.trees
0,10001.0,250,60,5.130226382476298,3.657776559233268,-0.24835063909172167,-2.2656773076401295,0.0008012755661551299,4.165667743789137,0.05130198212203654,-1.4471797960313657,ir8090142.trees
0,10001.0,250,68,5.323822812604885,3.1670650937433167,-1.8906003287834332,-1.8574024917219736,0.030180799481832183,3.777882099499698,0.05496178261432828,-0.9820919267859319,ir8090143.trees
0,10001.0,250,63,4.173299698164296,3.7875643932536036,-2.3663534363026018,-2.277396584470824,0.0204639538389081,4.429892714800009,0.051990218940277236,-1.4623965502311396,ir8090144.trees
0,10001.0,250,57,6.200668665340091,3.6852519959411887,-2.2909369826205737,-2.23162995626708,0.015911277569213487,4.300667201109803,0.024808913071641406,1.0516389415373029,ir8090145.trees
0,10001.0,250,59,6.575828751070349,3.513494414434798,-1.4112634450763506,-2.135244281661041,0.012768845010874158,4.079759870699196,0.0428380187416332,-0.7936474239873935,ir8090146.trees
0,10001.0,250,56,3.9412014914527203,3.8148720950939503,-1.6426205680822163,-2.3442816508906104,0.006586758343166125,4.392804211896368,0.035917865008420785,-0.14079437843517026,ir8090147.trees
0,10001.0,250,47,6.185725240925392,3.266458020986935,-1.7536309308926523,-1.9346724965644106,0.028117019172104588,3.9284871279728453,0.05005505894545925,-1.0918833738603846,ir8090148.trees
0,10001.0,250,69,4.309249989803189,3.5703135271417783,-1.1247599363515055,-2.263258909767601,-0.014511653920818888,3.9471341810566147,0.03552921362870838,-0.012746085954093744,ir8090149.trees
0,10001.0,250,57,4.488372015475047,2.8608197406578104,-1.0430187794141093,-1.751331448694598,0.006823667766825014,3.3037559669370435,0.033618344345122425,0.1640983740686721,ir8090150.trees
0,10001.0,250,60,6.425425713697198,2.5855708298065743,-1.438087248716357,-1.5170325872031798,0.025087484424109747,3.0995777365093473,0.040776007254825754,-0.34903593805895494,ir8090151.trees
0,10001.0,250,61,5.115776586746484,3.740927413440875,-1.7569752104449945,-2.238787004896425,0.023462667608297596,4.400912366374915,0.03850887420650344,-0.44164903018339086,ir8090152.trees
0,10001.0,250,50,4.139805593553162,3.2679837048139024,-1.12552383117,-1.9858018706202485,0.012778016206187553,3.825256457188284,0.040193030185257154,-0.37708185461105276,ir8090153.trees
