#/home/enes/bim/BIM.py trees/ir8020039.trees,trees/ir8020040.trees,trees/ir8020041.trees,trees/ir8020042.trees,trees/ir8020043.trees,trees/ir8020044.trees,trees/ir8020045.trees,trees/ir8020046.trees,trees/ir8020047.trees,trees/ir8020048.trees,trees/ir8020049.trees,trees/ir8020050.trees,trees/ir8020051.trees,trees/ir8020052.trees,trees/ir8020053.trees,trees/ir8020054.trees,trees/ir8020055.trees 250 --stats=all --eta=etas/BC.json --out=outs/897391583.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,bsfs,FulD,FayH,TajD,btree,Colless,path
0,10001.0,250,68,1.1736712082338514,-0.3563027927861484,2.6231059500094904,-1.361487796753514,0.10628183330730154,2.006540839259199,-0.6070479232527773,0.0438798203566956,ir8020039.trees
0,10001.0,250,58,0.4131647848179631,-0.01098456009096461,1.1511296595365534,-1.3835811411032275,0.07144640192670483,0.9210252842810152,-0.7280074722799129,0.046400656388996854,ir8020040.trees
0,10001.0,250,67,0.3846269817246339,0.29944350914115453,1.5989018018706684,-0.8000623429111282,0.15427087117094607,1.418579180399651,-0.7632063682541914,0.04827104115386276,ir8020041.trees
0,10001.0,250,78,1.0310666797487158,-0.28911607031356745,3.2260904122806315,-0.8799471540862626,0.09881273056288423,1.7974659088565137,-1.0233137926874756,0.04597421945847908,ir8020042.trees
0,10001.0,250,80,1.0369207372378035,-0.4527224763900517,1.1991996881134872,-0.47960882986711256,0.05343487438511764,1.5116599837710445,-0.4871626469272268,0.04253988659352048,ir8020043.trees
0,10001.0,250,56,-0.1927882563795998,0.626429983733973,1.477540041117443,0.26028157108890027,0.1482117872660363,0.7118934892158241,-0.42153897400381557,0.04183483312904222,ir8020044.trees
0,10001.0,250,74,1.061106452913879,-0.4587866465418585,0.9821803161511887,-1.7418860606699933,0.05640997052215272,1.5594491237425825,-0.5346510840591814,0.043958516579049645,ir8020045.trees
0,10001.0,250,53,1.2940683786255103,-0.6543207145120331,1.3730556654633024,-0.5632217466162421,0.04379963055848955,1.7535993339791318,-0.9885198917270934,0.053292348278745474,ir8020046.trees
0,10001.0,250,86,0.8242051301841704,-0.22649356366467596,2.2635387934766045,0.615164487215373,0.07956932648213848,1.440572739891344,-0.9146636198699357,0.05190115299909314,ir8020047.trees
0,10001.0,250,76,0.5947861506759847,0.15089737634228365,1.3248447573765214,-0.8237285078272153,0.1471849652673743,1.6162060846536004,-0.4792871884378799,0.04209537641227048,ir8020048.trees
0,10001.0,250,55,0.7218097298612557,0.06503495101268711,2.2805887605062902,-1.9399409409751478,0.15030625883345725,1.7675248125962992,-1.066260846320278,0.053459806969814734,ir8020049.trees
0,10001.0,250,75,0.41893942858851885,0.04202239062232877,1.4430888997739784,0.4116127789052052,0.08556375641368742,1.021832539632708,-1.2078821724130004,0.04927775618603446,ir8020050.trees
0,10001.0,250,75,1.1488537437702702,-0.4805835547187499,1.7484799794724786,-1.277026424078354,0.06556692040066608,1.7169744793485793,-0.3949403388744914,0.04300265578442803,ir8020051.trees
0,10001.0,250,66,0.8042688054797484,-0.1148402890713571,1.3962517364913334,-0.4947585593334029,0.11022086585327859,1.613025767542116,-1.3088390297521935,0.05380344909047957,ir8020052.trees
0,10001.0,250,63,0.5203820257857208,0.11834474093756944,2.7822896408896995,-0.09285144646115784,0.12729160764615516,1.3983010735025185,-1.2788829017692052,0.05237077341624563,ir8020053.trees
0,10001.0,250,74,0.5760505177102246,0.08223586448886124,4.385670521621032,-1.253265093762514,0.12475112470707977,1.450233507139359,-1.3087701987577685,0.0494350674587752,ir8020054.trees
0,10001.0,250,72,0.9039359441599722,-0.17187455945235008,2.323312232362095,-0.9531738397344413,0.11056701210479909,1.7290928588580947,-0.7916411208286357,0.04976730744317219,ir8020055.trees
