#/home/enes/bim/BIM.py trees/r8090017.trees,trees/r8090018.trees,trees/r8090019.trees,trees/r8090020.trees,trees/r8090021.trees,trees/r8090022.trees,trees/r8090023.trees,trees/r8090024.trees,trees/r8090025.trees,trees/r8090026.trees,trees/r8090027.trees,trees/r8090028.trees,trees/r8090029.trees,trees/r8090030.trees,trees/r8090031.trees,trees/r8090032.trees,trees/r8090033.trees 250 --stats=all --eta=etas/BC.json --out=outs/586001217.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FulD,ZngE,FerL,FayH,bsfs,btree,Colless,path
0,10001.0,250,49,3.0656471990435223,-1.0878327471550784,2.531008799775086,-1.483844472682189,0.026071593320723594,3.696010632914811,-0.6754706445025679,0.04395462032461644,r8090017.trees
0,10001.0,250,58,4.009022339049734,-0.7696309122327301,3.469787684813389,-2.1212791385567074,0.009026620081390156,6.555273127413756,0.10743574417841355,0.03265481279958544,r8090018.trees
0,10001.0,250,61,3.6074881646920116,-2.0498584415152337,2.9938337231440095,-1.7450551290688303,0.03228272744685409,6.1422434199526945,0.31023368007714913,0.027999093146780674,r8090019.trees
0,10001.0,250,82,4.459468593570573,-2.3147623985215335,3.9496619800331305,-2.4364462599216536,0.0025565252607943315,5.421571537268139,-0.1391849336543552,0.03291301406342215,r8090020.trees
0,10001.0,250,63,3.047722201867447,-1.7979779388422408,2.783282797838091,-1.7868966803728765,-0.017683228081644745,1.9954820218294638,-0.3762709066394434,0.03818499805674311,r8090021.trees
0,10001.0,250,46,3.700326633616347,-1.7261969078322716,3.297369354025401,-2.0986358714423137,-0.015106660743539255,3.842420507717363,0.5268669930656334,0.028474111499762488,r8090022.trees
0,10001.0,250,57,4.65995738580005,-1.9789574318189578,4.031513543160207,-2.4656910574165014,0.010291224555472944,6.626080459059657,-0.5643871695153203,0.03829025780541521,r8090023.trees
0,10001.0,250,69,2.862304698398893,-0.86380828017442,2.45793485590533,-1.4787222853693995,0.012715098032702984,6.312741685136733,-0.0803382560212624,0.03582070216349268,r8090024.trees
0,10001.0,250,62,4.868133697570723,-2.066254309570993,4.15210408732941,-2.4919545788955055,0.023877008791792827,6.529327403223697,0.05300757212013717,0.03335114652157015,r8090025.trees
0,10001.0,250,53,3.6903812931176163,-2.231964714753716,3.092497969512472,-1.8352349036866051,0.024733667139037498,4.239117897400077,0.6958535415306805,0.025769745649263723,r8090026.trees
0,10001.0,250,54,3.2302446357551116,0.04871861545163324,2.835672809397755,-1.764644357651357,-0.0014593866066704084,3.844553281650808,-0.1243013041288976,0.03705143153258194,r8090027.trees
0,10001.0,250,55,3.2876543634796374,-0.972452958985047,2.861710353353562,-1.7642051246873427,0.003350482117010545,4.170802901820881,-0.12830084487339088,0.035843836174189854,r8090028.trees
0,10001.0,250,64,4.334917533504102,-2.657676272116342,3.744498360920308,-2.2742473163710923,0.013585588845319152,4.478528678360195,0.47822706311317065,0.029739927451742455,r8090029.trees
0,10001.0,250,69,4.195275102112781,-2.1685665610598464,3.5119622729470272,-2.0550357623016775,0.034699268768857594,5.556679482547841,-0.13373517440899332,0.03329152386672791,r8090030.trees
0,10001.0,250,71,3.8268322372459354,-1.9402942155536556,3.252034965642903,-1.9322558670713654,0.023596315385926082,6.496997447841565,-1.1082912153203286,0.04836354214512007,r8090031.trees
0,10001.0,250,66,4.4883149547551495,-2.1271989669326685,3.8036463551372908,-2.2605689531859703,0.02789375963167059,4.873150043130574,-0.5595120442472001,0.039120190439176056,r8090032.trees
0,10001.0,250,80,4.518859060039489,-1.8412941443068707,3.8915566645826494,-2.334041051053496,0.02138300267643337,6.871730666363489,-0.43338129067828907,0.0358401347324783,r8090033.trees
