#/home/enes/bim/BIM.py trees/ir3060020.trees,trees/ir3060021.trees,trees/ir3060022.trees,trees/ir3060023.trees,trees/ir3060024.trees,trees/ir3060025.trees,trees/ir3060026.trees,trees/ir3060027.trees,trees/ir3060028.trees,trees/ir3060029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/300988979.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,FayH,FerL,FulD,TajD,Colless,btree,path
0,100001.0,50,484,-0.137814051458109,-2.3583709956011436,-0.1126879442445713,-0.3978327276006466,0.9930727202818128,-0.9409117702068119,0.2615089139103918,-1.9020871823392786,ir3060020.trees
0,100001.0,50,400,0.3203048611738935,-2.718646917625257,-0.15215256830558013,-0.824144769794763,1.8543788904125798,-0.7788703192299826,0.2036523347202958,-1.803072060718571,ir3060021.trees
0,100001.0,50,388,0.6592735627374199,-1.2342916347338218,-0.10467185738425851,-0.8171462747859941,0.639563164466971,-0.11028544413925749,0.16155557967867995,-1.2655712974526283,ir3060022.trees
0,100001.0,50,328,1.181386264991438,-3.479648736837998,-0.3183467433295981,-2.011486506077881,1.2666606183775815,-1.1279004125713814,0.23869047619047623,-2.0351825109800923,ir3060023.trees
0,100001.0,50,331,1.3055047758660827,-3.4067280719614015,-0.34544147849431145,-2.19638105525189,1.3595030201255458,-1.2013721589590938,0.2721428571428572,-2.566609342568649,ir3060024.trees
0,100001.0,50,307,0.45238802944508333,-0.8942645200159467,-0.12553128674587527,-0.7848242224706643,0.13313630566438184,-0.4568573326204643,0.2675906183368869,-2.5376707898965223,ir3060025.trees
0,100001.0,50,444,1.0850102428094228,-2.151385007309718,-0.19526262621969395,-1.4433093594077646,0.7446736450556114,-0.34897866925376625,0.1945771979677947,-1.1595224142560503,ir3060026.trees
0,100001.0,50,324,0.13078155469867017,-3.337501091877058,-0.1895952892760118,-0.8708551364913295,1.5965362338399423,-1.2277245439969418,0.2241253644314869,-1.860717267080797,ir3060027.trees
0,100001.0,50,403,0.33524878749229375,-1.111694475622868,-0.13190345765111774,-0.747370225698523,0.30969405327842353,-0.619531963577892,0.2063431755680996,-1.692799065654022,ir3060028.trees
0,100001.0,50,375,0.42790690871306114,-3.2468019833524733,-0.22562596035458812,-1.1942639497872645,1.2492392779129189,-1.1994524706110423,0.2119472789115646,-1.5577290902158607,ir3060029.trees
