#/home/enes/bim/BIM.py trees/r3020030.trees,trees/r3020031.trees,trees/r3020032.trees,trees/r3020033.trees,trees/r3020034.trees,trees/r3020035.trees,trees/r3020036.trees,trees/r3020037.trees,trees/r3020038.trees,trees/r3020039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/260134630.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,FayH,ZngE,bsfs,FulD,btree,Colless,path
0,100001.0,50,444,-0.10202779411794344,0.32062050226259364,0.010297795275432958,0.2551405355928596,0.4904921092372819,0.010541686536189294,0.3664029202839389,0.12452397226833324,r3020030.trees
0,100001.0,50,399,-1.1085291443505507,-0.33797629354793685,-0.15509056894511877,0.7971654941152977,-1.8868548045444264,1.9785721242530003,-1.627561073096948,0.21150126717353615,r3020031.trees
0,100001.0,50,397,-0.7927121996672479,0.11123583562632541,-0.08626046469528069,0.7522234135300366,-0.242327417569556,0.5132593517633155,-0.5367235841015556,0.14926930074355316,r3020032.trees
0,100001.0,50,524,-1.1097267765223813,-0.31142841775688607,-0.15282113382751464,0.81202045469298,-1.0534693032490992,0.1283394224678834,-0.9065272546974973,0.14764961284052786,r3020033.trees
0,100001.0,50,315,-0.862522078781845,0.013286704425289755,-0.1018216818974674,0.7623871247326113,-1.0800122005162793,1.4541002474281166,-1.3054014811261825,0.16961550702152214,r3020034.trees
0,100001.0,50,404,-0.33582301163187056,0.2932159047428068,-0.019343595527156584,0.4457372957913097,0.22637924909566595,0.594007777666353,-0.23370781776620406,0.15126606198034762,r3020035.trees
0,100001.0,50,436,-0.16405254476336129,0.055340265517112464,-0.01556778312079246,0.17241416474332996,0.07999108930521068,0.1391072868176953,-0.3781986337435328,0.14810185819294167,r3020036.trees
0,100001.0,50,410,-0.5675027870880389,-0.057049186606588226,-0.07126565614206375,0.4679906039760765,-0.5071888172662112,-0.004594547642178128,0.03527853522088027,0.1418113222300414,r3020037.trees
0,100001.0,50,421,-1.3236959331091644,-0.5306196783291035,-0.193918251983971,0.8862954031209022,-2.596116041998582,0.8242329786065933,-1.5752085570840866,0.25007330518414256,r3020038.trees
0,100001.0,50,436,-1.4716636479769976,-0.8332835958758589,-0.23247889460383395,0.8596174763793292,-3.163833950606717,0.9545875604061509,-1.7078009740768467,0.19622284397630016,r3020039.trees
