#/home/enes/bim/BIM.py trees/r8090221.trees,trees/r8090222.trees,trees/r8090223.trees,trees/r8090224.trees,trees/r8090225.trees,trees/r8090226.trees,trees/r8090227.trees,trees/r8090228.trees,trees/r8090229.trees,trees/r8090230.trees,trees/r8090231.trees,trees/r8090232.trees,trees/r8090233.trees,trees/r8090234.trees,trees/r8090235.trees,trees/r8090236.trees,trees/r8090237.trees 250 --stats=all --eta=etas/BC.json --out=outs/526954248.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,FerL,TajD,ZngE,FayH,btree,Colless,path
0,10001.0,250,52,5.109542121853749,-2.5555993414295197,-2.4384194588730583,4.8019437706335415,4.062636169354625,0.024553514194084577,0.8223120261498693,0.02561565911740805,r8090221.trees
0,10001.0,250,61,5.555692323510974,-1.1712087483045166,-1.829446720412384,3.645692370897479,3.078683699050302,0.02307905745348511,0.3495201812593084,0.029229822515869933,r8090222.trees
0,10001.0,250,65,4.061003188943489,-1.0086392318777198,-1.712302451025175,3.6090891993396235,2.9724710133281733,0.03749472863231932,-0.21879199844460892,0.036550895664770516,r8090223.trees
0,10001.0,250,53,4.386856011162767,-1.898216121126221,-1.6622637286675712,3.317397804579825,2.7900241530529963,0.020392082729899178,0.45659583333697384,0.03005570669775878,r8090224.trees
0,10001.0,250,64,6.1806522225854525,0.7026986388146564,-1.336869919577563,2.793607580381658,2.3092740594542907,0.027307175243208737,0.3356729090101241,0.03122813835989118,r8090225.trees
0,10001.0,250,65,6.169147332390065,-1.2846340729109804,-1.7691379818868476,3.658081054655567,3.0399157647453574,0.03317120316140025,0.3569292424109953,0.029084078248477783,r8090226.trees
0,10001.0,250,44,4.431648963235708,-1.271969895251769,-2.1329096984335156,3.9557811243111285,3.4318837439614045,-0.00014886979222676096,-0.3279063060847001,0.04181241093405881,r8090227.trees
0,10001.0,250,65,5.606762994065884,-1.8366237549775017,-2.346460943560638,4.566092997524832,3.905945471348614,0.021525578102634186,-0.28629178117555043,0.038687006088871614,r8090228.trees
0,10001.0,250,55,6.526164741082779,-0.6499569649883468,-2.20766579774321,4.171080980030535,3.6060236136987123,0.008734360277448278,-0.4613977467244767,0.039491298527443104,r8090229.trees
0,10001.0,250,69,6.727527208860419,-1.3857115925285903,-2.3223779920359706,4.373669619064943,3.806497175072914,0.010440511191901336,-0.1474022381268632,0.0346597307343518,r8090230.trees
0,10001.0,250,61,2.9542136763923232,0.8789738691871553,-0.9750177912182368,2.1349136234343775,1.7252231077645677,0.027462323873590374,-0.2963126665783551,0.039539879949907146,r8090231.trees
0,10001.0,250,74,4.62533724130884,-1.7418860606699929,-2.2750112698119387,4.2490622549182016,3.7184827860994885,0.008100181932728837,-0.523687360854343,0.04280994947532064,r8090232.trees
0,10001.0,250,58,4.644617948007173,-2.3045064844089738,-1.6997197326517925,3.621784944091624,2.9599897436314317,0.03970774192475639,0.46903483555978587,0.03162974478559399,r8090233.trees
0,10001.0,250,86,2.8926524689752293,-1.0799706104489972,-1.980186665143021,3.827309341859826,3.3031160909378836,0.018108808632076215,-0.4485649633079946,0.03979975200340533,r8090234.trees
0,10001.0,250,73,6.579960208662314,-1.476357042930451,-2.1434174218336275,4.006981900593792,3.504084621397855,0.007804877020407725,0.0720306003986617,0.035707345511076564,r8090235.trees
0,10001.0,250,80,5.655646642805776,-2.068241696713497,-2.493402499877513,4.484341157610798,4.004900121709216,-0.003777331865682353,0.19679971845602248,0.035543094035126684,r8090236.trees
0,10001.0,250,73,6.639916458195252,-0.7339578000348768,-1.5923888428066872,3.115132820282335,2.6644759383477368,0.016587535136536012,0.8249385512255922,0.025668657032823373,r8090237.trees
