#/home/enes/bim/BIM.py trees/r3050080.trees,trees/r3050081.trees,trees/r3050082.trees,trees/r3050083.trees,trees/r3050084.trees,trees/r3050085.trees,trees/r3050086.trees,trees/r3050087.trees,trees/r3050088.trees,trees/r3050089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/572098263.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,FerL,FulD,FayH,bsfs,btree,Colless,path
0,100001.0,50,392,0.41990864984864734,-0.7580923916389481,-0.9254862619643451,0.863874731803475,-0.16276571785647462,-2.533649946605385,-2.07045079676637,0.25398317221625477,r3050080.trees
0,100001.0,50,341,0.28023895668973814,0.426191393334422,-0.06922663826306573,-0.29455936563634716,0.02157517937265026,0.673763226632425,0.46920653438543514,0.13289199977511668,r3050081.trees
0,100001.0,50,418,0.7772788701917253,-0.01723866426809557,-0.8968601858626983,-0.28010528645046795,-0.10750015854471773,-0.3565854717006836,-0.48036091927921026,0.18705025362746253,r3050082.trees
0,100001.0,50,370,-0.6446301449860008,-0.5452750766438041,0.4146807942765288,1.0304708042332917,0.011136812725827,-0.9687405947444121,-0.2873502220135865,0.1494416845685642,r3050083.trees
0,100001.0,50,390,0.13239826483023792,-0.460179949057022,-0.4220199589324507,0.315751465218397,-0.08222505403936642,-0.9455476396317344,-0.8593668314732248,0.16868505644015844,r3050084.trees
0,100001.0,50,411,0.21026757322646827,0.15248026094774414,-0.15005398734921796,0.5278932691442827,-0.007140429686745093,-0.24230946903114087,-0.18390902282041757,0.14786419887103774,r3050085.trees
0,100001.0,50,374,0.05318554598049947,-0.5945321119000073,-0.41061995779300386,1.380070756236968,-0.09030777837576631,-1.4573204458425855,-0.2805929478039708,0.15243999154065768,r3050086.trees
0,100001.0,50,363,0.675726258321577,0.08701381703344575,-0.7199075080499747,0.3391158868424214,-0.07944439155444838,-0.7430995428287283,-0.4484179747881103,0.11990773320822573,r3050087.trees
0,100001.0,50,431,0.33415827992290026,0.014716040724868883,-0.37250333255339846,0.5569795353487117,-0.04310098007366584,-0.16360256706423518,0.07741130513830352,0.11224951937296664,r3050088.trees
0,100001.0,50,464,-0.06695261072653029,-0.5465751952367511,-0.24593593641571748,1.5608897098786423,-0.06724225089237852,-1.681579351562808,-0.8941988790796753,0.18455465087589426,r3050089.trees
