#/home/enes/bim/BIM.py trees/ir3060050.trees,trees/ir3060051.trees,trees/ir3060052.trees,trees/ir3060053.trees,trees/ir3060054.trees,trees/ir3060055.trees,trees/ir3060056.trees,trees/ir3060057.trees,trees/ir3060058.trees,trees/ir3060059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/733807247.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,bsfs,FayH,TajD,ZngE,FerL,btree,Colless,path
0,100001.0,50,243,1.3951619993990385,-2.6155037151253206,-0.19230426056928698,-1.0310738972999156,0.34727653607928244,-1.0006013078365599,-1.6944866344947693,0.23216310333657275,ir3060050.trees
0,100001.0,50,384,0.6804530835351165,-1.8759505335022768,-0.18034775417442067,-0.661212915899246,0.6494244131565716,-1.1302669059940662,-2.2144736865694465,0.2603618767094466,ir3060051.trees
0,100001.0,50,294,1.4398655030768934,-2.758170611709776,-0.2432086278039611,-0.834670828496995,0.9270333778913298,-1.5485191615642573,-1.673784579511074,0.23844820947246817,ir3060052.trees
0,100001.0,50,374,0.7864784829933371,-1.9819609900187614,-0.09929340232415508,-0.9293666105215163,-0.2259215828254486,-0.2892169316421782,-1.7396333996974043,0.2264321518080916,ir3060053.trees
0,100001.0,50,380,1.1117197304677802,-3.244016392184196,-0.27773240507551217,-0.9732862870315462,1.046211884517053,-1.766701256949582,-2.148678478487104,0.24374999999999997,ir3060054.trees
0,100001.0,50,291,1.5899505774540916,-3.059935907338766,-0.2596298677908864,-0.9314302453946716,0.94773123318767,-1.6289246490831166,-2.120315134730977,0.2347592883307169,ir3060055.trees
0,100001.0,50,337,1.6280359937607065,-2.2072154627826035,-0.15384383402619936,-0.7398127249042683,0.37075403930528567,-0.8581592316846288,-1.4904341436569235,0.19032830523513755,ir3060056.trees
0,100001.0,50,328,1.4018997729609137,-2.333907130007361,-0.157247430512983,-0.7163317853985953,0.4195766916366486,-0.8999923241576518,-1.9381397723154004,0.2373407109322602,ir3060057.trees
0,100001.0,50,244,0.22774345917636177,-2.8318012819509497,-0.18974154318437014,-1.365655433828223,-0.014362850360076743,-0.7834050469452004,-1.255249419738795,0.22602040816326524,ir3060058.trees
0,100001.0,50,338,2.488650468392175,-3.938390823758613,-0.29022597507107967,-1.7638981869780443,0.3200965116035679,-1.4025052914016958,-2.428419410604032,0.28003736705949994,ir3060059.trees
