#/home/enes/bim/BIM.py trees/ir8120073.trees,trees/ir8120074.trees,trees/ir8120075.trees,trees/ir8120076.trees,trees/ir8120077.trees,trees/ir8120078.trees,trees/ir8120079.trees,trees/ir8120080.trees,trees/ir8120081.trees,trees/ir8120082.trees,trees/ir8120083.trees,trees/ir8120084.trees,trees/ir8120085.trees,trees/ir8120086.trees,trees/ir8120087.trees,trees/ir8120088.trees,trees/ir8120089.trees 250 --stats=all --eta=etas/BC.json --out=outs/255425272.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,TajD,FulD,bsfs,FayH,ZngE,btree,Colless,path
0,10001.0,250,64,-2.181171245600881,4.010432174634926,-0.41742633149567626,6.524952005414436,0.0014506405607514334,3.5264394200898357,-0.28613822141379175,0.03557779505117243,ir8120073.trees
0,10001.0,250,66,-2.1650526916632953,4.171258751145871,-0.7668319605999474,5.745936049344364,0.016706040972902063,3.586719338527537,-1.5343547931958657,0.0582977069568597,ir8120074.trees
0,10001.0,250,90,-2.590834432212017,4.879411168330542,-2.7906344123456828,5.968079736148266,0.014179517168834916,4.268081111237741,-0.7278587860074943,0.04213628708381915,ir8120075.trees
0,10001.0,250,65,-2.216265163312139,4.136995283390198,-1.2846340729109802,6.158809289843687,0.0065103925478227805,3.6117299615432197,-1.0572178260390854,0.0479466252105195,ir8120076.trees
0,10001.0,250,105,-2.330107976526551,4.423759388940834,-1.9632644494284748,6.535038799650614,0.01655103016570894,3.8640641099044557,-1.9767880942824156,0.06969814742842337,ir8120077.trees
0,10001.0,250,54,-2.101760267964197,4.027138483348631,-1.5914089407117977,6.354809873680045,0.012603182031798497,3.4560889688300787,-0.0935184897304658,0.03582070216349268,ir8120078.trees
0,10001.0,250,60,-2.3195192478094913,4.291483584771611,-1.1406530963101977,5.901808698439803,0.0029420419844111353,3.7564908967123167,-2.3659250317387905,0.06414367146003369,ir8120079.trees
0,10001.0,250,93,-2.410477622446538,4.345748796146831,-1.6214143481027636,3.250008131712084,-0.0014842163470815352,3.8866304167240986,-0.3767964288565304,0.03939953361834435,ir8120080.trees
0,10001.0,250,66,-2.142998709261568,4.08701870719388,-1.8551255656661243,6.657001518510682,0.013256059476360611,3.531764494319732,-0.6270578431475946,0.04289739603575593,ir8120081.trees
0,10001.0,250,73,-1.7386996498035576,3.4666106605038576,-1.228890628631926,6.375672470717575,0.02320368843905017,2.9381848486502387,-0.569365057593701,0.04615235134084726,ir8120082.trees
0,10001.0,250,69,-2.0371691720798344,3.9868575207182064,-0.6028566239973344,4.388169419085678,0.020930926714028148,3.405448078782005,-0.8547365029912927,0.04139137193937038,ir8120083.trees
0,10001.0,250,55,-2.469457296193549,4.64270741070497,-2.2624369349718485,6.595078882399742,0.007938827085133453,4.023565198770382,0.39368193303004706,0.03141598652675217,ir8120084.trees
0,10001.0,250,102,-2.6208826821943143,4.871156607197424,-1.5699341777177904,6.219655610219489,0.010385032827565168,4.297486966721991,-0.7064474741773701,0.04712397979012825,ir8120085.trees
0,10001.0,250,77,-2.257938989801856,4.159970399908822,-0.8521828352628043,6.632103555518248,0.0039371762180687685,3.66806582802332,-1.3856969709135138,0.055658116336313,ir8120086.trees
0,10001.0,250,74,-2.1209749846813155,4.105859027283501,-2.230507027577472,6.044633464146377,0.018817195079143766,3.53071919827872,-1.1981657343721759,0.04893768622878611,ir8120087.trees
0,10001.0,250,73,-2.2509379594263548,4.40730106396506,-1.9712898715275005,6.608738993831262,0.02374965757879253,3.768112509149466,-1.3565712239759358,0.06098587899987045,ir8120088.trees
0,10001.0,250,73,-2.4530460368851386,4.545762995049681,-1.7238234572289757,6.820212772868567,0.005807126304532327,3.9925362137383336,0.34133395480693357,0.027367534654748026,ir8120089.trees
