#/home/enes/bim/BIM.py trees/ir3100090.trees,trees/ir3100091.trees,trees/ir3100092.trees,trees/ir3100093.trees,trees/ir3100094.trees,trees/ir3100095.trees,trees/ir3100096.trees,trees/ir3100097.trees,trees/ir3100098.trees,trees/ir3100099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/368984927.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FerL,ZngE,FayH,FulD,TajD,btree,Colless,path
0,100001.0,50,598,1.0587149113557361,-0.32259346145648976,0.7479248228343793,0.024472321968868387,-1.0647759390634732,0.8973597600789638,0.9700390214372498,0.10527115874282682,ir3100090.trees
0,100001.0,50,485,0.02630441497385646,0.22140383096577532,-0.194244335551608,0.02616973475558774,-0.14660752755263728,-0.00020201557290484905,-0.23006161244317921,0.13396427273199357,ir3100091.trees
0,100001.0,50,415,-1.0399780643105867,0.3092952813688923,-0.6038067145233056,-0.008324708262844354,0.5981703543582698,-0.6442097747433195,-0.847207879300136,0.1584705310695707,ir3100092.trees
0,100001.0,50,410,0.11675316264151817,0.03181708823283798,0.008957638894476027,0.008755824373441261,0.3204826837139942,0.0713600054619948,-0.1215596429170693,0.13975182665658853,ir3100093.trees
0,100001.0,50,555,0.11209910996908981,-0.20640991837185765,0.2471953600410691,-0.015463112396139405,0.25777292338289604,0.1277626652001521,-0.3998921684397912,0.14325824669490436,ir3100094.trees
0,100001.0,50,403,-0.01906387339340243,0.37399247074021913,-0.3933127104845176,0.03548990744297862,0.01574908990876922,-0.12687420609354774,-0.45173942469820394,0.1322946533985495,ir3100095.trees
0,100001.0,50,488,0.6368702698135013,0.31026577884567214,-0.18195480911492432,0.04884155051958875,0.046670684829594994,0.17420286959496298,0.0808896922212304,0.12611981412283227,ir3100096.trees
0,100001.0,50,424,0.4788608988124822,0.2569909335618915,-0.17286644134678492,0.03753724265465296,0.20126080018419998,0.10147725689883072,0.21075503845195082,0.13276207919065064,ir3100097.trees
0,100001.0,50,293,-0.2034379422249909,-0.0010583219445771523,-0.06983893425356744,-0.009767137395414,0.9013440836554028,-0.13763931939232593,-0.7831730650510078,0.1473214285714286,ir3100098.trees
0,100001.0,50,381,0.04425792361238766,-0.01814753656550682,0.02094457576316837,-0.0014715315999255614,0.09007044917521165,0.009768616985125243,-0.16481028869731307,0.1422931417464945,ir3100099.trees
