start,end,N,SS,FayH,ZngE,FerL,bsfs,TajD,FulD,Colless,btree,path,iColless,ibtree
0,50001.0,250,325,-0.20016871071830405,1.0485025933288052,-1.4067065137899741,-0.6805084370424446,-0.20145772367915296,0.10055220364754916,0.052949817703995726,-0.8988622236699192,9090000,0.0644933377476453,-1.7054185114805551
0,50001.0,250,311,0.047440466038494944,-0.2817048615688316,0.3536911037872565,0.4753274257651437,0.011005105879198509,-0.4850511000154579,0.03744431658745461,-0.04904372100413275,9090001,0.047364361262748525,-0.7179574952500198
0,50001.0,250,286,-0.28793218401792103,0.7193366328232556,-1.5334861983121777,-1.9355651165163985,-1.1488857504208014,0.4040932744570075,0.0640685380288956,-1.430631958058134,9090002,0.08582668896504883,-2.1959466955586766
0,50001.0,250,297,-0.2363050565842531,0.3341047647359996,-1.1013381559518522,-1.8219372049657048,-1.225188922949951,0.21102180163205705,0.05222358092216756,-0.9003534190214999,9090003,0.07121545811790664,-1.6632553294759598
0,50001.0,250,322,-0.02622009890875724,0.008510753592944622,-0.10478680819072032,-0.11436923607746212,-0.16750481912991708,0.2478692381560019,0.04332238784959498,-0.30458233441548405,9090004,0.04734305107344928,-0.56847981147486
0,50001.0,250,281,-0.027664258769973343,0.930003063812582,-0.6783529016243464,0.5342489353085685,0.8342934034875952,0.13030662653373762,0.042934008122250594,-0.31805014590783043,9090005,0.04783319494988753,-0.6992506130240431
0,50001.0,250,251,-0.4259657467520811,1.0285473571363557,-2.2407578312185303,-2.6856878960128694,-1.7300081785666566,-0.3110137743787682,0.07102295510768111,-2.2990807558599338,9090006,0.08367340329058169,-2.6008319546062513
0,50001.0,250,278,-0.05116250865884458,-0.1904926633556511,-0.0759742217450933,-0.8570683163932725,-0.5532330109011828,1.3193443505817777,0.048514692809056015,-0.7890155562982161,9090007,0.07779050554225961,-2.251875761989357
0,50001.0,250,226,-0.13063647912828255,-0.18351755235486744,-0.3776610679037932,-1.8904245891266211,-1.077129268159806,2.159665931377249,0.053192292310898566,-0.95762656472131,9090008,0.07080898580172419,-1.9903961452890104
0,50001.0,250,311,-0.32411131184986924,0.20640036051927355,-1.3566595076020656,-3.3980728222685235,-1.958391632190008,1.338914760137549,0.08871289145748221,-2.7753367461135343,9090009,0.09606743367637582,-2.678139630866448
0,50001.0,250,295,-0.04278165428884212,-0.6373624001811795,0.23109196384466846,-0.7654063465194584,-0.9870726111973034,0.5536543252005953,0.05621817293989855,-0.9857165588804809,9090010,0.07290494746387928,-1.7773686144956418
0,50001.0,250,250,-0.057340708248245525,0.06561785998238168,-0.2566681503396884,-0.3887748807079919,-0.3128772269658067,0.22767172877661346,0.0378453106303803,-0.17112931090874092,9090011,0.04740942995601872,-0.6642379516521122
