#/home/enes/bim/BIM.py trees/ir8110022.trees,trees/ir8110023.trees,trees/ir8110024.trees,trees/ir8110025.trees,trees/ir8110026.trees,trees/ir8110027.trees,trees/ir8110028.trees,trees/ir8110029.trees,trees/ir8110030.trees,trees/ir8110031.trees,trees/ir8110032.trees,trees/ir8110033.trees,trees/ir8110034.trees,trees/ir8110035.trees,trees/ir8110036.trees,trees/ir8110037.trees,trees/ir8110038.trees 250 --stats=all --eta=etas/BC.json --out=outs/165994456.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FerL,FulD,ZngE,TajD,FayH,btree,Colless,path
0,10001.0,250,91,2.742408561436399,-1.5978063990307119,-1.5895558298043457,2.980033701485582,3.788173933233952,0.06882006863462396,-1.7505988444397307,0.056271167619787905,ir8110022.trees
0,10001.0,250,76,5.6635872448495785,-1.4710629449269348,-0.5854940088060739,2.540222229611957,3.0509326924935327,0.029007081979768826,-1.502687705695038,0.05444358077471175,ir8110023.trees
0,10001.0,250,90,5.467763309076006,-1.91709558458485,-2.1818778696597896,3.3177839416553345,3.9685875103325676,0.03809551550152452,-0.42906414612364685,0.03999870449540096,ir8110024.trees
0,10001.0,250,99,3.5941331416994897,-0.9628343629193651,-2.080147139487221,2.100065944880233,2.9574617862445467,0.09333725771791795,-0.6844991741005417,0.04648702336226627,ir8110025.trees
0,10001.0,250,102,5.645767171361752,-1.522497493716932,-1.5699341777177904,2.8716448719162218,3.668420437762136,0.07029131983833362,-1.1342786609654807,0.048702876020209875,ir8110026.trees
0,10001.0,250,78,6.217730051704813,-1.9716467855691044,-2.7395781507494372,3.2714749142647457,3.785090303193638,0.01539465289136993,-0.9560360363236136,0.04850045342660966,ir8110027.trees
0,10001.0,250,86,4.268227933394383,-1.384697906663024,-1.5037543848650903,2.5583821439877306,3.234794951397101,0.0558205867479165,-0.9862905837770275,0.04895792848814613,ir8110028.trees
0,10001.0,250,75,4.137101244433826,-1.0028490678830737,-0.3120897366591775,1.815222577395022,2.2693522922993004,0.034496957199274904,-1.2343020950752264,0.05216025391890142,ir8110029.trees
0,10001.0,250,94,7.016118171584412,-2.386322553064565,-2.22088606121527,3.9636292886296527,4.560459081128352,0.0184842307903577,-1.1400323624773647,0.051350563544500585,ir8110030.trees
0,10001.0,250,117,2.3553346408686036,-1.7951828196322865,-1.4485166451657336,2.931577535454491,3.296422030097167,0.004754236688194577,-0.8679357827895245,0.04876927063091074,ir8110031.trees
0,10001.0,250,84,4.062115469444412,-1.5125587429295795,-0.816671783831052,2.645007040164527,3.200017738508454,0.03511748343112379,-1.446227513686772,0.05606296152351341,ir8110032.trees
0,10001.0,250,76,6.351865173352627,-1.7776674892697095,-0.8237285078272153,2.97291843556806,3.4686180454761417,0.01806865721086157,-1.7293625641579935,0.055876732737401215,ir8110033.trees
0,10001.0,250,92,6.828532341175431,-1.8354557836668282,-1.0095148062547443,3.0904670794086258,3.6039428311184944,0.021507517225779597,-1.1459493158542662,0.049941702293043136,ir8110034.trees
0,10001.0,250,87,3.5921141550164983,-1.259248031313513,-1.940814161722738,2.859012998163542,4.136192697078283,0.1430359620655612,-0.5853486732364057,0.044254437103251706,ir8110035.trees
0,10001.0,250,113,1.9203404125099786,-0.3720394791182824,-1.3908230245744218,1.1399243621158963,1.8707660317960344,0.09152298227785291,-0.37444630208700563,0.04223884786457658,ir8110036.trees
0,10001.0,250,67,3.5470662175517775,-1.353360105106783,-1.336586483997754,2.4733333393886916,3.12976798315208,0.05151561105497949,-0.05285983219758796,0.03158872047329101,ir8110037.trees
0,10001.0,250,81,5.920452847474282,-1.562608207810485,-0.28646895335467315,2.694260698278223,3.2240614926762743,0.029791971397006522,-0.4442200300850581,0.03637129161808525,ir8110038.trees
