#/home/enes/bim/BIM.py trees/ir8050218.trees,trees/ir8050219.trees,trees/ir8050220.trees,trees/ir8050221.trees,trees/ir8050222.trees,trees/ir8050223.trees,trees/ir8050224.trees,trees/ir8050225.trees,trees/ir8050226.trees,trees/ir8050227.trees,trees/ir8050228.trees,trees/ir8050229.trees,trees/ir8050230.trees,trees/ir8050231.trees,trees/ir8050232.trees,trees/ir8050233.trees 250 --stats=all --eta=etas/BC.json --out=outs/159907662.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,bsfs,FulD,ZngE,FayH,btree,Colless,path
0,10001.0,250,84,1.8287075200722571,0.010732905366723826,1.5823138533644296,-1.4667212390850626,0.8047810968245485,0.14301695866255676,-0.5645521687892654,0.04526493069050395,ir8050218.trees
0,10001.0,250,77,3.1229416349037207,-1.364498143380649,3.9539295985227256,-0.8521828352628039,2.4868019760674467,0.04974624503487061,-1.1674250125894836,0.04786889493457702,ir8050219.trees
0,10001.0,250,62,2.1743863507930365,-0.7891839378584036,4.248807031329094,-0.6239052371832599,1.5934081886762097,0.05748678017244822,-1.1158468955298353,0.051297355319897105,ir8050220.trees
0,10001.0,250,77,1.5291934377576366,-0.7385300054071064,1.2136654919287972,0.7949775862219588,1.2745184204051392,0.014396329528553865,-0.12058814632229427,0.03935557899801973,ir8050221.trees
0,10001.0,250,76,2.689512778942391,-0.7940735526321137,3.429628583226689,-1.0619630068483568,1.8334850932169875,0.09681340005160265,-0.7173730191741999,0.044491329372790704,ir8050222.trees
0,10001.0,250,56,1.755763955868488,-0.7109547351094099,5.889946108418465,0.2602815710889001,1.3426068350876978,0.03568259637872685,-1.5869965250627576,0.04929934792935182,ir8050223.trees
0,10001.0,250,59,1.504416071680504,0.19971031857167001,2.128150842898412,-1.109134321132358,0.4998620552809335,0.14818564471314308,-0.7074864960288285,0.04614875271696103,ir8050224.trees
0,10001.0,250,70,2.4138657899540545,-0.6238293051964429,2.3284868276104667,-1.151841061261325,1.5705938534934274,0.09978910292628575,-0.9887943802603694,0.05077406399792719,ir8050225.trees
0,10001.0,250,76,1.55972632984952,-0.3457279934461108,2.1959218562239604,-0.5854940088060739,0.9706379531045218,0.0724104654909033,-0.9165174428117149,0.05002498473155294,ir8050226.trees
0,10001.0,250,96,1.7885915738716802,-0.21907824072469265,1.6714825792565073,-1.285225614471405,0.9758042530187399,0.10697428915105425,-0.48338326122610054,0.042524938463531545,ir8050227.trees
0,10001.0,250,76,2.606710503909116,-0.5137361849389163,5.262630677647661,-0.8237285078272152,1.5704736739103362,0.13009576177765023,-0.8593166851611737,0.04572051647450015,ir8050228.trees
0,10001.0,250,47,2.5732782979866693,-1.092645728377638,5.955777190271158,0.48311220426469415,1.999049971053008,0.04451216601461689,-0.526695581729733,0.03936390724187071,ir8050229.trees
0,10001.0,250,58,2.590032954652259,-0.905402490045171,3.6133749423502217,-0.15568068336223265,1.8667924599928414,0.07355834943274932,-1.0019213857552822,0.04420099753854126,ir8050230.trees
0,10001.0,250,63,3.0077578717086673,-1.4110699705541843,5.782190247392452,-0.09285144646115781,2.46259628238509,0.03340900946045402,-1.6270546946623539,0.05765805156108304,ir8050231.trees
0,10001.0,250,63,2.408439007808256,-1.1312879197583197,5.707542819957328,-0.9454146926516994,1.973021570706056,0.026552188804345,-2.1441585342299336,0.05971196614414648,ir8050232.trees
0,10001.0,250,71,2.027917300703985,-0.46667119081735814,3.6085159114173804,-0.9241748137085984,1.273623865026182,0.09197612010694106,-0.8534548299899148,0.045250124923657764,ir8050233.trees
