start,end,N,SS,TajD,FayH,FulD,FerL,bsfs,ZngE,Colless,btree,path,iColless,ibtree
0,100001.0,50,517,-0.42613684285188397,-0.09979373468543594,0.26073479245950953,-0.5930650459649179,-1.3072050190785345,0.2995592438892973,0.1428650163769212,-0.281646793645946,8010000,0.14829056622649062,-0.4788452822532208
0,100001.0,50,421,0.10744627777350142,0.016010789284798595,-0.5126698551052601,0.07179585869027108,0.27300212891830256,-0.007440555674780819,0.1156979146798906,0.4284320646328997,8010001,0.12614611061816028,0.13012899689073032
0,100001.0,50,427,0.1104871765022427,-0.04928637619534914,-1.41902697875868,-0.48109188780889006,-0.15202835337588766,0.4788168423344488,0.12678024426144732,-0.007985944949912525,8010002,0.13867346938775513,-0.4396600389587203
0,100001.0,50,507,-0.38668983730573897,-0.09383910940855443,0.06765398303317904,-0.5657816395824279,-1.018020451228537,0.29606442343751765,0.17778897273194985,-1.1385908282235184,8010003,0.15414499132986528,-0.7477932104678228
0,100001.0,50,467,0.17579367311062102,0.0370057113676292,-0.05699969867304156,0.20908198083620108,0.5787279609674265,-0.0924291262810364,0.11403382107560005,0.5767771542555481,8010004,0.12000583815615795,0.36584454211239664
0,100001.0,50,448,-0.054917902280412254,-0.038184888268919887,-0.34968951280082256,-0.29014490956972194,-0.2223744995822699,0.2259930122052894,0.1124541439612493,0.32807688656594725,8010005,0.12213178922362597,0.222268304561597
0,100001.0,50,387,0.19445851278252896,-0.014417071185660478,0.0376711984425836,-0.2359801698944236,0.2887375103478667,0.3071676674914423,0.14770104470359585,-0.38349107738760857,8010006,0.16842628140365054,-1.0553448514993768
0,100001.0,50,446,0.2901317791244857,0.01914029634173264,-1.39954842595913,-0.00937506766166492,0.6257213484238368,0.15816206685453368,0.10280061098513488,0.8645375571050172,8010007,0.11042826221397653,0.5709080823285942
0,100001.0,50,419,0.10101734262251494,0.02995010540866262,-0.6054345460000344,0.19319147934176614,0.22099681068687624,-0.11717829376658187,0.09428978964857833,0.7773595699124807,8010008,0.11453484902733024,0.1339221535861805
0,100001.0,50,379,-0.2418317267975391,-0.04486933610435054,2.2558868903525235,-0.2356109225240359,-1.052045564545664,0.08172860621904565,0.1605040892761599,-1.0705630146882084,8010009,0.16842105263157894,-1.1610469892439574
