#/home/enes/bim/BIM.py trees/ir8070122.trees,trees/ir8070123.trees,trees/ir8070124.trees,trees/ir8070125.trees,trees/ir8070126.trees,trees/ir8070127.trees,trees/ir8070128.trees,trees/ir8070129.trees,trees/ir8070130.trees,trees/ir8070131.trees,trees/ir8070132.trees,trees/ir8070133.trees,trees/ir8070134.trees,trees/ir8070135.trees,trees/ir8070136.trees,trees/ir8070137.trees 250 --stats=all --eta=etas/BC.json --out=outs/633921576.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,FulD,FayH,ZngE,bsfs,Colless,btree,path
0,10001.0,250,100,2.6163384841138537,-0.41118849192532,-1.5398287485519544,0.14363739638300976,1.502094191426228,2.3807784127650433,0.038996593584966044,-0.4200915493658164,ir8070122.trees
0,10001.0,250,112,2.2454396651488318,-0.3418424014117545,-1.8695636684355499,0.1242878830602751,1.2833260588158626,1.879628124204195,0.03651828156297647,-0.05521891662049075,ir8070123.trees
0,10001.0,250,71,1.0720794884334455,-0.7758779362250635,-1.178204664169863,-0.02683997933309374,1.1003323817604835,0.5133365238168971,0.04697056477182073,-0.8642935968187339,ir8070124.trees
0,10001.0,250,79,2.294937821478898,-0.7704373090094573,-1.3663816265456403,0.06940794297811255,1.6408797096576742,3.7498304126555424,0.059110995955146746,-1.6784335017115009,ir8070125.trees
0,10001.0,250,89,2.337139252714665,-0.8084433856708968,-1.1461555644002281,0.06722964131161409,1.69453254452752,4.895340784848651,0.0445309463661096,-0.6226259851801778,ir8070126.trees
0,10001.0,250,86,1.3600027644662123,-0.11613032244179776,-0.8680787232409509,0.08881839259927675,0.699198923422446,2.7130304408602663,0.032941288965385354,0.19174404381164023,ir8070127.trees
0,10001.0,250,94,2.828504995359962,-1.0567385732192704,-1.831534611670541,0.07041327645896919,2.116291198713478,2.467879754399182,0.042619609953461486,-0.6157390266002559,ir8070128.trees
0,10001.0,250,92,1.9296121147229788,-0.8662079356855035,-0.413379600546483,0.027768826071613247,1.56054198484071,2.477850296758772,0.05686905327402801,-1.4460712038639567,ir8070129.trees
0,10001.0,250,110,1.8436862541554015,-0.1720337769640658,-2.014785798718204,0.11707888863965717,0.9654795726735693,1.476921737389227,0.03800562049687585,-0.03940578437351794,ir8070130.trees
0,10001.0,250,107,2.1743070914375195,-0.7007970706790033,-1.4685016778734334,0.06952301508259158,1.5404377701109342,1.3909513541874585,0.04179513753940493,-0.5491753132204784,ir8070131.trees
0,10001.0,250,130,2.2950910087759566,-0.1534038829249358,-1.3271989396174864,0.15314491613041642,1.1569169243975508,2.4588774621176834,0.03992611156528226,-0.1579278585027219,ir8070132.trees
0,10001.0,250,87,2.196717122284976,-0.5494742028407079,-1.3120893211746034,0.09268018105421638,1.4220411414241059,4.1691306860077875,0.048626765125016194,-0.7451411286058724,ir8070133.trees
0,10001.0,250,95,2.0963271987514256,-0.6014950332203803,-1.6519932725055517,0.07746936648681606,1.4219633852044613,1.901441491405717,0.049878832216913194,-0.9278095725813569,ir8070134.trees
0,10001.0,250,93,2.0637100905986263,-0.14463509293249197,-0.4413763354733104,0.13867015823643722,1.0376610810523803,1.6639017168016603,0.04971175022671331,-0.947420217907004,ir8070135.trees
0,10001.0,250,85,2.9859645816144775,-0.2528450128860053,-2.128226666345208,0.19541892779336034,1.532924537264268,1.969722394884503,0.03985116091606569,-0.2777110187738206,ir8070136.trees
0,10001.0,250,103,1.657079069702425,0.08054198256303081,-0.33594626494172475,0.1380422639845264,0.6763678872858212,3.000437291662924,0.044934871450611834,-0.48401277910568513,ir8070137.trees
