#/home/enes/bim/BIM.py trees/ir8120234.trees,trees/ir8120235.trees,trees/ir8120236.trees,trees/ir8120237.trees,trees/ir8120238.trees,trees/ir8120239.trees,trees/ir8120240.trees,trees/ir8120241.trees,trees/ir8120242.trees,trees/ir8120243.trees,trees/ir8120244.trees,trees/ir8120245.trees,trees/ir8120246.trees,trees/ir8120247.trees,trees/ir8120248.trees,trees/ir8120249.trees 250 --stats=all --eta=etas/BC.json --out=outs/351337737.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,FayH,FulD,TajD,FerL,btree,Colless,path
0,10001.0,250,73,5.479848812504329,3.6616212610896492,0.013453175938833297,-1.228890628631926,4.221071158033676,-2.2211593504955003,-0.9520490775123855,0.04165047285917865,ir8120234.trees
0,10001.0,250,69,6.6113329993442855,3.2692951523275853,0.0151656633011417,-0.08095331164316459,3.7959960121922185,-1.97295322135959,-0.4119085477901918,0.04132659670941832,ir8120235.trees
0,10001.0,250,75,6.4444087495026885,3.682944501536562,0.014671591639988508,-2.000728939642736,4.2492706164602705,-2.229651737048578,-0.3105039428225304,0.04006347972535302,ir8120236.trees
0,10001.0,250,69,4.249110876329518,4.062131241068967,0.0018963645485667211,-1.646663248705676,4.608371005828681,-2.5106682512590206,-1.6151775523900112,0.05585244202616919,ir8120237.trees
0,10001.0,250,84,6.773470547077999,3.733504169460282,0.02030077998432941,-1.9000875425877362,4.32780046035305,-2.2391831729419547,-0.47222320772574794,0.04038735587511336,ir8120238.trees
0,10001.0,250,84,4.401122206215305,4.067175764571569,-0.0005947367875676656,-2.116770694339073,4.567847103101254,-2.5201250382656797,-1.9203212263543499,0.05476745692447208,ir8120239.trees
0,10001.0,250,68,3.2127070219813953,3.8287141941595952,0.021984565409003957,-2.1551565947983926,4.474653180835483,-2.296073591458413,0.07720845200675946,0.032646715895841436,ir8120240.trees
0,10001.0,250,79,5.260257540467156,3.7120410797715073,-0.005400076403686442,-1.8257169516728144,4.145922672447997,-2.3179184944327367,-0.4691203054047667,0.04291358984324395,ir8120241.trees
0,10001.0,250,73,4.16384398142244,3.281421102727331,0.018835935321111327,-1.228890628631926,3.826222095643529,-1.9666955321553574,-2.0054779397958242,0.06791682860474155,ir8120242.trees
0,10001.0,250,61,6.094099063579119,3.922009679094547,0.0026555338623840395,-1.1712087483045164,4.475071811967352,-2.422913646617953,0.2946247014246036,0.032808653970721594,ir8120243.trees
0,10001.0,250,76,6.39697917842908,3.231687735208476,0.013671839411594972,-1.061963006848357,3.7321876831883674,-1.953461662061333,-0.8012134518768951,0.04388521829252494,ir8120244.trees
0,10001.0,250,81,6.262112874882531,3.5203152846523498,0.00740496670705102,-0.959342600914889,4.009300535539372,-2.153537879088737,-0.40008668086332866,0.04152092239927452,ir8120245.trees
0,10001.0,250,61,4.282386946129581,3.185263546835034,0.01703942780678644,-1.4640919793747555,3.7286218460917606,-1.9163895660684525,-1.0191036656419892,0.04916439953361835,ir8120246.trees
0,10001.0,250,83,5.3047765324976925,4.018068030456287,0.006968151722750322,-1.6667313073792045,4.563182195147806,-2.462968163618616,-1.5034492566699258,0.05799002461458738,ir8120247.trees
0,10001.0,250,59,4.304440882925413,2.9964757748204986,0.015401342922557225,-1.411263445076351,3.507893747681928,-1.8055194375375754,-2.206519549871931,0.06539059463661095,ir8120248.trees
0,10001.0,250,73,6.743774122527431,3.7469902781293367,0.014133155685603275,-1.7238234572289757,4.321830736135048,-2.2716569271166374,-0.6540568927854862,0.04450058297706957,ir8120249.trees
