#/home/enes/bim/BIM.py trees/r8100221.trees,trees/r8100222.trees,trees/r8100223.trees,trees/r8100224.trees,trees/r8100225.trees,trees/r8100226.trees,trees/r8100227.trees,trees/r8100228.trees,trees/r8100229.trees,trees/r8100230.trees,trees/r8100231.trees,trees/r8100232.trees,trees/r8100233.trees,trees/r8100234.trees,trees/r8100235.trees,trees/r8100236.trees,trees/r8100237.trees 250 --stats=all --eta=etas/BC.json --out=outs/251471668.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,ZngE,bsfs,TajD,FerL,btree,Colless,path
0,10001.0,250,103,0.08724852506588705,-1.9413159995555833,1.895067091265872,2.285292736963631,2.6872493414917455,-0.8568887196827452,0.3721659640782571,0.031822714714823286,r8100221.trees
0,10001.0,250,102,0.12031250219794071,-1.7499836365072694,1.9083604439825612,1.9311160789514579,2.918182543504019,-0.7459500121628272,0.6844185337168841,0.02772109945156973,r8100222.trees
0,10001.0,250,72,0.09768820357587575,-1.955994246682039,1.8129436972990105,4.146193535361813,2.6736288604669545,-0.7802770506502509,0.05595667075126093,0.031164082854716363,r8100223.trees
0,10001.0,250,113,0.07454596490810234,-1.55401651621843,2.2281772346864273,3.277169415453889,2.972601298896872,-1.1066985717163298,1.119927499988362,0.025162585827179687,r8100224.trees
0,10001.0,250,87,0.055899326797664836,-1.3120893211746034,1.5779567106477903,2.205069194013201,2.1336662049420814,-0.7772593029688671,0.49087060654650105,0.030284270723446773,r8100225.trees
0,10001.0,250,121,0.08828383876956998,-1.655327106510494,1.7976549943502411,2.12843868034415,2.5810596555424263,-0.7888915497476701,0.6400183698390477,0.030180494273107605,r8100226.trees
0,10001.0,250,99,0.1597843828643451,-2.450685174028582,1.8566224341382909,2.4404849500881074,3.1181651734983244,-0.5727355389759513,-0.3597470850467514,0.03864717807586055,r8100227.trees
0,10001.0,250,92,0.11159052505203348,-1.8043617471990918,0.9454394805565407,3.4286072807931083,1.7843689990082483,-0.18507370091446923,0.31428422590883215,0.031506524632253355,r8100228.trees
0,10001.0,250,102,0.1414069893292479,-1.9300330952967484,1.6793458788458815,2.731900362945709,2.7998734180048244,-0.5280939905893677,0.5929140229296374,0.03097496368452533,r8100229.trees
0,10001.0,250,114,0.07069631254640434,-1.0819784535613153,1.7569023290975188,3.393900220100078,2.421751485611991,-0.8291065236291335,0.09548839591644738,0.03543482686506393,r8100230.trees
0,10001.0,250,126,0.06785652928700744,-1.2715277214560743,1.3004725139846793,1.0878585801609206,1.8927903637992782,-0.5554314065826683,0.32312726569115424,0.033557102309531385,r8100231.trees
0,10001.0,250,99,0.07290660264457874,-0.783264018592459,1.3763868746965375,3.6730063997628495,2.014789216698423,-0.5887545509196856,-0.6417308922531136,0.04527338745663659,r8100232.trees
0,10001.0,250,94,0.17129618603649477,-0.8581559878087193,1.3290613666675977,1.9893478410870036,2.602362167894273,-0.20737859021039026,-0.13592968752469184,0.03670596363950426,r8100233.trees
0,10001.0,250,97,0.08387089426396589,0.01891484066052937,1.3299338071814553,1.7942174645056312,2.034581106905032,-0.5210127481698076,0.3211586713762754,0.03089515866429975,r8100234.trees
0,10001.0,250,95,0.09503640122130377,-1.6519932725055522,2.127568255688065,2.1269972414154794,3.000801488080641,-0.9749785941116598,0.2601720151068238,0.03337867599429979,r8100235.trees
0,10001.0,250,92,0.11618228263840957,-1.208226541490831,0.8500416384569128,2.6726690098832244,1.7072465006419213,-0.10957618314579903,0.4754515336875996,0.030579438130176093,r8100236.trees
0,10001.0,250,107,0.10688986162596174,-2.1564016374958395,1.3993730894764933,2.067395411230566,2.2612311248895653,-0.4781473828005543,0.5382761183202041,0.02725247339101738,r8100237.trees
