#/home/enes/bim/BIM.py trees/r8010136.trees,trees/r8010137.trees,trees/r8010138.trees,trees/r8010139.trees,trees/r8010140.trees,trees/r8010141.trees,trees/r8010142.trees,trees/r8010143.trees,trees/r8010144.trees,trees/r8010145.trees,trees/r8010146.trees,trees/r8010147.trees,trees/r8010148.trees,trees/r8010149.trees,trees/r8010150.trees,trees/r8010151.trees,trees/r8010152.trees 250 --stats=all --eta=etas/BC.json --out=outs/109701321.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FulD,TajD,FerL,bsfs,FayH,btree,Colless,path
0,10001.0,250,62,0.06267780052218257,-0.33543542270571325,0.63629773837147,0.26957484122514636,1.3828059500060053,0.08918334844726762,0.346073622269854,0.02959553266830764,r8010136.trees
0,10001.0,250,75,0.556335064387437,-0.07085556480438301,0.7500846670681203,-0.27739661002250504,1.045338877742728,0.01907427667039157,0.6789184456100537,0.027877858425856872,r8010137.trees
0,10001.0,250,80,0.8466656484896361,0.42818137975939313,1.370606155616629,-0.2946805503088514,1.6868899746147965,0.06478497582693743,0.41400411251920743,0.03094096817377035,r8010138.trees
0,10001.0,250,66,0.3549888510791006,-1.5830521643995803,0.7601182684777225,-0.024348682979900626,0.8813736824601239,0.05621602014985419,0.6225059612759252,0.030230754045367327,r8010139.trees
0,10001.0,250,73,-0.12717892814594986,-0.9814242143334017,0.5140839023030518,0.4396140991698833,1.157218314394654,0.10264467994947114,0.5257337588828453,0.029647051202914124,r8010140.trees
0,10001.0,250,66,1.0472270640826735,-0.4947585593334028,1.4554723222592825,-0.5022024980714717,0.8189455129359279,0.04220459052098651,0.4203772810236159,0.029960248464145203,r8010141.trees
0,10001.0,250,67,0.23624893445888118,-1.0683244134544412,1.5021821389304184,0.5291174691191108,2.4835232416476294,0.19377131344827922,0.6072689436403855,0.027089926526382025,r8010142.trees
0,10001.0,250,63,1.1114907125768332,-1.2296024413818796,1.335647376095723,-0.648845754679212,1.4619550463623763,0.011626657695224358,0.520597980241825,0.028999372178540466,r8010143.trees
0,10001.0,250,80,-0.655944754559721,-0.025713725053859215,0.15663179753521383,0.8985369942810679,1.5428093470030264,0.13891483078712985,0.5429142185269981,0.030279475673956825,r8010144.trees
0,10001.0,250,66,0.6374760327086926,0.049388243199684524,1.5987512016218506,0.08412363583925912,1.94561232558922,0.1376778841967723,0.2798683608269617,0.033416544590271755,r8010145.trees
0,10001.0,250,63,0.43995907520189576,1.328087297189745,0.8735329877027308,-0.06850904123569805,1.098428281058555,0.05896232472673443,0.1678532726236963,0.032069136762102164,r8010146.trees
0,10001.0,250,75,-0.2852132048809352,-1.277026424078354,0.3165219498453994,0.52712973169384,1.2592994494323937,0.09944803301258348,0.49041728453050804,0.029877574815390596,r8010147.trees
0,10001.0,250,63,0.34847796891279514,-0.9454146926516994,0.915432990238403,0.06780935420740812,0.7944608093593839,0.08193929470031222,-0.29781179155813653,0.03797028016486496,r8010148.trees
0,10001.0,250,52,-0.3330930388741746,-0.5175456139137313,0.48835258245888086,0.6784081342591537,1.5058966068819735,0.13915404629898315,0.06499198784115404,0.033244730072363185,r8010149.trees
0,10001.0,250,71,0.028993888862651064,-0.6701449632473339,0.7700594204392579,0.386186277768114,1.3750287309838698,0.11527129281327173,0.12289446189038981,0.03305441881377502,r8010150.trees
0,10001.0,250,60,-0.4346678360417816,1.5362542753452304,0.33600593663957473,0.7223315444431101,0.9497039710251921,0.13137895603562338,0.29157404601932796,0.03001768645409126,r8010151.trees
0,10001.0,250,78,0.7112450900581878,0.5147760934111183,1.3844336492602884,-0.1200017456246059,1.5770754772101923,0.09062438178474194,0.4133107135616291,0.03196079247867044,r8010152.trees
