#/home/enes/bim/BIM.py trees/r8080034.trees,trees/r8080035.trees,trees/r8080036.trees,trees/r8080037.trees,trees/r8080038.trees,trees/r8080039.trees,trees/r8080040.trees,trees/r8080041.trees,trees/r8080042.trees,trees/r8080043.trees,trees/r8080044.trees,trees/r8080045.trees,trees/r8080046.trees,trees/r8080047.trees,trees/r8080048.trees,trees/r8080049.trees,trees/r8080050.trees 250 --stats=all --eta=etas/BC.json --out=outs/438304933.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FerL,TajD,bsfs,ZngE,FulD,Colless,btree,path
0,10001.0,250,92,0.08944979757237245,-0.7120689325548082,2.451414766749191,3.2368447018004924,1.668754462446258,-1.208226541490831,0.03319560073911947,0.24292483499284967,r8080034.trees
0,10001.0,250,86,0.1444916677139283,-0.09020443439657964,2.0333594412131313,1.6643068399889003,0.9780006451698076,0.40327260000732684,0.03078507578701903,0.15648707997511924,r8080035.trees
0,10001.0,250,73,0.00047648215832060665,-1.4630981225313917,2.673000777463807,2.7976368922538337,2.364364239270074,0.008441442860697186,0.043848414184597624,-0.3146593299696438,r8080036.trees
0,10001.0,250,81,0.07937820333057909,-1.1700812148949333,3.150162491276221,4.8446410132068305,2.3444682038542948,-1.8565074643285109,0.02970193428802057,0.4012898749153676,r8080037.trees
0,10001.0,250,88,0.048517837782083066,-0.7592770920751101,2.00545319734515,3.4592912743370787,1.506678455201501,-0.7099544239345613,0.032251586993133824,0.029683289982455667,r8080038.trees
0,10001.0,250,66,0.01823875568235278,-1.0756634105117826,2.1989210862020805,4.367643175764945,1.8378055246160026,-1.0389053618664916,0.0351805704792605,0.02651103031327826,r8080039.trees
0,10001.0,250,105,0.07000093938062488,-1.30123651523806,3.2645154399676555,3.6230030188772537,2.5133689802626797,-1.6130320424863303,0.034361787325254106,0.06593700306961459,r8080040.trees
0,10001.0,250,86,0.06697207738607712,-0.8088768044975032,2.334283363791679,6.3246998765048605,1.692430057147421,-1.0799706104489974,0.03181157810967372,0.14743569722781033,r8080041.trees
0,10001.0,250,80,0.055650577139163826,-1.3352465595967384,3.1446469698556463,2.904820550157226,2.47476345050055,-1.387399039493618,0.037796346677030704,-0.1622429627720032,r8080042.trees
0,10001.0,250,98,0.10130909469323962,-0.6330138739603431,2.4646322093740474,1.7134830013424882,1.6128945757324913,-2.631010536380065,0.04264282938204431,-0.5994770846509327,r8080043.trees
0,10001.0,250,101,0.14816169721816339,-0.29267381901679823,2.4618863722670863,1.7750692476722953,1.3375608117597324,-0.6462425656524332,0.02878287342920067,0.5084734486642266,r8080044.trees
0,10001.0,250,86,0.10365477852096618,-0.5369101117719285,2.3154734912019324,4.060789764001668,1.4643884314790627,-0.6561868360329047,0.035274529201851396,0.15929347201821087,r8080045.trees
0,10001.0,250,78,0.1106622718624698,-0.4837683164970921,2.304069721694478,3.6273809506033725,1.4130297700267815,-1.1124010286691595,0.03337603700344988,-0.12437000422822211,r8080046.trees
0,10001.0,250,110,0.06873943676552872,-0.7804033805217458,2.307988632789044,0.8766293039103157,1.6654724812552462,-1.8473166930552634,0.02727037180981992,0.6452953540836925,r8080047.trees
0,10001.0,250,49,0.028964727876160275,-1.5895373639705352,3.29689049011878,5.342800500123585,2.7169038976580024,-1.0878327471550782,0.03462595903326568,-0.05398366226290596,r8080048.trees
0,10001.0,250,96,0.13507821505244086,-0.18703948674821125,2.096367460641123,1.4967677293014823,1.0873642230550267,-1.4760261896043325,0.024107650799551635,0.807931681208325,r8080049.trees
0,10001.0,250,61,0.018222969214657495,-1.2892481362610761,2.5939851514983996,3.374665104451612,2.180515661408087,-0.2925590550937994,0.03716586777216392,-0.26820039958611563,r8080050.trees
