#/home/enes/bim/BIM.py trees/r8070091.trees,trees/r8070092.trees,trees/r8070093.trees,trees/r8070094.trees,trees/r8070095.trees,trees/r8070096.trees,trees/r8070097.trees 250 --stats=all --eta=etas/BC.json --out=outs/630942026.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,TajD,bsfs,ZngE,FayH,FerL,Colless,btree,path
0,2501.0,250,7,-0.2641278187844844,0.00044557375450801574,1.690525703800356e-05,-0.04839370671452923,0.015151894982177718,0.06124557184001846,0.03318805174615513,0.42048576873804044,r8070091.trees
0,2501.0,250,5,-1.854344998188919,-0.5112072996631414,-1.0984155157791493,3.692988009859974,-1.4822121127868528,-4.912351115463167,0.03587800332845027,0.12655040624117989,r8070092.trees
0,2501.0,250,6,-1.9642299758823034,0.045406561488518904,0.5143568021575335,-0.4779984647067054,0.17068868120992778,0.6253817937140014,0.02937556678326208,0.414967167581408,r8070093.trees
0,2501.0,250,12,-1.158357620566287,2.1906258929091464,2.442346305999889,1.4033692308240595,0.08901557720096001,-0.6606403704798048,0.0320293269853608,0.23220644910061577,r8070094.trees
0,2501.0,250,9,2.274582229907494,-0.06758131475841805,1.1085547122109732e-08,-0.5379493547089448,0.13616868182094594,0.6437017240270118,0.03365433058398468,0.3215939024988611,r8070095.trees
0,2501.0,250,16,0.35929845412631356,0.962030154610485,1.928835509515964,0.6246388301069569,0.03741291156843687,-0.29023689515352047,0.02820151574038088,0.6292747308239468,r8070096.trees
0,2501.0,250,9,-0.7089587510095278,0.5035331322874814,1.1085547122109732e-08,1.4381383661556868,-0.2928229175441581,-1.561281893086533,0.043925079972495444,-0.4922118279206535,r8070097.trees
