#/home/enes/bim/BIM.py trees/r8110085.trees,trees/r8110086.trees,trees/r8110087.trees,trees/r8110088.trees,trees/r8110089.trees,trees/r8110090.trees,trees/r8110091.trees,trees/r8110092.trees,trees/r8110093.trees,trees/r8110094.trees,trees/r8110095.trees,trees/r8110096.trees,trees/r8110097.trees,trees/r8110098.trees,trees/r8110099.trees,trees/r8110100.trees,trees/r8110101.trees 250 --stats=all --eta=etas/BC.json --out=outs/526835563.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,FulD,FayH,TajD,bsfs,btree,Colless,path
0,10001.0,250,84,3.2271904265303926,-1.9716348292382284,-1.0333549355823888,0.007399732349664322,3.67532136911635,4.609258830076117,1.0166907423405094,0.02384133307423241,r8110085.trees
0,10001.0,250,86,3.1546238695724407,-1.8921211884140259,-1.5037543848650903,0.017027120353530368,3.653520551606106,2.7658124086126286,0.17894040907259598,0.031244794847593144,r8110086.trees
0,10001.0,250,81,2.212395522893315,-1.2249703624572343,-1.1836338167682943,0.04085807165858495,2.7531544284646015,6.451418753290298,-0.08244253213066104,0.03831835882429148,r8110087.trees
0,10001.0,250,81,1.9658598517661532,-1.0235026468146342,-2.753672327742132,0.05461526154143997,2.564425530691085,2.3475422642173016,-0.057712341053770204,0.03178779634667703,r8110088.trees
0,10001.0,250,98,2.537478085961401,-1.3785254218238854,-2.069779994164669,0.05314136773279598,3.185441556363941,5.557984660224107,0.2743678197784982,0.030936990747369785,r8110089.trees
0,10001.0,250,80,2.0351527560739333,-1.095682994395465,-0.7065563822737388,0.046434702149913576,2.590355371899042,5.17838065021158,-0.1990291364141539,0.03786314613291877,r8110090.trees
0,10001.0,250,84,3.553894401326132,-2.1087372509515743,-1.683404390836399,0.02570943700170208,4.160858710023828,6.837725204910732,-0.5056647780766038,0.03953808063796406,r8110091.trees
0,10001.0,250,92,2.2318865005119726,-1.1696184315809497,-0.61209133578257,0.05902817450546098,2.8851330553681005,6.375001150634452,-0.3635575268583268,0.03766216941498714,r8110092.trees
0,10001.0,250,97,1.7508911652089316,-0.41538504652202485,-2.248129290939278,0.1855918567980284,3.1679878478361267,1.678947907868936,0.43798922411411356,0.030561570398336818,r8110093.trees
0,10001.0,250,75,2.5932253651063943,-1.3458940615947073,-1.7594947677879422,0.07390618063653112,3.4000410760810995,5.616232796255509,0.6677689668517501,0.029142375955434643,r8110094.trees
0,10001.0,250,100,2.4338667463208887,-1.1841792850505821,-1.7233245762528127,0.08914065169918682,3.3030402997153305,6.188360794516665,0.6232969642445172,0.02565099106101826,r8110095.trees
0,10001.0,250,74,2.6944758117806638,-1.4944389861284215,-1.2532650937625145,0.04964390740276244,3.3596700538201665,5.824314396471818,-0.13152012030200227,0.032063738826272836,r8110096.trees
0,10001.0,250,106,1.992037089652003,-0.6000160496562947,-1.4533470539718347,0.17453530287804292,3.3653166233644947,1.6073741761577829,-0.3454711329899184,0.04148246210649048,r8110097.trees
0,10001.0,250,104,3.220669578598691,-1.5913777944587004,-2.1291215012480333,0.11080623896397193,4.321718231961772,3.505707291629312,0.3145884796969459,0.030034886088131325,r8110098.trees
0,10001.0,250,105,3.2998576594806663,-1.8731454325173464,-1.6130320424863303,0.04639006488705423,3.9886160183750605,6.502062910748449,0.11223692041364104,0.03333360323012479,r8110099.trees
0,10001.0,250,98,2.1735534218044883,-0.8591382525547187,-1.6956262993544056,0.13483641636720045,3.310363811672159,1.5400945977415923,0.7503051909693461,0.029514226259878217,r8110100.trees
0,10001.0,250,80,3.21392471019024,-1.910369972216099,-2.2951892491201233,0.022525934127703366,3.7633515695137816,4.9677539353174955,0.5621501350411489,0.02912294338644903,r8110101.trees
