#/home/enes/bim/BIM.py trees/ir3080000.trees,trees/ir3080001.trees,trees/ir3080002.trees,trees/ir3080003.trees,trees/ir3080004.trees,trees/ir3080005.trees,trees/ir3080006.trees,trees/ir3080007.trees,trees/ir3080008.trees,trees/ir3080009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/761332315.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,FerL,FayH,FulD,ZngE,btree,Colless,path
0,100001.0,50,399,-1.1017309362438417,-0.4660254907866881,-0.23749690028499754,-0.06072257499384829,0.9766257796417627,-0.03239592406076584,-1.082130320288294,0.16099773242630383,ir3080000.trees
0,100001.0,50,463,0.38671559585376325,0.08162247360943282,0.3465993142110678,0.04671188239113195,-0.7332044272035878,-0.26169247298432985,0.28535139555092087,0.11649005756148613,ir3080001.trees
0,100001.0,50,511,-0.4478978141665663,0.04623346229731247,-0.6889044352766669,-0.07819112428253507,-0.1617830418333545,0.6280544992092698,-1.1752454088237851,0.18161510636000433,ir3080002.trees
0,100001.0,50,307,-1.0396250952153558,-0.32195336564085353,-0.4066767959241476,-0.07101371029816193,1.0958940076744208,0.19057107982996135,-1.975024394821858,0.23115258761732538,ir3080003.trees
0,100001.0,50,398,-1.4200284723344234,-0.7303870132333006,0.3778436746101174,-0.006202936364362217,0.42930594469027794,-0.70819488928822,-1.5909792782623546,0.1698724489795919,ir3080004.trees
0,100001.0,50,457,-2.096200324140127,-0.8250291940860606,0.23466947102296007,-0.02979937662772001,1.5054111254178244,-0.6322339175476436,-1.3626237731415194,0.1700148809523809,ir3080005.trees
0,100001.0,50,414,-0.7725558309023098,-0.26766580066960716,-0.5440866759238693,-0.0831873653746447,0.6075572551554419,0.33870776434095556,-0.9007768980696925,0.17210884353741493,ir3080006.trees
0,100001.0,50,412,-0.934707742608675,-0.3879866788641265,-0.5932839369255442,-0.09742797289712939,-0.12838726470881381,0.3197029494232139,-1.011716038382374,0.19474524503679017,ir3080007.trees
0,100001.0,50,472,-0.16391493837466814,0.041254638749778375,-0.3056282702164811,-0.03327961695361892,-0.18549735947968754,0.28931138771813525,-0.13806444489099093,0.1335112748803225,ir3080008.trees
0,100001.0,50,446,-0.8259633248597887,-0.5738543803747423,0.04803163162435114,-0.03436622036990683,-0.13715614356831193,-0.33868330209390146,-0.942454414158075,0.1849876314162029,ir3080009.trees
