#/home/enes/bim/BIM.py trees/ir8060138.trees,trees/ir8060139.trees,trees/ir8060140.trees,trees/ir8060141.trees,trees/ir8060142.trees,trees/ir8060143.trees,trees/ir8060144.trees,trees/ir8060145.trees,trees/ir8060146.trees,trees/ir8060147.trees,trees/ir8060148.trees,trees/ir8060149.trees,trees/ir8060150.trees,trees/ir8060151.trees,trees/ir8060152.trees,trees/ir8060153.trees 250 --stats=all --eta=etas/BC.json --out=outs/345484306.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,ZngE,bsfs,TajD,FerL,Colless,btree,path
0,10001.0,250,48,0.010119393019973978,-0.6830440061623675,3.0180062356844672,5.110405189721786,3.5282771117532685,-1.8402347089902136,0.044565358207021635,-1.0076149889076258,ir8060138.trees
0,10001.0,250,49,0.014154104440444067,-1.0878327471550784,2.905311091458254,4.975599156510492,3.420973380703728,-1.7563499461125205,0.05261368052856588,-1.2158033670308894,ir8060139.trees
0,10001.0,250,50,0.019882971178626908,-1.1255238311699998,2.6929304299150245,6.283678907012095,3.210386228566403,-1.6048200904246444,0.038346936131623266,-0.04910351598352074,ir8060140.trees
0,10001.0,250,39,0.014245003326108908,-1.9406162743545758,2.9940998948241506,6.042334249223923,3.559055269561117,-1.8155243558046414,0.03777475493371335,-0.5339584297335592,ir8060141.trees
0,10001.0,250,48,0.0198487046473367,-0.6830440061623676,2.739209254200577,6.2081746013297,3.268503651400071,-1.6344568255687466,0.034719523254307556,0.14919957062185607,ir8060142.trees
0,10001.0,250,43,0.0067593398357180335,-0.8282685532241705,2.8222688542186103,4.697905654838231,3.2989364229902134,-1.7315576557680439,0.03894610700867988,-0.515730741650041,ir8060143.trees
0,10001.0,250,56,0.004508947271330772,-0.056868785439619145,2.9852004202138036,5.620313189738816,3.433384898815058,-1.8366457604075208,0.0313512112968001,0.46298602659643984,ir8060144.trees
0,10001.0,250,54,0.009721397879917128,-1.5914089407117977,3.0501661284580006,6.281654469945804,3.5453599059834584,-1.8596775422995442,0.03444422852701127,-0.13642081321276198,ir8060145.trees
0,10001.0,250,69,0.016087580138464383,-1.9076149048827613,3.4128577618543545,4.895377820372123,3.9643213584112504,-2.0586954056855915,0.058783521181500195,-2.1489030604123833,ir8060146.trees
0,10001.0,250,39,0.05231733264866113,1.1518338773479468,1.5759934929340607,3.7318588269533737,2.145690226503941,-0.8096129824480205,0.05156108304184479,-1.0804007281704866,ir8060147.trees
0,10001.0,250,66,0.002917102188954593,-1.310978763133036,4.512274609395824,6.804031111404134,5.132453649242872,-2.7867522085764924,0.039577665500712525,-0.14019934943056148,ir8060148.trees
0,10001.0,250,54,-0.0004976710087262884,-0.9353579182464251,3.4041954238961485,5.488165537338595,3.885737092691316,-2.1141661059842343,0.06064580904262211,-2.4272821852592052,ir8060149.trees
0,10001.0,250,52,0.03273103257911118,0.5014812498441626,2.4316739895724173,4.822593954126862,2.986870036481088,-1.3983777766790273,0.05091333074232413,-1.3818887766164207,ir8060150.trees
0,10001.0,250,60,0.033505413390811145,-1.7355214011225155,2.693736540022979,4.794053826139751,3.275821208728681,-1.5551033300730777,0.04145614716932245,-0.38401221276068415,ir8060151.trees
0,10001.0,250,77,0.03801468292272772,-0.8521828352628039,2.892573235362438,3.1308781944483415,3.504908970004563,-1.6572563256875263,0.04127801528695427,-0.6731010721310831,ir8060152.trees
0,10001.0,250,57,0.027250092743111746,-1.0430187794141097,2.442008154973854,5.318228671894568,2.9549903935991404,-1.421529237530672,0.045536986656302625,-0.6479974891612893,ir8060153.trees
