#/home/enes/bim/BIM.py trees/ir8040073.trees,trees/ir8040074.trees,trees/ir8040075.trees,trees/ir8040076.trees,trees/ir8040077.trees,trees/ir8040078.trees,trees/ir8040079.trees,trees/ir8040080.trees,trees/ir8040081.trees,trees/ir8040082.trees,trees/ir8040083.trees,trees/ir8040084.trees,trees/ir8040085.trees,trees/ir8040086.trees,trees/ir8040087.trees,trees/ir8040088.trees,trees/ir8040089.trees 250 --stats=all --eta=etas/BC.json --out=outs/757084115.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,bsfs,TajD,ZngE,FerL,btree,Colless,path
0,10001.0,250,90,0.050349046927024105,-0.15268939404014567,4.013310556790446,1.4198941875490634,0.9747347276620131,-0.42309771226634896,-1.7214536430649738,0.061073788240519684,ir8040073.trees
0,10001.0,250,84,0.08137119772510876,-0.8166717838310519,3.058950742384133,2.3180041831306015,1.5944447325867606,-0.6975401377365985,-0.3871436318602176,0.04170310273351471,ir8040074.trees
0,10001.0,250,74,0.13848642867339633,-0.2760231599475559,3.0424412182659473,2.0740356835581735,1.0506751424793914,-0.1634398617788747,-0.2152208275435368,0.039403950111295626,ir8040075.trees
0,10001.0,250,108,0.11973198109025322,-0.9720481760072849,2.0976050265222574,2.3167303697964305,1.3738876299124152,-0.4155504474324975,-0.5227747200783125,0.04095876593933336,ir8040076.trees
0,10001.0,250,90,-0.011903717730989844,-1.7760401745358605,1.3428943332692052,2.0388863154774395,1.8865259721772438,-1.2101971535402003,-1.5409160727628242,0.058674212980956084,ir8040077.trees
0,10001.0,250,104,0.12499277555997122,-0.7152792666028301,1.3720904492383506,1.5008190697814112,0.6126079363546714,0.07313290699041299,-0.7543133328306926,0.04737796687599293,ir8040078.trees
0,10001.0,250,90,0.08298827296360917,-1.5731213269738962,1.466280504701873,2.0455687835497613,1.343810386796465,-0.5347208271984921,-0.4036375361582989,0.04315541736839833,ir8040079.trees
0,10001.0,250,75,0.10421539464177479,-0.5533239085139714,1.8847956366645544,1.0611353022182717,0.3476654425178302,0.15190113107222705,-0.2635558609659077,0.03963974176274993,ir8040080.trees
0,10001.0,250,100,0.10662445882058058,-1.3563329208510964,1.9134311223985059,1.788417100424141,0.977560277921171,-0.22018782198112108,-0.7175484019124885,0.045874944377791674,ir8040081.trees
0,10001.0,250,88,0.11357500629576285,-0.5026462318554934,1.55445930618709,1.6284620012048348,0.7953465460298832,-0.08657665418280214,-0.7504153543452055,0.04738308070993653,ir8040082.trees
0,10001.0,250,70,0.12095225223550271,-1.151841061261325,1.9482584257989808,1.903940280952704,1.0001135044701657,-0.19623048099601115,-0.9135860039943104,0.04656326920585569,ir8040083.trees
0,10001.0,250,82,-0.03886227475454409,0.12389836310545592,0.447274553866384,0.82669564295642,0.9578280198550205,-0.7310890138444571,-0.6097489616089043,0.04569532610729657,ir8040084.trees
0,10001.0,250,83,0.10870752878521629,-0.7900869655883193,2.657312814942743,1.4644592071774643,0.6781199875436856,-0.03336066897653508,-0.7850115837149638,0.04532646715895842,ir8040085.trees
0,10001.0,250,82,0.0975387241339834,0.7889876617309992,2.012351846646499,1.610685457372658,0.8723470495642173,-0.19370572778100262,-0.5258493960362906,0.04262817398626765,ir8040086.trees
0,10001.0,250,71,0.09862677962410778,0.09194458813645924,2.3444449761113924,0.34835762627112715,-0.2498970920180823,0.5006322330633438,-0.5565071182456991,0.04188307482127925,ir8040087.trees
0,10001.0,250,86,0.12306203397767816,-1.0799706104489972,1.8265656854075505,1.963641053521642,1.0393673284891995,-0.20460476035703454,-0.22418298533448158,0.03911090281429323,ir8040088.trees
0,10001.0,250,82,0.18000984472313,-1.2062802341456291,2.4376677901600226,1.672739090246829,0.45444008369806865,0.3579640780712807,-0.9150090135300465,0.046502137582588414,ir8040089.trees
