#/home/enes/bim/BIM.py trees/r8090085.trees,trees/r8090086.trees,trees/r8090087.trees,trees/r8090088.trees,trees/r8090089.trees,trees/r8090090.trees,trees/r8090091.trees,trees/r8090092.trees,trees/r8090093.trees,trees/r8090094.trees,trees/r8090095.trees,trees/r8090096.trees,trees/r8090097.trees,trees/r8090098.trees,trees/r8090099.trees,trees/r8090100.trees,trees/r8090101.trees 250 --stats=all --eta=etas/BC.json --out=outs/136389523.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,TajD,FayH,FerL,FulD,btree,Colless,path
0,10001.0,250,74,5.801765177358382,3.9184162360938264,4.59424451420693,0.026736230604189896,-2.3332724489177266,-2.230507027577472,-0.09097257286455188,0.03577535950252623,r8090085.trees
0,10001.0,250,67,6.068678227251612,3.4463509185737236,4.001919217862069,0.015418700036885074,-2.082275455830252,-1.336586483997754,-0.9361153478743972,0.04670294079543983,r8090086.trees
0,10001.0,250,54,4.889827242989827,2.1898864724421765,2.5820556865870747,0.012825116400554896,-1.3152633418595436,-0.27930689578105306,-0.5888773549082839,0.037284622360409386,r8090087.trees
0,10001.0,250,48,5.557771660642129,3.684305443726241,4.170579680398819,-0.009672503657564934,-2.320414871252292,-1.7800206188830565,-0.15306049653696413,0.031143930560953492,r8090088.trees
0,10001.0,250,62,4.2372965257528,3.722765317567353,4.3181549903928245,0.014053559205559106,-2.259715123634048,-1.7777844950934465,0.27756073770055156,0.031205467029407952,r8090089.trees
0,10001.0,250,57,4.258628847799536,2.624482494143242,3.117089455304,0.019961536738322877,-1.559701934650181,-0.7310392286124934,-0.317813646245297,0.038101330051388355,r8090090.trees
0,10001.0,250,47,5.98194234586762,2.916064634109005,3.4634960771765217,0.018062515480814053,-1.7506900910544958,-0.635259363313979,0.18514361808915192,0.03238467064739898,r8090091.trees
0,10001.0,250,81,6.634586239484904,3.804471658841124,4.4311553810742845,0.023236351912617526,-2.273320170406338,-2.5293811118887266,-0.3239843213281294,0.03530250032387615,r8090092.trees
0,10001.0,250,66,5.393794549740368,2.768181395853395,3.2987270019338975,0.025369449922019633,-1.6275293005136369,-1.58305216439958,-1.169050393585027,0.05335049876927063,r8090093.trees
0,10001.0,250,67,6.643660893361698,3.909556745614888,4.539382814874451,0.01742618826769194,-2.36236921675532,-1.8731106250843799,-0.4189914564435762,0.037180981992486074,r8090094.trees
0,10001.0,250,80,5.601768812940473,3.961181931103255,4.562710066631405,0.016023672623745603,-2.3961508662366815,-2.52213680152675,-0.2274941371749047,0.04018377658097829,r8090095.trees
0,10001.0,250,51,2.9523832655671707,2.449077265549796,2.9918027316943405,0.03000537410921895,-1.4188441660169193,-0.8160365967736769,0.23546274847125429,0.031279958543852834,r8090096.trees
0,10001.0,250,63,3.2029938433357117,3.4216399680972014,3.732868048516892,-0.023924028745979098,-2.2042985312429835,-0.9454146926516993,-0.505882178901993,0.04288120222826791,r8090097.trees
0,10001.0,250,60,5.76643054086129,2.5960723550703024,3.1099556799475185,0.024839542550808905,-1.5243997735201409,-0.5457847914978806,-0.6443082111143902,0.039214924212980964,r8090098.trees
0,10001.0,250,90,5.601206413322502,3.9636663451406244,4.544081660720914,0.015124416228717581,-2.399046279694865,-2.3847967172217537,0.9123375502371566,0.024361963984972146,r8090099.trees
0,10001.0,250,62,4.635086718922625,3.212861790534034,3.6412681010577836,-0.0013544541865474072,-1.9968351756474463,-1.7777844950934458,-0.12438238441514138,0.03419592347886168,r8090100.trees
0,10001.0,250,83,6.613508934267875,3.6126091398472577,4.171290488427215,0.016884954816129186,-2.176675414713925,-1.8858923928269258,0.03242715001279203,0.029505117243166214,r8090101.trees
