#/home/enes/bim/BIM.py trees/r8120136.trees,trees/r8120137.trees,trees/r8120138.trees,trees/r8120139.trees,trees/r8120140.trees,trees/r8120141.trees,trees/r8120142.trees,trees/r8120143.trees,trees/r8120144.trees,trees/r8120145.trees,trees/r8120146.trees,trees/r8120147.trees,trees/r8120148.trees,trees/r8120149.trees,trees/r8120150.trees,trees/r8120151.trees,trees/r8120152.trees 250 --stats=all --eta=etas/BC.json --out=outs/596866015.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,ZngE,FerL,FulD,TajD,bsfs,btree,Colless,path
0,10001.0,250,79,0.023000749877331764,3.552342990735446,-2.118470845811333,-0.6773786388548784,4.148925876903047,6.142362410456637,0.21040867360647705,0.031496955564192256,r8120136.trees
0,10001.0,250,87,0.026563256919814655,3.634093279785125,-2.154723658953768,-1.9408141617227375,4.252436934264073,6.881732895487432,0.3628349632711852,0.030965798678585305,r8120137.trees
0,10001.0,250,69,0.02179505959003711,3.695351928987675,-2.213800918690893,-2.4295182172369314,4.320397753254527,5.1828041656885455,-0.29398486605983876,0.03804249255084856,r8120138.trees
0,10001.0,250,67,0.011006013642752764,3.6926965226880184,-2.2503430310198707,-1.604848554541067,4.252840138656525,6.562254899740949,0.33313534342404255,0.03285723539318564,r8120139.trees
0,10001.0,250,79,0.007038894157776365,3.61704119090903,-2.215048187393107,-1.596049289109227,4.119019273324888,5.93839958189031,0.5167206871811942,0.026399504829353257,r8120140.trees
0,10001.0,250,76,0.02351403860453322,3.1570264290827157,-1.872490819828482,-1.776666503911782,3.7112153931540552,4.164911813079482,0.37507756584840835,0.02986138100790258,r8120141.trees
0,10001.0,250,89,0.013510175296085928,3.7359423088359347,-2.264036426742606,-1.1461555644002284,4.279521183282781,6.754319619327345,-0.6088810492024355,0.04065185473075097,r8120142.trees
0,10001.0,250,78,0.019965919901339262,3.4363570291570125,-2.0575955819574143,-1.1124010286691592,4.000277242578602,6.667214524626689,0.053667781404440444,0.03390983287990672,r8120143.trees
0,10001.0,250,84,0.015792847522041274,4.076465924992301,-2.4675555617669107,-2.116770694339073,4.684177238547513,5.294313314060506,-0.4058387533967243,0.03698665630262987,r8120144.trees
0,10001.0,250,78,0.030315695589731306,3.8431767196700934,-2.272945818845904,-1.8097626524178498,4.525238376660736,6.088846683360768,0.07852709371511683,0.02936746987951807,r8120145.trees
0,10001.0,250,82,0.02097542875890037,3.9100874567503516,-2.3465243011190786,-2.0930659656463533,4.533801893923519,6.100475633815406,0.20543373166745918,0.028511897050567867,r8120146.trees
0,10001.0,250,49,0.025574567640687048,2.6427970680965696,-1.554928245435916,-2.1642206985086268,3.1908021547366463,6.237999232182618,0.33904236352555117,0.028986915403549682,r8120147.trees
0,10001.0,250,67,0.00823286615410441,3.4263769506725654,-2.094947610459837,-0.800062342911128,3.9335113125158108,6.630277162833749,0.26876781862585575,0.031218961868981304,r8120148.trees
0,10001.0,250,66,0.004051530817992561,3.8749912406000555,-2.387786918004951,-1.8551255656661247,4.4174228974291525,6.398821016178016,0.35285492566851606,0.02920958025650991,r8120149.trees
0,10001.0,250,83,0.0217005038001144,3.2846414271731588,-1.9564970454077344,-1.228409136483762,3.833595821857343,6.869211797293232,0.5051790797656116,0.02940332759609868,r8120150.trees
0,10001.0,250,61,0.009700281589133974,4.121717549215454,-2.5224330980399396,-2.9285081347259503,4.746669842437402,5.9513162791509195,-0.1908253741180629,0.0368517079068964,r8120151.trees
0,10001.0,250,69,0.010556079114528728,3.488807013345935,-2.1251016323081284,-0.8638082801744205,4.014943883712367,6.730925974521085,0.5942740588549341,0.028560478473031916,r8120152.trees
