#/home/enes/bim/BIM.py trees/ir3050060.trees,trees/ir3050061.trees,trees/ir3050062.trees,trees/ir3050063.trees,trees/ir3050064.trees,trees/ir3050065.trees,trees/ir3050066.trees,trees/ir3050067.trees,trees/ir3050068.trees,trees/ir3050069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/657818757.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,TajD,FayH,bsfs,FerL,ZngE,Colless,btree,path
0,100001.0,50,381,-0.06533199068712,-0.14081317576310942,-0.10673036423556503,-0.6505424384152869,-0.8162537361459694,0.6427224664574104,0.18173705125614603,-1.1998130266156637,ir3050060.trees
0,100001.0,50,437,0.3007611437672659,-0.47868613007793237,-0.13615718804529617,-1.3333091397363346,-0.8674610591728332,0.5131446060453793,0.18589532587228444,-1.1843975239951132,ir3050061.trees
0,100001.0,50,477,1.242353404060855,-0.2798870425639392,-0.08047141765902158,-1.1427430819195459,-0.5152158548304449,0.3070144131253144,0.19292091836734693,-1.4284492367102817,ir3050062.trees
0,100001.0,50,358,1.2576541980788574,-0.4749201091892338,-0.04860876624221584,-1.0743215355877398,-0.1296394617892656,-0.13124203948534105,0.1552343159486016,-0.749365074498713,ir3050063.trees
0,100001.0,50,380,-0.21265385890628655,0.3194804032347702,-0.06772660415627889,-0.04967461433407693,-0.7586047176780171,0.8296679405955912,0.15841928169117114,-0.6319975681190486,ir3050064.trees
0,100001.0,50,439,-0.4917950046616646,0.23497448774467936,-0.015745891265398333,0.371235175008158,-0.27144997574925017,0.35939376322200023,0.16540750915750924,-0.6393439307909785,ir3050065.trees
0,100001.0,50,376,-0.14054091377512076,0.010551609426069869,-0.0520905626164057,-0.18505115515439363,-0.44494653038040644,0.3953858443035151,0.19563234384662956,-1.692584478511029,ir3050066.trees
0,100001.0,50,440,0.612983299648728,-0.16074053582771147,-0.09314756751436461,-0.7688181407105364,-0.6917940642689488,0.5234276008050642,0.20576726265727527,-1.426181242953171,ir3050067.trees
0,100001.0,50,449,0.5017539531120655,-0.21317731545215893,-0.023742779196013607,-0.4364851564538503,-0.07487268584665979,-0.044536599616208455,0.15719461697722573,-0.7683827642999583,ir3050068.trees
0,100001.0,50,313,-0.07403749174356103,-0.17565278990715905,-0.023130428250393704,-0.26924558377640406,-0.09093973703681114,-0.010736810637493389,0.16802914347557205,-1.1163216309230888,ir3050069.trees
