#/home/enes/bim/BIM.py trees/r8090187.trees,trees/r8090188.trees,trees/r8090189.trees,trees/r8090190.trees,trees/r8090191.trees,trees/r8090192.trees,trees/r8090193.trees,trees/r8090194.trees,trees/r8090195.trees,trees/r8090196.trees,trees/r8090197.trees,trees/r8090198.trees,trees/r8090199.trees,trees/r8090200.trees,trees/r8090201.trees,trees/r8090202.trees,trees/r8090203.trees 250 --stats=all --eta=etas/BC.json --out=outs/408610227.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,TajD,FulD,FayH,ZngE,FerL,Colless,btree,path
0,10001.0,250,83,6.422729681437481,3.335091488798955,-1.0092480510360404,0.018514128317504607,2.859614057287632,-1.7046746506348829,0.03478789710814585,-0.2676459340023329,r8090187.trees
0,10001.0,250,61,3.702447055879207,3.6395288844283704,-1.4640919793747555,-0.0003836101548124471,3.2038891513022687,-1.9880916188596174,0.042942738696722375,-0.4370130015504632,r8090188.trees
0,10001.0,250,85,4.27140868286884,3.8575530187444627,-1.4854445640570357,0.006426377013973044,3.3961324172170135,-2.0795562994141834,0.0321285140562249,-0.03951951177067409,r8090189.trees
0,10001.0,250,84,6.881285629901101,4.482044055861569,-2.33345384609041,0.01831401433890421,3.8821467361919915,-2.33827912849514,0.028606360927581287,0.3384217083549718,r8090190.trees
0,10001.0,250,70,6.126285360832285,4.036123697593046,-1.6667293489390869,0.006277753770624033,3.5334485159180153,-2.167531307319675,0.038723442155719656,-0.3094680475242033,r8090191.trees
0,10001.0,250,57,6.508774584829782,3.83499825424582,-1.3549983302157254,0.013191999793726587,3.2917229994192554,-1.9968214743728163,0.03097551496307812,0.3192440112186602,r8090192.trees
0,10001.0,250,56,5.559210758020552,3.365644639531472,-2.276921281139255,0.017640324263538485,2.8534356050915193,-1.7099931191650726,0.0387679751263117,-0.21940760431429215,r8090193.trees
0,10001.0,250,62,6.381097467279999,3.200940361754065,-0.9123750516608062,0.017280261079774616,2.721314790473914,-1.6276013034321126,0.03433087187459515,-0.37074380562352927,r8090194.trees
0,10001.0,250,65,4.31325794672401,4.224825930793714,-1.836623754977502,0.0041115332542805035,3.7026337569315966,-2.280953449823782,0.044322451094701384,-0.4504009880051554,r8090195.trees
0,10001.0,250,75,5.735441238275879,3.732335819345436,-2.2419631114975305,0.03571657098992417,3.1050241084573638,-1.797502876473523,0.03995336183443451,-0.2904395319791753,r8090196.trees
0,10001.0,250,58,5.23041658361233,4.378635170811191,-2.3045064844089738,0.0312818535784189,3.6711091647705953,-2.169747701234424,0.041527399922269725,-0.1374279567264344,r8090197.trees
0,10001.0,250,73,4.970812532013007,3.7065795381378512,-0.9814242143334014,0.015984487404911492,3.191651620891784,-1.9211050794608673,0.03484502526233968,-0.05164501055365109,r8090198.trees
0,10001.0,250,77,6.220247682757069,4.395921641467236,-2.264034625106887,0.02182381011198361,3.775377235440177,-2.261220659647227,0.03415094068028386,-0.1252651801579266,r8090199.trees
0,10001.0,250,75,6.250866721730574,3.3883843308772574,-2.0007289396427366,0.024996045016276672,2.861146854914285,-1.6842155588538648,0.022819773718530032,0.9957998914779721,r8090200.trees
0,10001.0,250,75,4.0599471555668645,3.9151932592352403,-2.000728939642736,0.024206314898371054,3.332585630249321,-1.9790255685215188,0.03540891677308312,-0.44012620271763386,r8090201.trees
0,10001.0,250,59,6.31956690016931,2.8990635217255853,-2.0155216929643363,0.03139930336248191,2.372855353842426,-1.363701793044114,0.02624206503433087,0.8622011817995361,r8090202.trees
0,10001.0,250,78,6.5508804539697705,3.5769087207358625,-1.577308777834953,0.015104450567222483,3.088364625866801,-1.8592692576935752,0.03433087187459515,-0.0653971874053372,r8090203.trees
