#/home/enes/bim/BIM.py trees/r3000070.trees,trees/r3000071.trees,trees/r3000072.trees,trees/r3000073.trees,trees/r3000074.trees,trees/r3000075.trees,trees/r3000076.trees,trees/r3000077.trees,trees/r3000078.trees,trees/r3000079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/920764683.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,bsfs,FayH,FulD,FerL,Colless,btree,path
0,100001.0,50,408,-0.49601098981574404,-0.20815281687192508,-0.004064267225376233,0.038017750646246296,0.5196563528677163,0.44325738336691684,0.11343354546119525,0.058591456200815094,r3000070.trees
0,100001.0,50,417,-0.21746940319154007,0.07898658645896289,0.35042757351685355,0.04043566397153307,-0.02425935400497891,0.2946214801329292,0.11467975168209361,0.18373931912085475,r3000071.trees
0,100001.0,50,503,0.2956240890371251,0.017589866882208382,-0.14237512657461324,-0.037395425187866566,0.18282022432639436,-0.32673876805087576,0.1424104995533567,-0.2562201971850414,r3000072.trees
0,100001.0,50,511,0.1518633184036574,0.2619007670239947,0.40795671170386055,0.016062415339770382,0.4185408423845158,-0.01862980837348462,0.11693973363993478,0.4777043314211882,r3000073.trees
0,100001.0,50,425,1.1701374812518877,0.3791419184831024,-0.13435509478490743,-0.10521902596879339,-0.016071382793105365,-1.1114104586348887,0.16709929585869432,-0.18252143165104348,r3000074.trees
0,100001.0,50,475,-0.15749927600731187,-0.2954881878144215,-0.8002115230195254,-0.01998228039207148,1.0117988727182778,0.005354044634043585,0.13529909170372054,-0.5495775811814575,r3000075.trees
0,100001.0,50,454,0.406674419380283,-0.06271215138200262,-0.6361225090885417,-0.06365981253307729,0.45998736192228146,-0.5008185389716097,0.14358664518438968,-0.27794424507079424,r3000076.trees
0,100001.0,50,405,-0.009845947866390124,-0.11137398869839339,-0.2063279859210602,-0.01422584059145504,0.5112981759908737,-0.05436750147760346,0.12986128186214238,0.1637908242848127,r3000077.trees
0,100001.0,50,392,-0.2786109427403448,-0.6363731762318753,-1.3475379646403514,-0.05120244872014761,0.6372698095030739,-0.056841706392268834,0.12065831623654756,-0.2901086055282443,r3000078.trees
0,100001.0,50,470,-0.7019122119507188,-0.5218639243855175,-0.735266945359177,0.02189057117945769,0.8368122594353876,0.4927770904072892,0.1321811691709651,-0.0806054517887293,r3000079.trees
