#/home/enes/bim/BIM.py trees/r8120187.trees,trees/r8120188.trees,trees/r8120189.trees,trees/r8120190.trees,trees/r8120191.trees,trees/r8120192.trees,trees/r8120193.trees,trees/r8120194.trees,trees/r8120195.trees,trees/r8120196.trees,trees/r8120197.trees,trees/r8120198.trees,trees/r8120199.trees,trees/r8120200.trees,trees/r8120201.trees,trees/r8120202.trees,trees/r8120203.trees 250 --stats=all --eta=etas/BC.json --out=outs/684846114.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,FayH,FulD,TajD,bsfs,Colless,btree,path
0,10001.0,250,90,4.895073815633473,-3.0130345653167816,0.004638047087551754,-2.5877155647837187,5.520817272095641,6.717110414691182,0.03996631688042492,-0.4491343819848993,r8120187.trees
0,10001.0,250,80,3.89803343356131,-2.4134530580680305,0.00010863506863554059,-2.7490843539333762,4.389070580269594,4.357780423236863,0.03171557196528048,0.08583652210262614,r8120188.trees
0,10001.0,250,72,3.574814607059676,-2.167739161519588,0.013412280081899468,-1.203878941471341,4.1246415236698555,6.770848905267448,0.038569022634316066,-0.2964461027248592,r8120189.trees
0,10001.0,250,73,3.5480892693564567,-2.1847855670072347,0.0037920038433014802,-1.971289871527501,4.030961296755217,4.664370361395965,0.03626198341754113,0.008555089137078491,r8120190.trees
0,10001.0,250,73,3.4900031340511024,-2.117438017293981,0.012713635922273203,-1.228890628631926,4.02253352489477,6.783625880835303,0.04268687653841171,-0.3191049941426899,r8120191.trees
0,10001.0,250,77,4.537455902173951,-2.832044282181133,-0.006152719824652285,-2.0287259934662063,5.075084723344843,4.948141318323006,0.03735911387485426,-0.30171920388993706,r8120192.trees
0,10001.0,250,76,4.069082157323523,-2.464078255263587,0.015957231427582277,-2.491370000975207,4.691195396790163,6.65835292094688,0.03022844064429762,-0.013578007672551748,r8120193.trees
0,10001.0,250,83,3.6674008818214507,-2.208296178216263,0.017532698497398986,-1.8858923928269258,4.237084582641625,6.867425232054627,0.03832264542039124,-0.08999671605160603,r8120194.trees
0,10001.0,250,70,2.4656263241565255,-1.4067815603108305,0.034572949116158117,-0.8943969174224436,3.009324789443369,6.275257477795734,0.04443580774711751,-0.5534332014645577,r8120195.trees
0,10001.0,250,73,3.7505106499660243,-2.3065258592673987,0.0048343085646277515,-1.476357042930451,4.266223343312433,6.557272096727055,0.03544949026876738,-0.20556578176483392,r8120196.trees
0,10001.0,250,85,3.302703990848648,-1.9830848317235148,0.017271154393749273,-0.6284017610061401,3.8226930608757907,6.895546098268125,0.0317815038957674,0.024200820498431228,r8120197.trees
0,10001.0,250,67,3.18003134655827,-1.9344352238510123,0.010478439242473355,-1.604848554541067,3.6687829752712204,4.326405555591751,0.0380461939925601,-0.2327582733334946,r8120198.trees
0,10001.0,250,62,4.061341259517478,-2.4854642780590583,0.009481179305832019,-2.0662543095709927,4.673809308810861,6.713447628017767,0.034036144578313256,-0.07251743503363656,r8120199.trees
0,10001.0,250,60,4.438039886328305,-2.731638816752433,0.006005031224090911,-2.6278238583409914,5.086084298240672,6.7471704010507025,0.03957303869857309,-0.4657086788697131,r8120200.trees
0,10001.0,250,76,3.2545951814061516,-1.9943969211901635,0.006091201243862078,-2.491370000975207,3.709324825402787,5.2035156394320765,0.04233709029667056,-0.4861084766436005,r8120201.trees
0,10001.0,250,90,3.774042827356978,-2.2720880265430723,0.01780632121995893,-1.1672836318499675,4.348777567020874,6.758031782673876,0.04631105065422982,-0.7786024158063467,r8120202.trees
0,10001.0,250,99,3.9990583579082193,-2.3981292738032036,0.021073679982657467,-2.450685174028582,4.610799520158986,7.03079748957288,0.03536478419883005,-0.1924172388146353,r8120203.trees
