#/home/enes/bim/BIM.py trees/ir8080154.trees,trees/ir8080155.trees,trees/ir8080156.trees,trees/ir8080157.trees,trees/ir8080158.trees,trees/ir8080159.trees,trees/ir8080160.trees,trees/ir8080161.trees,trees/ir8080162.trees,trees/ir8080163.trees,trees/ir8080164.trees,trees/ir8080165.trees,trees/ir8080166.trees,trees/ir8080167.trees,trees/ir8080168.trees,trees/ir8080169.trees 250 --stats=all --eta=etas/BC.json --out=outs/961086272.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FayH,FerL,FulD,ZngE,TajD,Colless,btree,path
0,10001.0,250,74,6.065339313714072,0.04537472720007911,-1.343069343253528,-1.253265093762514,2.4258695680926188,3.029111101541056,0.06731225979185558,-2.3779915319582643,ir8080154.trees
0,10001.0,250,78,5.905778435197653,0.017437677253367426,-1.6744980237327498,-0.6474932795033661,2.803342276505294,3.2707791040562513,0.049300427516517684,-1.5450406646965633,ir8080155.trees
0,10001.0,250,72,1.710112360777859,0.16353167836442747,-0.0797943601470744,-0.9531738397344414,1.055437236349812,2.2393311038259864,0.04250432816309225,-0.4081629598579248,ir8080156.trees
0,10001.0,250,79,6.680228865461882,0.02473583384914438,-1.815633548062223,-1.8257169516728147,3.0732487236272643,3.620516849309761,0.04090555771472989,-0.47403304274944186,ir8080157.trees
0,10001.0,250,80,4.459130120554048,0.07588838513373064,-1.4043951663107588,-1.6143465919002444,2.702259960876019,3.531161437502967,0.05144448762793108,-1.6013846490299906,ir8080158.trees
0,10001.0,250,106,1.6686929619085793,0.14957220574302973,-0.5800100802054472,-1.8004097934486367,1.813529840275225,3.0027991382840034,0.04617124411624995,-0.6242794958827467,ir8080159.trees
0,10001.0,250,96,2.727277788041757,0.08823268611129209,-1.105061417332017,-0.9036244642055496,2.2987823025901646,3.147833415632298,0.04962754242777562,-1.1141067319629279,ir8080160.trees
0,10001.0,250,101,2.3424318108772075,0.08838459714779867,-0.6748313088022513,-0.4644862741210495,1.6065525011554902,2.3726929394365532,0.03939143671460034,-0.3260729520961544,ir8080161.trees
0,10001.0,250,79,5.247296582903957,0.03170596642283307,-1.69002985258909,-1.8257169516728147,2.910274776354566,3.4818455438460667,0.05543949993522477,-1.4841332845186348,ir8080162.trees
0,10001.0,250,71,6.2338541850112525,0.030512388790193867,-1.2928509989741739,-0.6701449632473341,2.25921917609984,2.7488478951118367,0.04681629744785594,-0.7845132366213472,ir8080163.trees
0,10001.0,250,79,4.855030078133487,0.03129110486550404,-1.1777353989429287,-1.5960492891092273,2.0806636779262107,2.544823617228805,0.04705920456017619,-0.994484473010867,ir8080164.trees
0,10001.0,250,71,3.6123233874056253,0.08549134426921251,-0.7511285118595887,-1.4322345146311273,1.6960218554863213,2.4638937361076727,0.05395776655007126,-1.5762449347594156,ir8080165.trees
0,10001.0,250,64,3.8029083020539933,0.1656733518542632,-0.2760514531151417,-2.0976137869611753,1.3726117908870352,2.609592190680796,0.053264671589584145,-1.3738261131287524,ir8080166.trees
0,10001.0,250,72,5.229045077915395,0.12164661233005296,-0.5294174766818536,-1.7052891449451397,1.5438061076441185,2.522939991606106,0.036328108131450536,-0.1826111465725302,ir8080167.trees
0,10001.0,250,56,4.0920427991796,0.05525486354213095,-1.5439568936118926,-1.6426205680822163,2.7931364524084397,3.533344577451034,0.06591959234788618,-2.092665338166931,ir8080168.trees
0,10001.0,250,65,4.073250773675204,0.04171783673746229,-0.6948228404104501,-0.4566495498111985,1.3547744394812327,1.801515854436584,0.04364770911603403,-0.6342023627180651,ir8080169.trees
