#/home/enes/bim/BIM.py trees/ir8110039.trees,trees/ir8110040.trees,trees/ir8110041.trees,trees/ir8110042.trees,trees/ir8110043.trees,trees/ir8110044.trees,trees/ir8110045.trees,trees/ir8110046.trees,trees/ir8110047.trees,trees/ir8110048.trees,trees/ir8110049.trees,trees/ir8110050.trees,trees/ir8110051.trees,trees/ir8110052.trees,trees/ir8110053.trees,trees/ir8110054.trees,trees/ir8110055.trees 250 --stats=all --eta=etas/BC.json --out=outs/796469062.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FayH,bsfs,TajD,FulD,FerL,Colless,btree,path
0,10001.0,250,78,3.26733214755891,0.005934057124165508,5.969195025394113,3.7195551144558094,-1.5773087778349528,-2.0025377772499584,0.053455758517942736,-1.4327059911358264,ir8110039.trees
0,10001.0,250,90,1.6896371855129984,0.09077665372528029,3.700131602701698,2.483990844942436,-0.3556082416021097,-0.7208864554282143,0.050401606425702815,-0.9551913987030358,ir8110040.trees
0,10001.0,250,81,2.019489364641218,0.05469796113943602,2.8508222027452086,2.62531023696403,-0.959342600914889,-1.0564171027789961,0.04146424407306646,-0.24214889906847442,ir8110041.trees
0,10001.0,250,89,2.5548461884575673,-0.0021429232147591893,1.847408723830271,2.852799777383485,-1.1461555644002286,-1.5889706195537212,0.05854292747024966,-1.6865275993451494,ir8110042.trees
0,10001.0,250,83,2.179413717636577,0.03216036472728508,2.2661210613141325,2.6583431808964337,-1.2284091364837617,-1.235019467958356,0.059277432309884706,-1.2882456135059788,ir8110043.trees
0,10001.0,250,85,2.442702984195571,0.039493046546771986,3.776259395755045,3.000048995871844,-0.19988035948069152,-1.3715211129502285,0.05847260007773027,-1.7027182755238546,ir8110044.trees
0,10001.0,250,83,3.927270286613339,0.012086853473390379,5.3427950488789335,4.49413501108675,-1.6667313073792045,-2.388553139751049,0.07371421168545148,-2.6893145200584274,ir8110045.trees
0,10001.0,250,69,2.946047728296344,0.041494137310605694,3.680683345445839,3.598326704636006,-1.6466632487056763,-1.680581234930549,0.0638683767327374,-2.130625734050308,ir8110046.trees
0,10001.0,250,80,3.8292177631630366,-0.006764796253160396,3.571705865169705,4.267310028377602,-1.8412941443068707,-2.3952003285769625,0.03815261044176707,-0.3084199592529612,ir8110047.trees
0,10001.0,250,80,2.312844226034025,0.041729445739635704,3.6945838023277737,2.872659898373816,-1.1604514870869915,-1.2843185967143866,0.04070043615321501,-0.24338768254488322,ir8110048.trees
0,10001.0,250,92,3.259193113569908,0.04334343852733002,6.686608611730788,3.9348609153752685,-1.6056500119630046,-1.8615979446981181,0.06027335147039772,-2.216186973692035,ir8110049.trees
0,10001.0,250,100,1.6516786114835746,0.16166734642441385,1.784616281191389,2.901177067740102,-0.6223496100476639,-0.438697467286098,0.04601200500928445,-0.759077605779059,ir8110050.trees
0,10001.0,250,90,2.8208395502223325,0.038754934419910646,6.436533687676599,3.415448660451528,-2.1818778696597896,-1.6071696712721295,0.06412747765254567,-2.0416921149835505,ir8110051.trees
0,10001.0,250,110,2.9454767404446516,0.0266790522564752,6.7556621568913915,3.460418203758264,-1.0099711647405603,-1.7246638057596009,0.039545277885736495,-0.7346240923822082,ir8110052.trees
0,10001.0,250,117,1.8321563579696551,0.16064470005057735,1.9969086243029843,3.0953943978632648,-1.6063379904030886,-0.5472920029090941,0.04846806581163363,-0.8558584446344956,ir8110053.trees
0,10001.0,250,79,2.495878709419968,0.03658345478745312,5.422070171777613,3.0465358543592793,-1.3663816265456399,-1.4161337041700144,0.0755926933540614,-2.714786332047798,ir8110054.trees
0,10001.0,250,76,2.1881262973143434,0.035522474859549284,6.479840646616543,2.6957279247481796,-1.776666503911782,-1.2299876071201654,0.063479725353025,-2.1337968634846503,ir8110055.trees
