#/home/enes/bim/BIM.py trees/ir3050050.trees,trees/ir3050051.trees,trees/ir3050052.trees,trees/ir3050053.trees,trees/ir3050054.trees,trees/ir3050055.trees,trees/ir3050056.trees,trees/ir3050057.trees,trees/ir3050058.trees,trees/ir3050059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/170920438.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FayH,FulD,FerL,bsfs,btree,Colless,path
0,100001.0,50,483,0.06231688571741068,0.2499074600466676,-0.02501288145958181,-0.28701630495069846,-0.24824803883175434,-0.0871586793974856,-0.5504785030670796,0.15634290753338378,ir3050050.trees
0,100001.0,50,386,0.03270492996591182,0.37570957937123295,-0.046303294945330156,0.19969474296885778,-0.4094236780582563,-0.493405740137235,-0.9550397010417033,0.15727674048342732,ir3050051.trees
0,100001.0,50,432,-0.6039369146775623,0.21199371009939558,-0.11297070874431339,1.0624428064945304,-0.5977405130645839,-1.808389341107809,-1.3159339824419856,0.19702305701041486,ir3050052.trees
0,100001.0,50,426,-0.13304306454979378,0.050229530596563716,-0.025366984720789423,-0.3019317072001777,-0.1356959609628801,-0.09746636176419014,-1.5782637002337503,0.19936224489795912,ir3050053.trees
0,100001.0,50,424,-0.4762919877315174,-0.18170478379181115,-0.041949640793986234,-0.2528840774435533,-0.07337202725829768,-0.757593066722952,-0.9842073068958243,0.16762672811059898,ir3050054.trees
0,100001.0,50,388,-0.3442257514805405,0.28719077425156514,-0.08698427200340085,0.37248313045665243,-0.5303508920498758,-0.8364114908194831,-1.2331735043093623,0.17029909790002956,ir3050055.trees
0,100001.0,50,427,-0.302963910624629,0.4056729601427294,-0.09713338774571215,0.17672430614537626,-0.6412913084303956,-0.8919449324934545,-1.289838115510793,0.18336302775078284,ir3050056.trees
0,100001.0,50,408,0.04102789952240776,0.5029696744477814,-0.06230342022954405,0.26558683525993965,-0.5496406359038406,-0.19636984820294917,-1.1010655194133516,0.17406371150610775,ir3050057.trees
0,100001.0,50,349,-0.5325642983308093,0.19090732422370396,-0.10038618010926895,1.1203178477186237,-0.5311229224289863,-1.4553918357801203,-1.6525237805176036,0.176033099807087,ir3050058.trees
0,100001.0,50,361,0.051508196450720266,0.0184737061452787,0.004696922856985537,0.6051285499819432,0.009224912307820689,-0.01683609293685616,-1.743245350273683,0.19439096393274294,ir3050059.trees
