#/home/enes/bim/BIM.py trees/r3090090.trees,trees/r3090091.trees,trees/r3090092.trees,trees/r3090093.trees,trees/r3090094.trees,trees/r3090095.trees,trees/r3090096.trees,trees/r3090097.trees,trees/r3090098.trees,trees/r3090099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/106047481.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,FerL,FulD,ZngE,FayH,btree,Colless,path
0,100001.0,50,365,0.2617722474550789,0.10432775012176673,-0.07868488789067789,0.805750411416491,0.12275121778557994,-0.0020543321770320894,-0.025628227520572304,0.12280369290573367,r3090090.trees
0,100001.0,50,315,-1.14626941802432,-0.45646302247348663,-0.655752765293358,1.219474374700806,0.33949271567472356,-0.11006908798332718,-1.0264811815688197,0.18093759242827565,r3090091.trees
0,100001.0,50,453,-3.0493181845777877,-1.0071448282485957,-1.1947126342170535,1.5477102113060581,0.5268716424354026,-0.21171416696531636,-1.7496509034947114,0.18477741973982575,r3090092.trees
0,100001.0,50,440,-1.5772674710156078,-0.5755152232887039,-0.5604020012556582,1.118051880304508,0.1939074567947308,-0.1065398807147079,-0.7475236448786989,0.14660364145658264,r3090093.trees
0,100001.0,50,337,-1.7733016974289988,-0.7834468289246922,0.28101438792283867,1.496381369561152,-0.6497977909915081,-0.021370540405515843,-0.22048050398130348,0.13202317964222718,r3090094.trees
0,100001.0,50,398,-0.47338128602886503,0.0322643930655663,-0.34715055794409744,-0.01711525837559822,0.32093118661796466,-0.0389232135476464,-1.244958467002705,0.1669517517989853,r3090095.trees
0,100001.0,50,404,-1.0537784700897745,-0.4551583442936747,-0.5263644136682748,0.447396798125382,0.22638747704643752,-0.09421016490538231,-0.37653386503541325,0.16044716315845703,r3090096.trees
0,100001.0,50,436,-1.1460897534083128,-0.40474039087784386,-0.5161350122882351,0.44491238941336525,0.24335590390074793,-0.08938695770998292,-0.5337050349955439,0.16191305790608937,r3090097.trees
0,100001.0,50,406,-0.13712612449665665,0.11681160320712153,-0.353264987432548,0.13720688886582952,0.369959783786867,-0.03373008897112658,1.0168730367678687,0.1014651202095745,r3090098.trees
0,100001.0,50,418,-1.2219031155025264,-0.5771896918680677,-0.8339600167073058,-0.1383748233459761,0.4329471374012124,-0.13914589137349118,-0.4723679175009579,0.14337234893957587,r3090099.trees
