#/home/enes/bim/BIM.py trees/ir8100234.trees,trees/ir8100235.trees,trees/ir8100236.trees,trees/ir8100237.trees,trees/ir8100238.trees,trees/ir8100239.trees,trees/ir8100240.trees,trees/ir8100241.trees,trees/ir8100242.trees,trees/ir8100243.trees,trees/ir8100244.trees,trees/ir8100245.trees,trees/ir8100246.trees,trees/ir8100247.trees,trees/ir8100248.trees,trees/ir8100249.trees 250 --stats=all --eta=etas/BC.json --out=outs/572458954.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,bsfs,FerL,FulD,ZngE,btree,Colless,path
0,10001.0,250,97,2.034581106905032,0.08387089426396589,1.7942174645056312,-0.5210127481698076,0.01891484066052937,1.3299338071814553,-0.6808503755583393,0.04580197623337927,ir8100234.trees
0,10001.0,250,95,3.000801488080641,0.09503640122130377,2.1269972414154794,-0.9749785941116598,-1.6519932725055522,2.127568255688065,-0.8735466595705311,0.04738308070993653,ir8100235.trees
0,10001.0,250,92,1.7072465006419213,0.11618228263840957,2.6726690098832244,-0.10957618314579903,-1.208226541490831,0.8500416384569128,-0.7459384085033318,0.046684048020037144,ir8100236.trees
0,10001.0,250,107,2.2612311248895653,0.10688986162596174,2.067395411230566,-0.4781473828005543,-2.1564016374958395,1.3993730894764933,-0.35133902906208714,0.04133852898862001,ir8100237.trees
0,10001.0,250,106,1.903789431161005,0.04553428561174143,1.008336808729011,-0.7247615149276877,-0.06509609606462785,1.4384149560953525,-0.6061944208968552,0.04442906032733083,ir8100238.trees
0,10001.0,250,103,1.1111358763832995,0.16205930767519844,2.432739191729653,0.556365161920028,-1.0494439247701064,0.0474652470415128,0.03161223433521199,0.03766216941498714,ir8100239.trees
0,10001.0,250,108,2.890689473609018,0.06119671786187134,4.046312967103665,-1.1580978362132999,-0.6311555683139963,2.231354737163827,-0.2870840774453084,0.038172043010752686,ir8100240.trees
0,10001.0,250,103,2.7860616037468535,0.1205960699783939,3.378531551939913,-0.6705338675836385,-0.8710695098130111,1.788647276504858,-0.1713402334966931,0.03718745951548128,ir8100241.trees
0,10001.0,250,97,1.904525003537458,0.15910670379390718,1.7128519617706783,0.09241037366090132,-1.87028860233931,0.7761139013707494,0.34807234848230484,0.032547239649843615,ir8100242.trees
0,10001.0,250,84,2.7310492618955355,0.10825933408478003,3.805919004133447,-0.7336562500007783,-1.4667212390850626,1.8073442422285333,-0.7535817864524824,0.043937536747486225,ir8100243.trees
0,10001.0,250,117,2.4222413591588285,0.09161559289264885,1.3489657401534558,-0.6767860704149332,-0.8172312642163116,1.6346930305435494,-0.9128276582862986,0.048916509711301785,ir8100244.trees
0,10001.0,250,95,1.9648946273021817,0.17852646615061388,1.6501442327710185,0.19739298478786713,-1.8447119226378235,0.717740698600356,-0.8917107429580907,0.04691250771587298,ir8100245.trees
0,10001.0,250,122,1.96679550276716,0.12072369299939262,2.9045019131800522,-0.21048556475506283,0.0003355600721880246,1.0540425659060801,-1.2142526027074931,0.05272140455229052,ir8100246.trees
0,10001.0,250,104,3.131904693573303,0.13912715577142631,3.050630606434359,-0.7277386775691675,-1.9523912219173822,1.9900202726238638,-0.6025141435279484,0.043973744440126104,ir8100247.trees
0,10001.0,250,105,1.747871275434753,0.024420173721398705,1.0246787730091858,-0.7912268322268459,-0.5623348216598959,1.4221080666639863,-0.42073574779089523,0.04132659670941833,ir8100248.trees
0,10001.0,250,131,2.0492236771308656,0.14723228496371854,2.401757345935365,-0.05970635247969116,-0.4914962396266648,0.9706305934667268,0.6502798032296337,0.030506434339508573,ir8100249.trees
