#/home/enes/bim/BIM.py trees/r8080017.trees,trees/r8080018.trees,trees/r8080019.trees,trees/r8080020.trees,trees/r8080021.trees,trees/r8080022.trees,trees/r8080023.trees,trees/r8080024.trees,trees/r8080025.trees,trees/r8080026.trees,trees/r8080027.trees,trees/r8080028.trees,trees/r8080029.trees,trees/r8080030.trees,trees/r8080031.trees,trees/r8080032.trees,trees/r8080033.trees 250 --stats=all --eta=etas/BC.json --out=outs/233918464.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,ZngE,FerL,FulD,FayH,btree,Colless,path
0,10001.0,250,75,2.9526514749197776,2.460181556993442,1.6503478144363204,-0.4234249922415789,-1.7594947677879422,0.16993687995848358,0.524697018751689,0.02937206541948089,r8080017.trees
0,10001.0,250,93,2.228283531235489,1.598723457753431,1.5543098992234265,-0.6931863747562476,-2.2114333544174913,0.07488581482778241,0.2886593587438879,0.0334020786580244,r8080018.trees
0,10001.0,250,70,1.472368775954108,1.7108728704335534,1.3155233128243728,-0.823588429460168,-0.8943969174224435,-0.0024049621661483044,-0.5655016926248853,0.038881331778727816,r8080019.trees
0,10001.0,250,108,2.891658758614025,1.1729838262060404,2.846547518689696,-1.9184980440230675,-1.6538333913938612,-0.04358592276819659,0.28803301955101435,0.029458155201450963,r8080020.trees
0,10001.0,250,91,1.8363024583173941,3.9285723020843277,1.373449991384618,-0.6865129986490683,-0.7863829099632845,0.04564742461958547,0.016262390638739264,0.0347958654896082,r8080021.trees
0,10001.0,250,67,1.9478893342398598,3.004139173058972,1.104640967494985,-0.30344827775211025,-1.6048485545410671,0.10934317634509719,0.19496384197226085,0.032569795310273354,r8080022.trees
0,10001.0,250,92,2.806689004256589,6.104523116802821,2.194154518188986,-1.1662242154459717,-0.61209133578257,0.05346103714913089,-0.29077417319116267,0.03618303860603705,r8080023.trees
0,10001.0,250,89,1.7042693767615156,2.640836621722916,0.8415594606992645,-0.1016573692537502,-0.530885541003884,0.1172488034838199,0.7255191525570125,0.02824631860776438,r8080024.trees
0,10001.0,250,108,2.780760506430944,1.8133262137792323,1.8866505066378656,-0.7926476263914156,-1.9947259990871495,0.10319078946249029,0.47673278983743317,0.027716601171711937,r8080025.trees
0,10001.0,250,74,4.115537254628031,4.276014178139682,3.655025647623025,-2.2696736773162223,-2.230507027577472,-0.0015519840874433847,0.11676724039234758,0.034030129735531996,r8080026.trees
0,10001.0,250,90,2.2743960487891957,1.6135967503965563,1.0059753838485905,0.009721545404310092,0.050229453521819276,0.176698134621589,0.11458508881992197,0.03188155849203265,r8080027.trees
0,10001.0,250,69,3.1742058554462806,6.109863430012374,2.7320931295822564,-1.6476903622091252,-0.34190496782024926,0.012980378946006713,-0.08171524122324575,0.03689597098069698,r8080028.trees
0,10001.0,250,72,2.654877327074393,5.4539344975924156,2.1070344409616406,-1.1549762325876933,-1.45458404320824,0.04285890325608088,-0.04674941832983896,0.033469361316232675,r8080029.trees
0,10001.0,250,83,3.2143539745123015,3.384456091242039,2.450241470823303,-1.2642364951473726,-1.2284091364837617,0.07110568094423414,-0.04890030902874044,0.03612125923047028,r8080030.trees
0,10001.0,250,88,2.5044714902591387,3.4898153209916067,1.4384380634978633,-0.3996127079982624,-0.9172626160136287,0.1373753561512273,0.17405074678125357,0.034974399702597206,r8080031.trees
0,10001.0,250,56,2.7728358542425973,5.928945827169836,2.1722785099678448,-1.1872322917858404,-0.6911694984966577,0.046930653195058784,0.25878371928578064,0.03285281890023437,r8080032.trees
0,10001.0,250,61,4.171141354767749,6.511006787898051,3.3559982544513542,-1.8867344430032633,-2.635624903655712,0.0562955336492625,0.3518177152359401,0.030054298540585906,r8080033.trees
