#/home/enes/bim/BIM.py trees/ir3020070.trees,trees/ir3020071.trees,trees/ir3020072.trees,trees/ir3020073.trees,trees/ir3020074.trees,trees/ir3020075.trees,trees/ir3020076.trees,trees/ir3020077.trees,trees/ir3020078.trees,trees/ir3020079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/718302628.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,ZngE,TajD,FulD,bsfs,Colless,btree,path
0,100001.0,50,373,-0.07126300989218307,-0.39763885885817507,0.17101825236172352,-0.3440446487915699,0.5593224372554714,-0.9112372234064577,0.2093908992168296,-1.3485534588091073,ir3020070.trees
0,100001.0,50,479,-0.0799165576744908,-0.6057408329616463,0.46984706802727993,-0.11850982652062399,-0.07622345665369172,-0.3864924748555309,0.1724761904761905,-1.027849486626687,ir3020071.trees
0,100001.0,50,441,-0.05352422045454201,-0.2599947607666851,0.059628995257164696,-0.32570199987386733,0.9064923449331331,-0.7157230002738698,0.20145702511773933,-1.5438317098063261,ir3020072.trees
0,100001.0,50,418,-0.19806657800107466,-1.0109530150405237,0.3074639896597674,-1.1205669326601064,2.0938799705497746,-3.3862848494494755,0.2463095238095237,-2.081895028842746,ir3020073.trees
0,100001.0,50,424,-0.22795531975786598,-1.514853505795343,0.9694893196728618,-0.6939678339439285,-0.6022262910033647,-1.8038752228238615,0.21016107592462277,-1.812597850469687,ir3020074.trees
0,100001.0,50,402,-0.004368527563720743,0.32652159427691185,-0.6046911881385694,-0.6169358187242844,1.6815022088789553,-1.1317219454218417,0.2160104607880888,-1.67379675997015,ir3020075.trees
0,100001.0,50,365,-0.05352368158537671,-0.5669965499660098,0.5988963384819213,0.19785518433988947,0.1165399310228592,0.11671880567822943,0.17958322569534146,-1.7820881311816594,ir3020076.trees
0,100001.0,50,348,-0.061694040706988376,-0.4497650871798246,0.3335183051202924,-0.11753208013297516,0.32531275305068325,-0.7761965765003049,0.19932477941671706,-1.7239947983297115,ir3020077.trees
0,100001.0,50,366,-0.08043501147314763,-0.2948542196413009,-0.07662345451582818,-0.6496458507365426,1.5223500196583644,-1.8552749853231165,0.21613194827480547,-2.137798320518306,ir3020078.trees
0,100001.0,50,344,-0.029644916789809694,-0.10789995136895916,-0.029336351475029974,-0.24040470422500906,1.1412673990495115,-0.46591566427268416,0.18264896319973775,-1.2881370038768811,ir3020079.trees
