#/home/enes/bim/BIM.py trees/ir8120138.trees,trees/ir8120139.trees,trees/ir8120140.trees,trees/ir8120141.trees,trees/ir8120142.trees,trees/ir8120143.trees,trees/ir8120144.trees,trees/ir8120145.trees,trees/ir8120146.trees,trees/ir8120147.trees,trees/ir8120148.trees,trees/ir8120149.trees,trees/ir8120150.trees,trees/ir8120151.trees,trees/ir8120152.trees,trees/ir8120153.trees 250 --stats=all --eta=etas/BC.json --out=outs/648143795.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,FulD,FayH,FerL,TajD,Colless,btree,path
0,10001.0,250,69,5.1828041656885455,3.695351928987675,-2.4295182172369314,0.02179505959003711,-2.213800918690893,4.320397753254527,0.0638683767327374,-2.7090025339346657,ir8120138.trees
0,10001.0,250,67,6.562254899740949,3.6926965226880184,-1.604848554541067,0.011006013642752764,-2.2503430310198707,4.252840138656525,0.04443580774711751,-1.0207721701946266,ir8120139.trees
0,10001.0,250,79,5.93839958189031,3.61704119090903,-1.596049289109227,0.007038894157776365,-2.215048187393107,4.119019273324888,0.04741546832491256,-0.5513168941715006,ir8120140.trees
0,10001.0,250,76,4.164911813079482,3.1570264290827157,-1.776666503911782,0.02351403860453322,-1.872490819828482,3.7112153931540552,0.04919678714859438,-1.084211788604464,ir8120141.trees
0,10001.0,250,89,6.754319619327345,3.7359423088359347,-1.1461555644002284,0.013510175296085928,-2.264036426742606,4.279521183282781,0.04537504858142246,-1.2923829565329323,ir8120142.trees
0,10001.0,250,78,6.667214524626689,3.4363570291570125,-1.1124010286691592,0.019965919901339262,-2.0575955819574143,4.000277242578602,0.0394481150408084,-0.3848448202813158,ir8120143.trees
0,10001.0,250,84,5.294313314060506,4.076465924992301,-2.116770694339073,0.015792847522041274,-2.4675555617669107,4.684177238547513,0.030573908537375308,0.3396827036424444,ir8120144.trees
0,10001.0,250,78,6.088846683360768,3.8431767196700934,-1.8097626524178498,0.030315695589731306,-2.272945818845904,4.525238376660736,0.054087317009975384,-1.194883186903527,ir8120145.trees
0,10001.0,250,82,6.100475633815406,3.9100874567503516,-2.0930659656463533,0.02097542875890037,-2.3465243011190786,4.533801893923519,0.054573131234615886,-1.5171009007600809,ir8120146.trees
0,10001.0,250,49,6.237999232182618,2.6427970680965696,-2.1642206985086268,0.025574567640687048,-1.554928245435916,3.1908021547366463,0.030217644772638944,0.35725954096057827,ir8120147.trees
0,10001.0,250,67,6.630277162833749,3.4263769506725654,-0.800062342911128,0.00823286615410441,-2.094947610459837,3.9335113125158108,0.04385283067754891,-0.7494323071261879,ir8120148.trees
0,10001.0,250,66,6.398821016178016,3.8749912406000555,-1.8551255656661247,0.004051530817992561,-2.387786918004951,4.4174228974291525,0.03977199119056872,-0.6255173454446556,ir8120149.trees
0,10001.0,250,83,6.869211797293232,3.2846414271731588,-1.228409136483762,0.0217005038001144,-1.9564970454077344,3.833595821857343,0.05252191561946712,-1.2973442708477296,ir8120150.trees
0,10001.0,250,61,5.9513162791509195,4.121717549215454,-2.9285081347259503,0.009700281589133974,-2.5224330980399396,4.746669842437402,0.04336701645290841,-0.5607755142905557,ir8120151.trees
0,10001.0,250,69,6.730925974521085,3.488807013345935,-0.8638082801744205,0.010556079114528728,-2.1251016323081284,4.014943883712367,0.036533229692965415,-0.19861671773549208,ir8120152.trees
0,10001.0,250,59,4.335090881261415,3.988938359317226,-1.4112634450763513,-0.018584328131192797,-2.5379786068861976,4.422997969419182,0.047464049747376606,-1.1167193342902437,ir8120153.trees
