#/home/enes/bim/BIM.py trees/r3120070.trees,trees/r3120071.trees,trees/r3120072.trees,trees/r3120073.trees,trees/r3120074.trees,trees/r3120075.trees,trees/r3120076.trees,trees/r3120077.trees,trees/r3120078.trees,trees/r3120079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/270904437.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,ZngE,bsfs,TajD,FulD,FerL,btree,Colless,path
0,100001.0,50,410,-0.05891030660287102,0.3027996364425652,-0.8071848444772317,-0.12855143477336534,0.13988422184945473,-0.42116834426588606,-0.7166808725157783,0.1491162038585927,r3120070.trees
0,100001.0,50,368,0.03685969774857835,-0.8827275874583703,-1.0313650102595822,-0.5921562125482914,2.1396747991410083,0.6588146710504472,-0.0518294540901906,0.12291938051816473,r3120071.trees
0,100001.0,50,479,-0.19285852530796452,0.6083253667539771,-2.442151055935677,-0.7940813173935305,0.5117187528163538,-1.1621284164880368,-0.8092938534802987,0.1414428929466522,r3120072.trees
0,100001.0,50,379,0.004812202879116046,0.22893222209051198,0.2188217182622025,0.2563092316933632,-0.009259676097306817,-0.11034141836668256,0.5292921678481313,0.11274376417233561,r3120073.trees
0,100001.0,50,443,-0.015481599207500163,-0.0032660206095193457,-0.10192528600958072,-0.11405933127609116,-0.6843363089646174,-0.06350724522664361,0.3174870879170329,0.1099394303175816,r3120074.trees
0,100001.0,50,499,-0.10307896298091845,0.6860399315015453,-0.4186578840540162,-0.0759345036936724,-0.9480139112947904,-0.8271424701597866,0.007432398510324911,0.1319855899348987,r3120075.trees
0,100001.0,50,408,-0.0031536605696102387,-0.19080939330644323,-0.4727315252891054,-0.2073528312188162,0.011517317652162582,0.09554236775905432,-0.42589686506519364,0.1375372023809524,r3120076.trees
0,100001.0,50,383,-0.14007868538892917,0.5606535142261477,-1.4524755634117181,-0.45904148235508574,0.8067553751032625,-0.9099528972403653,-0.6932340996673795,0.13944494995450402,r3120077.trees
0,100001.0,50,356,-0.08186253582142172,0.11181757370659363,-0.8107141347842834,-0.476974079070665,0.2441580600020118,-0.40821222562384674,-0.2606598820564929,0.14491052102659246,r3120078.trees
0,100001.0,50,442,-0.0021468155970116526,0.4095435253532159,0.3669515828510925,0.38088093876805285,-0.9801033314320855,-0.24263620040518738,0.14906926192688932,0.10955598455598448,r3120079.trees
