start,end,N,SS,TajD,FulD,bsfs,ZngE,FayH,FerL,btree,Colless,path,iColless,ibtree
0,100001.0,50,399,-0.4660254907866881,0.9766257796417628,-1.1554692989073712,-0.032395924060765836,-0.06072257499384829,-0.23749690028499754,-0.338806596290268,0.13881401617250666,3080000,0.16099773242630386,-0.974548211133356
0,100001.0,50,463,0.08162247360943282,-0.7332044272035878,0.3915321218457314,-0.26169247298432985,0.04671188239113195,0.3465993142110678,0.5426275448071416,0.1118070990772547,3080001,0.11649005756148613,0.3677003488030823
0,100001.0,50,511,0.04623346229731247,-0.1617830418333545,-0.4549581945523941,0.6280544992092698,-0.07819112428253508,-0.6889044352766669,-0.5066922926263007,0.14329303149831366,3080002,0.18161510636000436,-1.2758907064043246
0,100001.0,50,307,-0.32195336564085353,1.0958940076744208,-1.1015123011794574,0.19057107982996133,-0.07101371029816192,-0.4066767959241476,-1.1193812580847549,0.17302450781637166,3080003,0.23115258761732535,-2.2209342102247107
0,100001.0,50,398,-0.7303870132333006,0.4293059446902779,-1.527455394551121,-0.7081948892882199,-0.0062029363643622175,0.3778436746101174,-0.555561786105658,0.14961827122153207,3080004,0.1698724489795919,-1.4046781774228696
0,100001.0,50,457,-0.8250291940860606,1.5054111254178244,-2.4985232393435166,-0.6322339175476436,-0.029799376627720014,0.2346694710229601,-0.5935706388030618,0.14454185430040556,3080005,0.1700148809523809,-1.3240237565855986
0,100001.0,50,414,-0.2676658006696072,0.6075572551554419,-0.7948808135530662,0.3387077643409556,-0.0831873653746447,-0.5440866759238693,-0.5140401032397882,0.15229166666666666,3080006,0.17210884353741493,-0.959618947043113
0,100001.0,50,412,-0.3879866788641265,-0.1283872647088138,-0.9663498033352438,0.3197029494232139,-0.0974279728971294,-0.5932839369255442,-0.749274288771856,0.15424858967977442,3080007,0.19474524503679014,-1.3500711185191054
0,100001.0,50,472,0.041254638749778375,-0.18549735947968754,-0.1666498274318442,0.28931138771813525,-0.03327961695361892,-0.3056282702164811,-0.04498306494215133,0.1297983479105927,3080008,0.1335112748803225,-0.2681127883217141
0,100001.0,50,446,-0.5738543803747423,-0.13715614356831193,-0.8481968734381594,-0.33868330209390146,-0.03436622036990683,0.04803163162435114,-0.9253651202033856,0.17714069754886086,3080009,0.1849876314162029,-1.1917977438198384
0,100001.0,50,428,0.032245209875598806,0.20323113335303591,0.2810744601818692,-0.0994423393480048,0.01794208313152026,0.13243767498200007,0.2461736322405072,0.1174498746867168,3080010,0.1402048914804017,-0.23472324942836365
0,100001.0,50,426,-0.3126611033214958,0.25440735094226163,-0.6293846689076993,0.1147447557438796,-0.059168491861241325,-0.31513303812212523,-0.7726092521108009,0.16445046768707489,3080011,0.1733819696102739,-0.9530200092612467
0,100001.0,50,393,-0.28529946984301746,1.1170218270665966,-1.1737068026784758,0.2578466541596774,-0.07476466849864033,-0.4621860198269647,-1.4389642186745866,0.1806169690098262,3080012,0.17701630201630195,-1.2123043042655008
0,100001.0,50,454,-0.2138095588623065,1.0801235211718079,-0.6197372372576473,-0.21101044594508594,-0.001353672845077704,0.11461950350321573,-0.5321037942833526,0.1472470761703696,3080013,0.14627958621465112,-0.5010022376710267
0,100001.0,50,331,-0.4263008814055719,1.4488515652724014,-1.6171902904446231,0.09310514533817416,-0.07229695797842421,-0.3568793598855985,-0.09208295853549467,0.1277648486295103,3080014,0.15985584710074516,-0.7938945267830467
0,100001.0,50,381,-0.19336457226349368,0.8282320385212856,-0.4529488775956255,-0.16313440503446872,-0.004928744394931415,0.07230873125912463,0.26284670697194257,0.11893835746589135,3080015,0.12074829931972787,0.3075639025893135
0,100001.0,50,355,-0.35051623254127245,0.3374550853206192,-0.7665478865300279,-0.19049013576746465,-0.023177983111046963,0.011186994487322608,0.10183800421624263,0.11654751721047682,3080016,0.13631741356336355,-0.3665369253879112
0,100001.0,50,402,-0.3832131762784447,0.7974875828777092,-1.9009144821264297,0.3864322042844252,-0.10581917921658944,-0.6665735009342626,-0.6663556215450225,0.15105223375900068,3080017,0.15963779128672742,-0.8877536221845587
0,100001.0,50,439,0.2194368662095906,-0.3905525239144106,0.6324396633246342,0.08038205145754426,0.019776593279598985,0.03764959685112012,0.14666819082378513,0.1175069037515995,3080018,0.1289659863945578,-0.09752160805287176
0,100001.0,50,416,0.201305012286992,-0.9064524421594836,0.1837037610005217,0.2959956911180939,-0.011909048310422169,-0.2190712692228643,0.6238397755082239,0.11037963572525776,3080019,0.12742255175451475,0.008197312596119506
0,100001.0,50,397,0.36484097681686944,0.10301574101390597,0.4871300518031287,0.21163636508957412,0.022330741600109654,-0.02660124024199394,0.043770246077267344,0.11820170776643987,3080020,0.13045572211185352,-0.12151062343245984
0,100001.0,50,388,-0.6612645463716226,1.135568941914705,-1.8587009453423888,-0.3806295221452928,-0.04086772311177494,0.04494535143210854,-0.1770695062141158,0.13308077722106812,3080021,0.16162591162591164,-0.8917239025395649
0,100001.0,50,366,-0.382102906590462,0.8350095543435195,-0.8977919191404032,-0.2995906014396971,-0.012809063323167605,0.1170191810640153,-0.7804973425311399,0.15227420755536267,3080022,0.16566097592883294,-1.0855397508060274
0,100001.0,50,437,-0.3529616860843681,0.8770788955097208,-1.0676227749818321,0.12634595933683726,-0.0663476513369417,-0.3521505222384787,-0.3782012402779158,0.14970281041709602,3080023,0.1457321023647554,-0.6249145484502621
0,100001.0,50,417,0.16727186832155766,-0.05977642142096507,-0.1831574861741767,0.6562455135366021,-0.0653708551128009,-0.6500856735992888,0.09602903703698756,0.12074829931972784,3080024,0.12826709631220906,-0.10095874298031317
0,100001.0,50,441,-0.1119808663532584,0.10020448075940028,-0.07043588558293397,-0.11114070859688267,-0.0006202377477564843,0.060767570099421776,-0.2552175503085604,0.14384077955506516,3080025,0.15779355220348998,-0.8555151733631168
0,100001.0,50,462,0.19259420674403865,-0.6314232150040411,0.14905726558106014,0.5607488135757764,-0.04880840804630586,-0.5259948856759857,-0.1821926881098343,0.13725647326993626,3080026,0.15111540111540114,-0.4238292073108759
0,100001.0,50,422,-0.6902589971836328,1.7621577591676476,-2.405954744677878,-0.17679354176265374,-0.07249381110821923,-0.2050344014764452,-0.9475631482760714,0.17269263474620622,3080027,0.19403076545933687,-1.549598324571831
0,100001.0,50,421,-0.16412736767395908,0.0854182547132005,-0.5369248398646035,0.30703583148652186,-0.06442818614003124,-0.4469594782251436,-1.0646095971367493,0.16940446698910774,3080028,0.1584519128752419,-0.5588038125816178
0,100001.0,50,377,-0.4553172277881323,0.6363041353145967,-1.564894612136311,0.34484784566235466,-0.1103547820973727,-0.6615002849469431,-0.4138887142122559,0.13641418105703812,3080029,0.17169217687074834,-1.1081850106037094
0,100001.0,50,481,0.031117822446363106,-0.3669538496069992,-0.3514001533924855,0.4465968133501419,-0.05589898978782732,-0.4909683955522569,-0.14555086296954736,0.13745393990929694,3080030,0.16276336923658358,-0.8408633565297539
