start,end,N,SS,ZngE,FayH,bsfs,TajD,FerL,FulD,btree,Colless,path,iColless,ibtree
0,2501.0,250,12,0.5364215635366403,0.15087015138659896,1.842890663121928,1.4128513451331368,0.036882758021699394,0.0395360307538327,2.2204234735880504,0.0290063479725353,8090000,0.07734162456276719,-1.0457153024104535
0,2501.0,250,13,0.8492023751351528,0.007965588214761659,3.3473258617763,1.0944867440871489,-0.5125834933432567,2.102545607051514,2.1801721872503994,0.02901930301852572,8090001,0.022477004793367016,1.3196548139083564
0,2501.0,250,17,1.0272033229433666,0.0049245309294246075,2.7284714564182546,1.2786186678111922,-0.629515009907814,0.19338017960939946,1.0546488520032984,0.03500291488534785,8090002,0.04032258064516129,0.8880261745594397
0,2501.0,250,17,1.4450782286671409,0.07070841976098584,4.547639117114321,2.139613156050045,-0.7105926994428948,-0.712707643166984,2.5528855028056983,0.02876020209871745,8090003,0.02882497732866952,1.799981938071185
0,2501.0,250,9,1.8474708226205028,0.0017758374899796735,3.9747209468854474,2.3605177958317385,-1.1587025392465105,-0.7089587510095278,0.3497197944391421,0.029028556622804583,8090004,0.039512890270760465,-3.382791282611377
0,2501.0,250,17,1.0033247569020078,0.1339973581880377,1.6391289866682854,1.939269496729657,-0.2603902928393613,-2.5248832887197503,1.9650886182709442,0.022707766550071257,8090005,0.039016280174461286,0.5357294266864235
0,2501.0,250,16,1.1994285946034315,0.10552389409832827,3.5100806353706595,2.0249941006577403,-0.4663885579786481,-1.5450791905361416,1.4974104830986967,0.03152610441767068,8090006,0.055836248218681175,0.6264214600555676
0,2501.0,250,20,2.4453199051235885,0.011017955349053673,5.2334182349465275,3.0099993126096813,-1.497147381823696,1.362858443097575,3.1437909247732696,0.032120417152480894,8090007,0.0383793237465993,2.9345331886029813
0,2501.0,250,16,1.618025488312821,0.06637138651771979,1.5276411883358139,2.3308570354583056,-0.8342503297678919,-0.5928903682049141,1.0873427229303452,0.03234227231506672,8090008,0.032398410847691836,0.4682103232658973
0,2501.0,250,18,0.9755827457979313,0.20129728167124855,1.5676139260738575,2.2731225674800197,-0.04972930874232049,-0.821544625794685,2.19085341459618,0.02493846353154553,8090009,0.04113227101956212,1.2244605390269565
0,2501.0,250,20,0.4815715178345954,0.10050772490379463,2.960370702111085,1.1352877413235558,-0.013645247307182331,-1.0119084632668656,0.1465707887752234,0.0409217515222179,8090010,0.04488923435678197,-2.217949438260322
0,2501.0,250,9,1.6075173136583691,0.046531170421968936,3.4687295755826826,2.257903157435862,-0.9073954274554658,-0.7089587510095275,1.0006379186682954,0.03264671589584143,8090011,0.044565358207021635,0.45730581665932
0,2501.0,250,21,1.6593686357426392,0.0020435562238085353,4.2955506756315724,2.006358125787521,-1.0309905996676385,-0.3359691819397461,1.7208831853641364,0.029059787537245762,8090012,0.0325171654359373,0.04863003390612603
0,2501.0,250,11,-0.4218869410110856,0.07445109532575107,1.749454741305179e-05,-0.17172088366671598,0.4442556588271516,0.2523487190495646,1.35989529837138,0.030361075638961375,8090013,0.042460163233579484,0.15997392219129825
0,2501.0,250,7,2.5252434289175083,0.02115182419957293,3.792784767520621,3.3570621850591427,-1.549371868725011,-2.0558699516774643,1.5643445768836215,0.03176415338774452,8090014,0.03458997279440342,2.234991182204854
0,2501.0,250,20,0.5158382682168197,0.17538372104577385,1.3594059811007655,1.5896916001295898,0.17904116427503378,-1.0119084632668656,1.1058806535165966,0.030911665093553944,8090015,0.03319730535043399,0.8486946741480447
