start,end,N,SS,FerL,FulD,ZngE,bsfs,TajD,FayH,Colless,btree,path,iColless,ibtree
0,2501.0,250,21,0.06322479285274102,0.4237263086820493,0.06821838541803643,1.3923065127157153,0.2856752984023101,0.0365910582220134,0.027820961264412487,0.3663720882758539,8040000,0.045472211426350564,-0.4937575353669425
0,2501.0,250,15,-0.446507612900294,2.549830076653264,0.9038008461318748,2.9914010968922007,1.346458205445403,0.0452223331027853,0.03774956456650976,-0.1936447644294591,8040001,0.05891307164140432,-2.0069729698830967
0,2501.0,250,17,-0.6429532184056085,0.19338017960939927,1.036157785208876,0.6016448480191201,1.2742810907640052,0.002070046187147534,0.029485684674180588,0.7075551706983483,8040002,0.0627564019518936,-1.4620136144614346
0,2501.0,250,27,-0.2688265587739425,-1.4852033420933957,0.14540273419986788,-0.09010027500555147,-0.1660480324407188,-0.058326517092280324,0.04656124497991969,-0.5425135051651097,8040003,0.041456147169322465,-0.2435028073275245
0,2501.0,250,16,0.7318778848485815,-0.5928903682049141,-0.6780097122573365,0.6684768564293938,-0.22951369891494414,0.11381596842301282,0.027248780066502568,0.4931229559948068,8040004,0.060240963855421686,-1.6465513356287151
0,2501.0,250,17,-0.3878813721248894,1.0994680023857824,0.7078275021401964,2.7843229286311004,0.970476029928846,0.02012302793506024,0.027072447496077498,0.95527960469921,8040005,0.04806322062443322,-0.9479427581318208
0,2501.0,250,9,0.008884183364536025,0.7828117394489831,0.04076204925855454,1.1085547122109732e-08,0.1217836718376168,0.015411732502324119,0.041309157224431216,-0.2706359770725061,8040006,0.0816491773545796,-3.010572450354924
0,2501.0,250,17,-0.004421569462015464,1.0994680023857824,0.3287552662336298,4.174544338191971,0.7929847060584009,0.07338858482434525,0.027565908796476232,0.4897480631692702,8040007,0.05003886513797124,-1.2098838969178696
0,2501.0,250,14,-0.4071361015723887,-2.4338026261574917,1.3087364979816296,1.9750561438331604,2.43141609844931,0.15915559676826208,0.031606713592722144,0.14615844161146802,8040008,0.03713779850585137,-0.06428955605195939
0,2501.0,250,15,0.2141122340972875,0.5430819992150968,0.14673532303414424,1.220107818109685,0.7809259721522662,0.11546074849762665,0.030155813871321057,0.4683662007501761,8040009,0.04078680312648442,-0.3409561246461959
0,2501.0,250,27,0.0770464065489383,0.9638696679238776,0.10177620581828876,0.7712986108256765,0.38716707005498996,0.04600296211385322,0.030339098328799063,0.3372352508972279,8040010,0.04568812885952412,-0.5295757714324855
0,2501.0,250,14,0.4394614102418677,0.7478772545717278,-0.3461993217080052,1.551339111253063e-05,0.01044308076994154,0.08559572792564471,0.04009586734032906,-0.21065707419740706,8040011,0.058880684026428286,-1.8999640416974768
0,2501.0,250,13,-0.6243689238072857,-1.2721674407506367,1.3112731400944742,2.731017697857121,2.0207573807899206,0.07808864547720296,0.029258971369348363,0.4806168306126006,8040012,0.04640065638899685,-0.7124086002026168
0,2501.0,250,11,-1.8046370072912767,-2.3105962099881507,1.2539147342195258,-0.8845156446023252,-0.45765907695453795,-0.42248857198072776,0.042528537087417766,-0.44061862267560703,8040013,0.07416763829511595,-2.6267196650336837
0,2501.0,250,14,0.484238549324342,-0.3126827056713456,-0.19794465452747534,1.0293956975306404,0.4649590425268044,0.13861208950597093,0.04359372975774064,-0.5290589397065444,8040014,0.059415079673532836,-1.7077431724140006
0,2501.0,250,10,0.9465039366433821,1.8755621056164395,-1.0426389950193835,1.331586504129518e-05,-0.7333325649603324,0.1249211409530976,0.033123276516203067,-0.2272568860439077,8040015,0.060710584272574177,-1.515202706688385
