start,end,N,SS,FerL,bsfs,TajD,FayH,ZngE,FulD,btree,Colless,path,iColless,ibtree
0,100001.0,50,484,0.1433384089805844,0.05050740824528288,-0.05719816317825,0.012961938983867613,-0.15527089368115116,0.5030513125878131,0.30416493054007576,0.13278654485049826,3040000,0.13880060220809634,-0.4726543378651475
0,100001.0,50,405,-0.782120835946873,-0.13794271335708652,0.3006366795678635,-0.07174626755502883,0.8407688431787539,-0.2565208939272263,-0.29048913588870545,0.12617356884274172,3040001,0.13911564625850342,-0.14740013494696827
0,100001.0,50,457,0.2460467011824917,0.08769544984999841,-0.12942554173951049,0.02009038062255658,-0.2826276684915481,0.17595819954144154,0.3823281274791793,0.1447537130035261,3040002,0.14770150484436195,-0.2679849452037731
0,100001.0,50,437,-0.3458545115001298,0.38597778304698294,0.3855552658003458,-0.014048454475956209,0.5024200594638117,-0.851874359717645,0.10970554249568894,0.13152900645236634,3040003,0.1441798941798942,-0.3734987402651388
0,100001.0,50,448,-0.419318164879206,0.668071073626019,0.6034179606001229,-0.007529945396891224,0.6794913865314438,-0.25046935630123385,-0.38802971190814056,0.14132933393137478,3040004,0.1397028897028897,-0.4412651138528453
0,100001.0,50,491,0.1397049256532441,0.2698016241095978,0.2252514088434958,0.032231233426237564,-0.005984991216456355,0.11683140137253413,0.3742587553068911,0.12517964932451853,3040005,0.14711487431852174,-0.3500001215354945
0,100001.0,50,460,-0.09428791491338727,0.4577183959074959,0.3492584008189181,0.013213164612160213,0.2632238245145101,-0.845340514284433,0.3090313845767612,0.1220198727639204,3040006,0.12660825199645073,-0.18014363393086075
0,100001.0,50,602,-0.2936919861951153,-0.3400862983762406,-0.08295467084284626,-0.0404206435350128,0.2146376526978307,0.34997594251150765,-0.6041707555470108,0.14874682591930788,3040007,0.16087711680416852,-0.7578408822170871
0,100001.0,50,490,0.22220824244606815,0.5737732837643896,0.24023695994253685,0.04303290809785937,-0.07058017215909146,-0.02747363676555389,0.6788080397082319,0.11002410673007053,3040008,0.11084084796709386,0.1624553013033188
0,100001.0,50,354,0.024458567419611516,0.700264980408653,0.3480315407985501,0.02724151315785097,0.15796847036927394,0.05514269033801674,0.6277397730178502,0.11113081596274876,3040009,0.10882312925170062,0.4246287873560685
