start,end,N,SS,ZngE,FerL,bsfs,FulD,FayH,TajD,Colless,btree,path,iColless,ibtree
0,100001.0,50,399,-0.032395924060765836,-0.23749690028499754,-1.1554692989073712,0.9766257796417628,-0.06072257499384829,-0.4660254907866881,0.13881401617250666,-1.0846846983002123,3080000,0.16099773242630386,-1.0821303202882941
0,100001.0,50,463,-0.26169247298432985,0.3465993142110678,0.3915321218457314,-0.7332044272035878,0.04671188239113195,0.08162247360943282,0.1118070990772547,0.5455707027840806,3080001,0.11649005756148613,0.2853513955509209
0,100001.0,50,511,0.6280544992092698,-0.6889044352766669,-0.4549581945523941,-0.1617830418333545,-0.07819112428253508,0.04623346229731247,0.14329303149831366,-0.7462907237980719,3080002,0.18161510636000436,-1.1752454088237851
0,100001.0,50,307,0.19057107982996133,-0.4066767959241476,-1.1015123011794574,1.0958940076744208,-0.07101371029816192,-0.32195336564085353,0.17302450781637166,-0.6845875531100662,3080003,0.23115258761732535,-1.9750243948218582
0,100001.0,50,398,-0.7081948892882199,0.3778436746101174,-1.527455394551121,0.4293059446902779,-0.0062029363643622175,-0.7303870132333006,0.14961827122153207,-0.7563861351728846,3080004,0.1698724489795919,-1.5909792782623546
0,100001.0,50,457,-0.6322339175476436,0.2346694710229601,-2.4985232393435166,1.5054111254178244,-0.029799376627720014,-0.8250291940860606,0.14454185430040556,-0.7606679330580228,3080005,0.1700148809523809,-1.3626237731415194
0,100001.0,50,414,0.3387077643409556,-0.5440866759238693,-0.7948808135530662,0.6075572551554419,-0.0831873653746447,-0.2676658006696072,0.15229166666666666,-0.4256402763539361,3080006,0.17210884353741493,-0.9007768980696924
0,100001.0,50,412,0.3197029494232139,-0.5932839369255442,-0.9663498033352438,-0.1283872647088138,-0.0974279728971294,-0.3879866788641265,0.15424858967977442,-0.4486980076381672,3080007,0.19474524503679014,-1.011716038382374
0,100001.0,50,472,0.28931138771813525,-0.3056282702164811,-0.1666498274318442,-0.18549735947968754,-0.03327961695361892,0.041254638749778375,0.1297983479105927,0.3057946722946221,3080008,0.1335112748803225,-0.13806444489099093
0,100001.0,50,446,-0.33868330209390146,0.04803163162435114,-0.8481968734381594,-0.13715614356831193,-0.03436622036990683,-0.5738543803747423,0.17714069754886086,-0.7667989823338156,3080009,0.1849876314162029,-0.942454414158075
