start,end,N,SS,FayH,FerL,FulD,ZngE,bsfs,TajD,btree,Colless,path,iColless,ibtree
0,100001.0,50,344,-0.053368705780926035,-0.38414115628779977,-0.6646678628328169,0.27994934408642896,-0.18147390221552934,-0.10989999472688483,-0.0010323293513104417,0.13292387018501664,3120000,0.15731292517006798,-0.6376818080261522
0,100001.0,50,424,-0.10408162253575322,-0.7253935738373919,0.09645813611625666,0.5017936986235545,-0.9717963782494856,-0.2596142621292773,-0.8176477594702249,0.1491880288700846,3120001,0.16971938775510215,-0.6357362188734027
0,100001.0,50,435,0.03856653644110032,0.03725229386067348,-0.6022374307792098,0.2201271702569234,0.9568623816993506,0.4892503733659623,0.909237161263304,0.10766347355268624,3120002,0.1197318771258503,0.1104790850335088
0,100001.0,50,354,0.0074615983500663655,0.15448952013587836,0.01335016362699112,-0.21573406922926688,-0.003838296811199328,-0.15590104046557818,0.3556879718413805,0.114021501457726,3120003,0.14145746794292938,-0.12195391917741565
0,100001.0,50,456,-0.058937243914580675,-0.4627638861211708,0.5410249326547252,0.3748998859008808,-0.8562715528110667,-0.059641043252442176,-0.5370513895663116,0.13757227891156462,3120004,0.15990230678737655,-1.011658704707343
0,100001.0,50,449,-0.016650780215386175,0.017411291044147573,-0.1252487702698383,-0.15383375628781604,-0.5303754230743545,-0.26810571729859073,0.20345457316352772,0.1167664892043773,3120005,0.13285314125650252,-0.3124602116927129
0,100001.0,50,453,-0.016220337557796224,0.07220248365522769,-0.18594046902176603,-0.2467399113666755,-0.3554314875910967,-0.3548862965833237,-0.17594448094554374,0.132843030829353,3120006,0.14803953077293902,-0.2509863380972109
0,100001.0,50,483,-0.029116448093671945,-0.19281891816075825,0.08125663701869315,0.12227730267516945,-0.640797687053223,-0.09047880632825726,0.11771958905666975,0.1296768707482993,3120007,0.12937861711848922,-0.16949101362548294
0,100001.0,50,488,-0.023088858773745242,-0.3694373291776578,0.2896835976626881,0.4766875792366071,0.04161474345859018,0.29528777299945186,0.3723062294133968,0.11436871399277405,3120008,0.15679860653938996,-0.8080030508252815
0,100001.0,50,388,-0.11699745822052547,-0.6953237971649165,0.6014088738940687,0.35469607497038136,-1.7146438080152762,-0.4936036923684105,-0.20508965408616509,0.12866300366300365,3120009,0.16234955520669805,-0.9788821782347812
0,100001.0,50,391,-0.06872115503968733,-0.5347022345273724,-0.5643257850254823,0.4296496665134645,-0.3481200145088237,-0.07556272596414293,-0.6258587276346138,0.15172887336752866,3120010,0.1439771030363365,-0.3677769083156341
0,100001.0,50,449,-0.01904235569347686,0.0680555179078174,1.1617568198298585,-0.2603462720251153,-0.8759765190561765,-0.3882801168262674,-0.2793782506446109,0.14065239497861007,3120011,0.1532551617138083,-0.8451685662958967
0,100001.0,50,339,-0.16864890254927625,-1.404153440324104,-0.8876812380058327,1.218332610827427,-0.6329791001968192,-0.0231364182461649,-0.33490658417040475,0.1564923172066029,3120012,0.14919926303854872,-0.5347477444771762
0,100001.0,50,463,-0.11389531105422444,-0.655151678560683,0.6751383643250901,0.3049928973043303,-1.5205180666365017,-0.5211430154030919,-0.4954556155042013,0.1495080174927114,3120013,0.16555059523809532,-0.8092289423690596
0,100001.0,50,491,0.031254737768775284,0.4001926688973915,-0.33604826156879697,-0.4700589786689298,-0.05967785371188411,-0.23031472393514746,-0.00860635839118958,0.1199056895485467,3120014,0.13132543339916616,-0.3921484854003582
0,100001.0,50,421,0.03210179294477155,0.32455709523468473,-0.5478515086239938,-0.3315589075367838,0.1531553983594792,-0.0910931269407853,-0.007261049488252076,0.12244897959183665,3120015,0.1367975761733264,-0.7647915969488351
0,100001.0,50,411,-0.0009285023643293373,0.11309783308350495,1.248540350615346,-0.20513957875274694,-0.43307030512608463,-0.2052842472944012,-0.3261666588303471,0.15195368270765106,3120016,0.1543633078231292,-1.0167812552868976
0,100001.0,50,420,-0.10790428949182353,-0.7448055852400961,1.5745847196829503,0.5076551089167743,-1.9942302910798617,-0.2812132640566662,-0.4738827855081357,0.13538978809914773,3120017,0.14521591245193732,-0.5648920805593486
0,100001.0,50,500,-0.15550416059123198,-0.9917484118113509,0.1740312768437569,0.5858236051995835,-1.6560376268259216,-0.548637322241192,-0.7218833041352324,0.15890361119572213,3120018,0.15411086309523814,-0.8103333384145893
0,100001.0,50,369,0.00023798595354526675,0.14681097822562467,1.0822633895000455,-0.2555570562179184,-0.474688696891627,-0.24605828093944354,-0.4126627512725273,0.15254024144869216,3120019,0.1702380952380952,-1.3470623147162717
0,100001.0,50,355,-0.11067582083238836,-0.6666282903614135,-0.3293552118850517,0.3522934980246177,-1.3836233654021888,-0.4497552956509124,0.007007297198836243,0.11527854384997235,3120020,0.13218923933209645,-0.6059362494901487
0,100001.0,50,407,0.014969025200770397,0.2015797508986817,-0.08952053953574504,-0.24272701586937134,-0.11133827481234404,-0.12789480244796014,0.18222238634739216,0.1296694978569463,3120021,0.12510629251700686,-0.2451204517078479
0,100001.0,50,373,-0.04478613048624363,-0.3714640808737989,0.043505985290640654,0.3205454518231502,-0.4001776779191086,-0.009678982629374984,-0.24195435657399686,0.12879674162658686,3120022,0.14070793152425806,-0.5143812506229128
0,100001.0,50,449,-0.07088990709585817,-0.44748651303458137,0.07275208974549975,0.25968542245699194,-0.539383970159362,-0.2566297490854571,-0.08060985873950112,0.1259781369195077,3120023,0.1434304782519068,-0.2803384803681377
0,100001.0,50,385,0.015772833965780934,0.16437294413030173,0.5548025746389779,-0.17164375844415966,-0.09209799395842833,-0.05345492703199513,-0.07988468853431446,0.11447416804559665,3120024,0.12771931689342406,-0.2323834676131363
0,100001.0,50,442,-0.027732884758549257,-0.44986088115410905,-0.7789847825163471,0.5834680589724168,0.128586805215119,0.3658859775699813,-0.3453025751658032,0.12757316468253976,3120025,0.1288056206088993,-0.3506854034051227
0,100001.0,50,439,0.0018691995981884614,-0.2275271797898049,-0.1543200688374836,0.41277610603407744,0.6471336103518277,0.4128031171932579,0.6072886900980898,0.11085858585858586,3120026,0.12946189711839795,0.03849731319529666
0,100001.0,50,477,0.01958694692668128,0.16616696200975944,-0.8706363678783787,-0.14621104232074011,0.22544889941566526,-0.0009876122821639577,0.11000075697506052,0.12636632322832034,3120027,0.13747165532879824,0.033331466029232336
0,100001.0,50,379,-0.1974339903459556,-1.159696373416631,0.029794575048379738,0.5751485476876477,-2.8209318349428667,-0.8552225774448962,-1.1836981776929534,0.16704785362420824,3120028,0.2093161940100716,-1.6640478591130872
0,100001.0,50,404,-0.04662859803391503,-0.2649427379553614,0.5573550327811102,0.11980200174083093,-0.6275701877206086,-0.21776823986958066,-0.492223062390309,0.13098455598455586,3120029,0.14265508183471412,-0.7239969061784307
0,100001.0,50,427,-0.0018901546711630973,-0.22433894138363145,-0.5170806003346483,0.3793411625537105,0.3309822532750957,0.3536303980139773,-0.09192332516992463,0.10707780379911544,3120030,0.1254646188372256,0.016219350460814786
0,100001.0,50,416,-0.07090226853662387,-0.3895915364339267,0.054799467952206686,0.15866260778054306,-0.6751175429526659,-0.35405591742802783,0.7878373072353912,0.12529983091502495,3120031,0.14907370715276402,-0.22421335515460966
0,100001.0,50,425,-0.07866397501065207,-0.5337107735528587,-0.05092389838329731,0.3537478927328413,-0.6687726363688142,-0.220918821364029,-0.17799401660155267,0.12930366591080875,3120032,0.14196779629282907,-0.2000016212427918
0,100001.0,50,462,-0.0560733912146239,-0.3872359877920236,0.3629541592653455,0.2636032124360519,-0.7484835928769195,-0.14684263071887266,-0.4103782396902807,0.128504955281605,3120033,0.1635508217885695,-1.0167790630176907
0,100001.0,50,489,-0.10614877198916982,-0.8015214000125043,-0.05110652916371259,0.6185242465639738,-0.9212293494843282,-0.16298676829817207,-0.901454905576942,0.16081932773109248,3120034,0.1708084095707249,-0.6185971776603335
0,100001.0,50,408,0.04396914683929029,0.4303945631840633,-0.13366526383799493,-0.4294632732836407,0.2521435887962537,-0.10110288484663088,0.08545583693543382,0.12260731878958485,3120035,0.12667748917748914,-0.15590736567650812
0,100001.0,50,501,0.02572405301936776,0.10891113679101742,-0.21759291957775176,-0.00018551910479119342,0.3250218041672848,0.18423578744951047,0.3625258508478989,0.1149325801749272,3120036,0.11700556134862705,0.027208796450883702
0,100001.0,50,426,-0.12723128274020942,-0.546738668940923,1.7147973785661663,0.017238790464413272,-0.9743929559469122,-0.8944611887676994,-1.1886870962411635,0.15401785714285712,3120037,0.16699151570740656,-1.053263412979483
0,100001.0,50,453,-0.07436309167122021,-0.6051217573882367,-0.3494924199960893,0.5103090400346446,-0.3075920411515033,-0.039130897355344765,-0.02759007813791433,0.13831403347856014,3120038,0.1359942967085825,-0.17541095115983324
0,100001.0,50,468,-0.1432978444019694,-0.9421083518812988,-1.1089508264929953,0.5901949367465198,-1.1159240496367533,-0.4561311028948469,-0.8857273650710504,0.18084183673469376,3120039,0.230301685891748,-1.7834465449931456
0,100001.0,50,433,-0.03625702606178136,-0.16755665882198714,-0.17924607037075688,0.025452189115705296,-0.3840697092558735,-0.23504715381601216,0.14065712247138382,0.114795918367347,3120040,0.134623849539816,-0.3073141584347501
0,100001.0,50,486,-0.10876386924607694,-0.7947424217750799,0.7924432738095042,0.5873039811920516,-0.9676806560520168,-0.2118476805442489,-0.8574260986922311,0.17386705926151555,3120041,0.15927419354838704,-0.9988881929282536
0,100001.0,50,463,0.01861182261704429,0.20206577688825755,-0.22107977573861468,-0.21643869490406745,-0.016286191768474182,-0.0759603719510395,0.4691536452404139,0.11123053282226596,3120042,0.12276939761411812,0.06283201977277922
0,100001.0,50,414,0.02297074140959008,-0.027923275687503274,-0.4298555458250016,0.2188188935669084,0.6040468006771721,0.3763332000347344,0.1975151906221252,0.12380744980919195,3120043,0.1338506235827665,-0.20042117067101445
0,100001.0,50,397,0.04328335743289826,0.3660642435486096,0.6624388465812829,-0.3218790504497773,0.2303385152926105,-0.0019883564610254467,0.2651753904299491,0.1215776434030402,3120044,0.1324817240328967,-0.7829355657122858
0,100001.0,50,494,0.030914378225786163,0.4039030162924754,0.24616350650401025,-0.4790768180352046,-0.05587717558561288,-0.24143691818968316,0.16613913529769042,0.11942057524764298,3120045,0.13123364730507595,-0.3680344775371816
0,100001.0,50,408,-0.15040726039471836,-1.2196242738677332,-0.7143955897986283,1.026172411320868,-0.9632390404264181,-0.08305876400428278,-0.7853313160460073,0.15942376950780313,3120046,0.15176285567990633,-0.6595210355837142
0,100001.0,50,441,0.04101226391338012,0.4042579076781099,0.200990463781116,-0.4052047214575865,0.2468468074568065,-0.09829591246813296,-0.09938539942704916,0.12657020480149725,3120047,0.15279010154786546,-1.0173348709400514
0,100001.0,50,428,-0.026707982146084483,-0.13258120223592865,0.27245048439727243,0.03483310476562945,-0.3391512801002997,-0.157557075967333,-0.02306130230858834,0.13726035868893013,3120048,0.13831042621130085,-0.3534173434341303
0,100001.0,50,469,-0.03602698381681173,-0.1994851748780481,-0.16560671722678938,0.08283731850353185,-0.4202200695880065,-0.17806635660814155,-0.2873961075283404,0.13373076503328593,3120049,0.15463219185979474,-0.9694956269625642
0,100001.0,50,511,-0.010512259483987929,-0.18207869768650345,0.2734598713300477,0.2413406831367583,-0.03441981996557891,0.15782145489120594,-0.24097509308061746,0.13445092322643354,3120050,0.14011787921275382,-0.4612578097294438
