start,end,N,SS,FerL,bsfs,ZngE,TajD,FulD,FayH,Colless,btree,path,iColless,ibtree
0,100001.0,50,484,0.1433384089805844,0.05050740824528288,-0.15527089368115116,-0.05719816317825,0.5030513125878131,0.012961938983867613,0.13278654485049826,-0.005400212067499522,3040000,0.13880060220809634,-0.4626184618614926
0,100001.0,50,405,-0.782120835946873,-0.13794271335708652,0.8407688431787539,0.3006366795678635,-0.2565208939272263,-0.07174626755502883,0.12617356884274172,-0.0614827154702477,3040001,0.13911564625850342,-0.3706827501372252
0,100001.0,50,457,0.2460467011824917,0.08769544984999841,-0.2826276684915481,-0.12942554173951049,0.17595819954144154,0.02009038062255658,0.1447537130035261,-0.2698020854422811,3040002,0.14770150484436195,-0.5701163056993407
0,100001.0,50,437,-0.3458545115001298,0.38597778304698294,0.5024200594638117,0.3855552658003458,-0.851874359717645,-0.014048454475956209,0.13152900645236634,-0.03149878012214609,3040003,0.1441798941798942,-0.2772014042376991
0,100001.0,50,448,-0.419318164879206,0.668071073626019,0.6794913865314438,0.6034179606001229,-0.25046935630123385,-0.007529945396891224,0.14132933393137478,-0.4061786717400684,3040004,0.1397028897028897,-0.4812514551609823
0,100001.0,50,491,0.1397049256532441,0.2698016241095978,-0.005984991216456355,0.2252514088434958,0.11683140137253413,0.032231233426237564,0.12517964932451853,0.08226634659085456,3040005,0.14711487431852174,-0.33192187976345816
0,100001.0,50,460,-0.09428791491338727,0.4577183959074959,0.2632238245145101,0.3492584008189181,-0.845340514284433,0.013213164612160213,0.1220198727639204,0.0028537686642326303,3040006,0.12660825199645073,-0.023467890966632345
0,100001.0,50,602,-0.2936919861951153,-0.3400862983762406,0.2146376526978307,-0.08295467084284626,0.34997594251150765,-0.0404206435350128,0.14874682591930788,-0.7491820443597297,3040007,0.16087711680416852,-1.0811373175058006
0,100001.0,50,490,0.22220824244606815,0.5737732837643896,-0.07058017215909146,0.24023695994253685,-0.02747363676555389,0.04303290809785937,0.11002410673007053,0.690457967292105,3040008,0.11084084796709386,0.3746703395176482
0,100001.0,50,354,0.024458567419611516,0.700264980408653,0.15796847036927394,0.3480315407985501,0.05514269033801674,0.02724151315785097,0.11113081596274876,0.5125360976364384,3040009,0.10882312925170062,0.6266370768568476
0,100001.0,50,463,-0.7081673380775566,-0.22060315049083054,0.6744528467058766,0.10357067295793178,-0.029033031439248812,-0.07657685637890481,0.14523809523809522,-0.3808474996871048,3040010,0.16435954226651905,-0.9924140499660628
0,100001.0,50,409,0.4747876923318534,0.03751899318255945,-0.5000772346718694,-0.1624917833561353,0.546553637479468,0.04494319137323203,0.1258808651665796,0.10024777951673296,3040011,0.1175771060303821,0.18430488196020905
0,100001.0,50,445,0.6346882754010752,0.4463646506460803,-0.6197343976563462,-0.12247925935509547,-0.2965377616759776,0.06660296878371058,0.1322448979591835,0.13648342702385016,3040012,0.13442460317460314,-0.1885700769492262
0,100001.0,50,517,-0.03281856973650854,0.9506160232002214,0.2450333576242438,0.4178604544077241,0.6622703463876684,0.025260268684200397,0.1244822525784507,0.05103812126574852,3040013,0.1520838855022528,-0.5785060520654991
0,100001.0,50,422,0.41309416859115344,0.5669102525931584,-0.3173861738552178,0.08661326961048157,-0.5543622220340985,0.05500054793540023,0.13012895031430288,0.0901993190893428,3040014,0.12487742844885695,0.33193874985697763
0,100001.0,50,395,-0.2054870538706964,-0.6283485076137534,0.09091120617120516,-0.17281018963862393,1.1697055978431448,-0.03644896921648497,0.13030133928571416,-0.19118243480354435,3040015,0.16524943310657594,-1.072706496506768
