start,end,N,SS,FerL,FulD,TajD,FayH,ZngE,bsfs,btree,Colless,path,iColless,ibtree
0,2501.0,250,11,-1.0232963784419622,-1.029123745469293,1.7836517029162269,-0.027230274175464343,1.5243374984376683,2.341917013028992,0.3072924062814759,0.04396078939413569,8120031,0.03870319989635963,-0.8012159142702742
0,2501.0,250,12,-0.08796732110937927,-2.356251271886407,0.9817635768299507,0.08190495788452094,0.4632126494101472,3.0726274950963357,2.9140016499433736,0.0296832491255344,8120032,0.03902707604611996,2.4162681295715838
0,2501.0,250,15,-0.7836279655925211,-1.4636660782230702,2.4741700326733858,0.09004797907308999,1.6313703098881345,3.2793196478433013,0.5081416109101704,0.02859826402383728,8120033,0.0320313512112968,0.9306755375192964
0,2501.0,250,14,0.044976371488622005,1.808437214814801,1.2521415710901933,0.13096985154838495,0.4709252392637522,1.6543445145733702,0.3512833959225175,0.030523013713841536,8120034,0.06903420132141469,-3.164676413226323
0,2501.0,250,14,-0.6059438318748377,-1.3732426659144188,2.01417732854806,0.08013698652736903,1.2983931491085696,3.4518486617752413,0.8438017307726848,0.03297868894934577,8120035,0.05867016452908407,0.21198047947826126
0,2501.0,250,16,0.5331085613888076,-0.5928903682049141,0.2921175174567752,0.12643383816463072,-0.3062706797840729,0.8580112121112523,1.3981858896452757,0.030039512890270764,8120036,0.06098587899987045,0.10604107720472213
0,2501.0,250,10,-0.9404279736503875,-2.2591619954937,3.0005170270483337,0.11850862326940595,1.934433988358951,4.1286618658241165,3.9984281186944943,0.025756250809690368,8120037,0.054378805544759684,-0.005485045250984178
0,2501.0,250,12,-0.9177916650720608,2.4353233333940723,1.91979608971751,0.009611056878263791,1.4996967494115503,4.320759835766357,1.8276929009272544,0.035035302500323884,8120038,0.030573908537375308,-0.6278710192723748
0,2501.0,250,11,-0.9826826476155917,1.5338211835684223,2.2353887593242883,0.02815449466916337,1.6718408243748368,3.7813218422913866,5.204887126597231,0.021284060975083133,8120039,0.03705143153258194,-0.5888346820602042
0,2501.0,250,17,-1.5172439601492194,-2.5248832887197503,3.3342226306027087,0.035495844619613484,2.57931011563167,4.734291786102783,1.9267907772413688,0.03677073886945632,8120040,0.03854126182147947,0.9890885945263064
0,2501.0,250,16,-1.5462761998509782,-1.5450791905361416,3.84548735171916,0.0780266797992694,2.8050913062946705,3.24433533949992,1.0188177068965134,0.032225676901152994,8120041,0.030541520922399274,0.2986070251545133
0,2501.0,250,10,-1.0094276897379526,0.4973207385797266,2.5407489912590258,0.05459152222753479,1.8074705817148744,4.131967977763448,1.2491804594140443,0.03372013399218996,8120042,0.04822515869931338,0.6953170821814565
0,2501.0,250,10,-0.9777578551596192,-0.8809206284569866,2.073054683832785,0.01144416872753235,1.597324253476404,3.994947787482663,2.4913955506070535,0.03004275165176836,8120043,0.03701904391760591,1.2290068220146502
0,2501.0,250,18,-0.7877207359162431,-1.6858798410735365,2.0694865792506283,0.04998788326676678,1.4814848014360693,4.257612808902732,1.4036278546623606,0.036419873040549285,8120044,0.04497020339422205,0.6137803277644013
0,2501.0,250,22,-0.19203011992136754,-1.172994251653622,0.8930630621411311,0.04674078025572077,0.5262344798905623,2.4369249400725463,1.2586207712800983,0.025994299779764217,8120045,0.03763440860215054,1.162328401254722
0,2501.0,250,11,-0.1293412059016763,-2.3105962099881507,1.3680634922542727,0.1153050641861115,0.6475121720333878,3.624752834206447,1.9051118314510396,0.024695556419225287,8120046,0.06702616919290064,0.9270358733023096
0,2501.0,250,15,-1.007246641883642,-1.4636660782230697,2.5673347225335683,0.056825431727842025,1.8476747450589148,2.7438573482614137,1.127728660345737,0.032391213599919394,8120047,0.034120352377250945,1.2829070115158172
0,2501.0,250,16,-1.141443553031261,-1.5450791905361414,3.1988861324808373,0.09173469637518154,2.217806112135229,3.9584100290251536,2.039162422215957,0.02565099106101827,8120048,0.04349656691281253,0.5072454395639873
0,2501.0,250,11,-0.05427170850709162,-1.029123745469293,1.3019827434814923,0.12403381329326855,0.5614685652367059,1.5487579196845156,0.7890397355467825,0.04214554068809801,8120049,0.028501101178909187,1.1325708130709782
0,2501.0,250,12,-1.015740239011355,-1.1583576205662869,1.9655565893615141,-0.005516590370775838,1.5960242679990415,2.6792236933562092,0.13979224712646754,0.0369758604309712,8120050,0.05091333074232414,-0.19650244953402696
0,2501.0,250,13,-0.472880581101989,-1.272167440750637,1.2814828919782153,0.03437855852255427,0.8928626048950886,3.247903529431557,0.7855757082079927,0.035172949863972014,8120051,0.02885736494364555,2.4830115905172008
0,2501.0,250,16,-1.0998552317120531,-1.5450791905361416,2.5383041809756737,0.03683304623104632,1.914791942808283,3.4768020657474183,3.291974686482317,0.03019335406140692,8120052,0.038606037051431535,-1.5864206335332678
0,2501.0,250,12,-0.9391193332169138,-1.1583576205662869,2.473925336037416,0.06155764722517229,1.7385889955085283,2.8922253233346678,1.5957278666408454,0.034476616141987305,8120053,0.046541002720559665,-0.4631594949883619
0,2501.0,250,12,-1.285181070148059,-2.3562512718864066,2.565099956438296,0.000953291820445659,2.050690155732,3.1728258078258,1.1078774036455679,0.03623364425443711,8120054,0.054897007384376216,1.8560919174280188
0,2501.0,250,13,-0.6193467062974657,-2.3970717900180207,1.822882639834453,0.0593968319768598,1.227591033054597,3.211233341815515,0.6635141271889992,0.035799110420175334,8120055,0.0379906723668869,0.9256697117389124
0,2501.0,250,29,-1.0076232258369398,-1.5838100150831518,3.1041086523739283,0.10231343079231464,2.125183202740326,1.3702073826350445,1.7690723789612643,0.028656561730794144,8120056,0.03543205078378028,0.557537288709624
0,2501.0,250,24,-0.6885130135559518,1.4006609934471823,1.655136383819667,0.029872459239408962,1.245719288017035,3.9182805824711986,1.1689444103812072,0.031247570928876794,8120057,0.05554475968389688,0.7804029354562383
0,2501.0,250,21,-0.0013602136203237913,-1.8553601631833363,0.7166941793305122,0.06414837004693336,0.2991508778893901,3.566806762165508,1.6557344338077282,0.025934382692058555,8120058,0.06558492032646716,0.27981389042236965
0,2501.0,250,15,-0.18835209182122825,0.5430819992150968,0.9342125120433264,0.05428415478538837,0.5301840944732544,3.6799934643496264,2.528969081121944,0.028166429157490173,8120059,0.033942220494882755,-0.07555182669507407
0,2501.0,250,9,-0.3958034118695301,-0.7089587510095277,1.0283967030830206,0.02509427500721359,0.718277839269285,3.2708167846077503,3.8604888880663695,0.024517424536857103,8120060,0.02879258971369348,6.151350053426612
0,2501.0,250,15,-2.095551583947929,-1.4636660782230697,2.970715263786319,-0.10967159565798826,2.880036822010365,0.9956775746208262,1.5675128380314955,0.02854274239816408,8120061,0.033262080580386065,0.8521327819109986
0,2501.0,250,18,0.2268797727957951,-1.6858798410735367,1.0327564076199334,0.13623906861567228,0.2438825975303415,1.737187461010138,1.6461839964367082,0.02341084769184264,8120062,0.036306516388133175,0.902064918079906
0,2501.0,250,10,-0.8750180927758048,-0.8809206284569866,2.0028695411258552,0.026009474380755515,1.4878730408522003,3.7900771228602057,0.5308720192891532,0.03611866822127218,8120063,0.03692188107267781,2.8613707362796705
0,2501.0,250,14,-0.6372826406880642,-1.3732426659144192,1.7139153407677554,0.04477499346927099,1.2018552262933409,3.690415727359389,2.0545728490043818,0.03114069179945589,8120064,0.033683119575074486,1.1120811684097025
0,2501.0,250,15,-1.1343527462031209,1.5464560379341803,2.3663053087037778,0.013524551923009557,1.8673387846198948,3.6042121293188782,2.506107578623142,0.02653193418836637,8120065,0.039804378805544764,0.08460808192750884
0,2501.0,250,10,-1.5458547834962724,-0.8809206284569866,3.3773470361562024,0.028752291679089676,2.564872973074362,4.377539873331323,4.371831570148332,0.028322969296541007,8120066,0.0329058168156497,3.278328404610716
0,2501.0,250,16,-1.5866279847064233,-2.497268012867369,3.00180981461874,-0.00940541577247438,2.4927055647205,3.7142834985338484,1.9998919503172377,0.03335924342531416,8120067,0.042492550848555515,-0.09826190068292698
0,2501.0,250,15,-0.668171063439861,-1.4636660782230697,2.9827718707094015,0.16072027101908196,1.7460772073271846,1.3329224098622077,1.1453294722748253,0.036144578313253004,8120068,0.04271926415338775,-0.8449604363292303
0,2501.0,250,17,-1.3311419625991168,-0.712707643166984,2.5904300564039433,-0.00018521465885010648,2.125617360845858,4.908740374319762,5.06571973811353,0.02887355875113357,8120069,0.03381267003497862,0.7125528417115161
0,2501.0,250,13,-0.3562372966102797,-0.1472630914832532,1.7020615879597267,0.0991672597783592,0.9692680069749764,4.400888876041977,2.3635770567830936,0.026742916365924525,8120070,0.07653193418836637,-2.046115767290972
0,2501.0,250,11,-0.49119883806158104,-1.029123745469293,1.7357277206286787,0.07833624443815232,1.0818275206261625,4.009614638696327,4.644016522880895,0.03604741546832491,8120071,0.05062184220753983,0.18930628700399332
0,2501.0,250,12,-1.0082697490803991,2.4353233333940723,1.9226825804435832,-0.008360838097351348,1.5729056635380445,4.0958371940509535,1.9002149674237905,0.03929913201191865,8120072,0.03556160124368441,0.08927018449780684
0,2501.0,250,11,-0.9991382109676554,0.2523487190495645,2.315714953003849,0.03308367063555792,1.7169112850778607,4.092952236674615,0.7082370616389018,0.04289739603575593,8120073,0.041035108174634016,-2.4844833684627066
0,2501.0,250,8,-0.8627034232778161,-2.133690217292945,2.3784868918358613,0.07113787525153248,1.6114367005455013,3.4088365192978065,2.6047159453578104,0.032428099494753206,8120074,0.03465474802435549,-1.3064978844940165
0,2501.0,250,5,-0.5713961644126316,-1.8543449981889188,1.6573527383528246,0.06364788486693293,1.0793316208482668,1.6337493284824731,3.2086552326038147,0.027270371809819918,8120075,0.0433508226454204,-0.10895709810828114
0,2501.0,250,10,-0.29751711759287336,0.4973207385797266,1.2599254879164743,0.07067010639018363,0.7348486979976808,3.4039773731301874,4.133384958759964,0.0313512112968001,8120076,0.03552921362870838,0.8759744021191738
0,2501.0,250,22,-1.0009852749482335,-1.9033047906683256,2.877841798999437,0.08526909921047217,2.0016815027282138,2.5100419305736783,1.4122403934235768,0.032101524377078215,8120077,0.04301075268817204,0.0
0,2501.0,250,5,-1.3978787676042659,-1.8543449981889188,2.8191955610804054,-0.014152858820913413,2.1729404783557973,3.1144799142154924,2.2624245562338268,0.0296832491255344,8120078,0.023027594247959582,1.95420700978298
0,2501.0,250,20,0.2308609825639913,0.5712694743094276,0.9457641752059888,0.12608413338770674,0.2074375147768031,1.1287894887193732,0.21494114347864787,0.04431435419095738,8120079,0.03967482834564063,0.40576562314395137
0,2501.0,250,21,-1.6290140145449257,-1.0956646725615409,3.5894536927507223,0.040897436358880296,2.796267060216997,4.5586069239507845,1.3467486872637686,0.03359675260180507,8120080,0.03990154165047286,0.7186210442179309
0,2501.0,250,17,-0.6875878019144119,-2.5248832887197503,2.351805096297983,0.09475364047169398,1.5137291060360465,1.3602427634223693,1.1116161137056433,0.026672673097080404,8120081,0.03821738567171914,-0.13187947823227875
0,2501.0,250,15,-0.09593070650619874,1.5464560379341803,0.7206429375368547,0.05118503656288388,0.3695944380585843,3.617314898895082,0.5267314293120328,0.03672755538282161,8120082,0.036792330612773684,2.7160161749022804
0,2501.0,250,14,-0.4104048846108544,0.7478772545717275,1.257934187740517,0.04389626924418268,0.8363902327785462,3.8223823032610897,0.9507066150765892,0.02831757136071166,8120083,0.036371291618085236,2.203167217667932
0,2501.0,250,14,-0.5219758866274786,-1.373242665914419,2.7844249719631486,0.17153761993996053,1.5431857391043282,2.0658755063694416,0.6448597100123885,0.03273173338515352,8120084,0.055609534913848936,-1.2387063109255751
0,2501.0,250,23,-1.491743649577404,-0.5414743867334512,2.985525963042091,0.011483899097706037,2.4433845965934187,5.160296371993237,2.323543160846524,0.04907938204430625,8120085,0.045018784816686114,0.0916235025512901
0,2501.0,250,26,-0.7602020466062593,-2.063707358744533,2.6796937175980275,0.1070216312843186,1.7387827179696946,3.829486130855672,1.0362406605193069,0.0322958500669344,8120086,0.043188884570540216,1.8895774012315651
0,2501.0,250,11,-0.490004316566688,-1.029123745469293,1.2028822062253677,0.023208203508441,0.8687671609391406,3.75398435984074,0.8066448208714282,0.037083819147557984,8120087,0.03539966316880425,-1.152839139372828
0,2501.0,250,7,-0.2729573367809072,1.5276143141084957,1.0556881452584823,0.0594739527493873,0.6241982876947075,1.5578538542055191,1.2135122914607586,0.03742157570373661,8120088,0.03442803471952325,1.8658758318605189
0,2501.0,250,15,-1.488626508009817,-1.4636660782230697,3.1863480009748155,0.02553673415343684,2.4834786908639352,4.829552135059964,2.8782157956138437,0.033569762922658376,8120089,0.037731571447078636,0.8576396404960864
0,2501.0,250,22,-1.5243772183299844,1.0179373653904888,2.9879808406102004,0.0055864808035106656,2.46658189135036,5.2931286040082615,1.6864211597682983,0.042222654057088575,8120090,0.02888975255862158,6.316894056674231
0,2501.0,250,10,-0.4515937258752235,-2.2591619954937,1.5036472705404118,0.06361444533998599,0.9537511232460876,3.0663045568777108,1.842182830825084,0.031437578270069516,8120091,0.027270371809819925,0.6488927817807602
0,2501.0,250,6,-0.07008718568822121,0.032958223794150206,0.7870451546406619,0.08174883027691104,0.3566018674681863,0.8402480392737202,0.5030429546343976,0.0336291402167811,8120092,0.06471045472211427,0.6643883471676371
0,2501.0,250,12,-0.18560623743495544,-1.1583576205662869,1.6439245493910004,0.12941327155919066,0.8061386155816154,2.269040387732337,1.2506081540081044,0.042319816902016666,8120093,0.028225806451612906,1.7766568633839777
0,2501.0,250,14,-0.17973949104462875,0.7478772545717279,1.1757131055215118,0.0802568125580629,0.6191799064442818,2.57220947927942,0.13542473875473887,0.0489247311827957,8120094,0.04352895452778857,0.7395188851057625
0,2501.0,250,15,-1.379906097942342,-0.4602920395039866,2.698506737426675,-0.0008553566294112657,2.198350117229725,4.6942556731651415,2.4775541549525264,0.0362957205164745,8120095,0.04012825495530509,1.450687596679589
0,2501.0,250,18,-0.49773472817361,0.042790589484166086,1.9033953688865213,0.08668264673345219,1.1813734124981907,2.8078685801538907,2.2560640773793845,0.02837155071900505,8120096,0.043205078378028235,2.4375795083014733
0,2501.0,250,22,-0.16421353647060172,-1.172994251653622,1.9025927309317376,0.14145170106374325,0.9250700764453504,3.5533456486541666,0.695663898820864,0.0324200025910092,8120097,0.046541002720559665,-0.017080065458638653
0,2501.0,250,20,-2.06630853024497,-1.803497432055012,3.9083796735244607,-0.007080995571609359,3.2729937220480787,5.032271965073275,3.48816116058194,0.03499481798160383,8120098,0.04210389946884312,-0.19451965360577547
0,2501.0,250,21,-0.8528395004923786,1.1834217993038447,1.9158780877558748,0.02470685786467201,1.4791905372210332,4.81850599293866,1.351081727852965,0.028922140173597618,8120099,0.03756963337219847,1.1833651876363172
0,2501.0,250,8,-0.06555482900213669,1.1205475573559285,0.5915052074853003,0.05247286857556622,0.2824850560730316,1.528985890834745,1.7781844398908049,0.02914885347842985,8120100,0.059398885866044825,0.0
0,2501.0,250,13,-0.4702872906060094,3.2274499563188983,1.2143319753215471,0.028210260067441005,0.8637557850551315,3.9046484304198192,5.980694310692068,0.02696268946754761,8120101,0.027918124109340588,5.812905448231567
0,2501.0,250,16,-0.14227513323012167,-1.5450791905361416,1.381237975731925,0.1045497203315122,0.6777444061745657,3.605856399528024,-0.28527848781864146,0.030169063350174895,8120102,0.04339940406788445,1.7105446880935085
0,2501.0,250,24,-0.9399159328317302,-0.6332035598380021,2.405646017533128,0.05361586113999444,1.7618795755040824,3.7516040550403655,2.216896539969396,0.04240348490737142,8120103,0.04926156237854645,1.3987670561072283
0,2501.0,250,20,-0.724411200627969,2.154447411885722,1.6841736248379584,0.025972870475551718,1.2776144882524159,4.779319064147852,1.3986524781443324,0.0254890529861381,8120104,0.03672755538282161,4.488199124177923
0,2501.0,250,14,-1.5016595650078373,-0.3126827056713456,2.9072625191656,-0.005006065282321094,2.374101431906832,3.3223239475248296,1.8157223230773565,0.03291661268730838,8120105,0.027270371809819925,3.0012700111866213
0,2501.0,250,15,-0.5243880335924256,-0.4602920395039864,1.5966166806409081,0.054581670134748815,1.0676678424733748,4.074693191860328,0.4464067659545806,0.03218033424018656,8120106,0.04791747635704106,0.6941786251623022
0,2501.0,250,17,0.5389364715778423,-2.52488328871975,0.3228379321519399,0.12840823348273947,-0.2980570923520314,1.945985386812196,0.27314288888329663,0.028440952751096555,8120107,0.05813576888197953,-1.7996973081056562
0,2501.0,250,20,-0.9017797213804298,-1.8034974320550123,3.1794820078066035,0.13048209548101106,2.0393907082880123,3.1696415929748585,0.7599076970874303,0.02638780930172302,8120108,0.04437103251716543,0.7109000856071244
0,2501.0,250,11,-0.5756185554334337,-1.029123745469293,1.8448741785705092,0.07214054409150365,1.192455015079039,2.698405317888433,1.2975839568395122,0.035877380489700746,8120109,0.04087317009975385,0.21349022285046204
0,2501.0,250,15,-1.7655456241163967,-0.4602920395039864,3.577897593722831,0.010946085561885829,2.8636501223762147,4.217110462462184,0.4401277616436749,0.040330677548905305,8120110,0.04469490866692577,1.7859673457396739
0,2501.0,250,8,-0.5790686802667959,-0.5065713299685085,2.4335867571287118,0.14366544291282876,1.407765950434778,2.093070705037165,-0.6411525316070664,0.0420917541132271,8120111,0.036112190698276966,-1.106409313856677
0,2501.0,250,14,-0.9287231855620588,-1.373242665914419,2.6304776659269025,0.07821977003626734,1.8052172438885203,3.925960086016064,2.6367905600851587,0.026072030055706696,8120112,0.05188495919160513,0.26867538614562475
0,2501.0,250,18,-1.7728633932324507,-2.550215056352388,3.614654131011137,0.016046254349093698,2.904870246112865,4.541169142615648,1.6224161892492996,0.03577212074102863,8120113,0.037083819147557984,0.8630246889043394
0,2501.0,250,14,-0.9940815511830206,1.8084372148148005,1.8798567706917328,-0.007682179967817232,1.5535290879773886,4.0678591594697835,1.7039206631837114,0.03200706050006477,8120114,0.03763440860215054,-0.5814203863735379
0,2501.0,250,12,-1.2628857219603355,-1.1583576205662869,2.782625897555125,0.02753606864959469,2.1200459691149933,4.568821178101851,2.968458073853925,0.03628492464481582,8120115,0.03436325948957118,1.2591135501758353
0,2501.0,250,8,-0.12100395869698155,-0.5065713299685085,0.491604028571983,0.02808137076281444,0.2875768248257997,1.9509868337829697,1.704434795408811,0.028619855767154638,8120116,0.03284104158569763,1.0252844700604176
0,2501.0,250,20,-0.044557858319038315,-0.2203194944787185,1.0057087599267491,0.08335843875380303,0.4525765752034828,3.8963508840891268,-0.038448641727375776,0.04450058297706957,8120117,0.04142375955434642,1.621590131785104
0,2501.0,250,18,-0.04296215783885883,-2.5502150563523878,2.5292434892636932,0.2261987672936577,1.0756198754438908,1.542226511341031,1.644970529125564,0.03077228267910351,8120118,0.03631731225979185,0.543738326532193
0,2501.0,250,9,-0.4247976530640101,-2.2007292414680393,1.3291951480024615,0.05179526012440888,0.8594269621881876,2.917690076224364,1.73402382189184,0.03703199896359632,8120119,0.034525197564451354,1.3700924419074199
0,2501.0,250,11,-1.3429956399114102,-2.3105962099881507,2.98698007947824,0.03140638159143756,2.2577568135141464,3.828062434033585,1.4710427528779366,0.03705143153258195,8120120,0.028695426868765382,0.3001275271788529
0,2501.0,250,21,-1.0543837939195204,-0.3359691819397459,2.4861195575517625,0.041099160792990086,1.877612529726556,4.606702075575991,2.4638360196751905,0.03445394481150408,8120121,0.046962041715248086,1.1101251596914834
0,2501.0,250,6,-0.6070132857293455,-1.9642299758823036,1.375710360868189,0.015133829835349753,1.0070991851927344,2.5773321332178165,1.188818418355927,0.028557779505117238,8120122,0.07147946625210519,-0.9671354316555002
0,2501.0,250,15,-0.2860640879934024,-1.4636660782230697,2.4752338509313048,0.1840008471065356,1.2348121787417043,2.002458947048332,1.1077015747267551,0.03150667184868506,8120123,0.0317398626765125,0.9658872042079604
0,2501.0,250,17,-0.8503261510973813,-1.6187954659433672,2.4788175033911033,0.07698392820202253,1.6958031721014053,4.515119546428061,4.55495195813079,0.0290921751522218,8120124,0.03254955305091333,0.6358529643235014
0,2501.0,250,15,0.30502201631027576,1.54645603793418,0.37096909985056103,0.09319668318715454,-0.0925104916244458,3.054701961192397,0.0352002096516693,0.033720133992189955,8120125,0.0500064775229952,-1.5993552846798835
0,2501.0,250,16,-0.9501717101555672,-1.5450791905361414,2.2572516922766543,0.03792319306534047,1.6805026366276548,4.7316745067308315,1.3452166278211468,0.035181046767716016,8120126,0.03284104158569763,0.4489052026978925
0,2501.0,250,12,-0.8588405968604244,0.03953603075383253,2.4988646159106835,0.08029530120409632,1.6846455850995334,2.1206222693450507,-0.015952942689515567,0.04578961005311569,8120127,0.07078313253012047,-0.3211174764014709
0,2501.0,250,19,0.1539594576841968,-0.9208730202678008,1.2636987527264982,0.14290357334680445,0.3990454499510693,1.9129090720520625,0.8794703886174821,0.03844704330518555,8120128,0.03705143153258195,0.3193920066592157
0,2501.0,250,7,-0.2813131104841571,3.3193564470014745,1.0097504674416602,0.051898005258298484,0.6130810646466207,1.2068306636316837,0.13065721256053314,0.041010817463402,8120129,0.029375566783262082,1.1899228039873708
0,2501.0,250,14,-0.9626908569247388,-2.4338026261574917,2.22281375060648,0.03186041016115538,1.6673059255810507,3.88782227191661,3.61980002019421,0.022826791035108176,8120130,0.043690892602668736,-0.11852274733791718
0,2501.0,250,22,-1.638223463828921,-1.172994251653622,3.5379486710990573,0.035124579902312984,2.787118475084576,5.0911564314944835,4.55234678976662,0.02877099797037613,8120131,0.033197305350434,3.4561828401476906
