start,end,N,SS,FerL,FulD,TajD,FayH,ZngE,bsfs,btree,Colless,path,iColless,ibtree
0,2501.0,250,21,-1.2096618295176962,1.1834217993038445,2.480261664612028,0.013734802774609988,1.999423075205951,5.020108066408596,1.79839275132211,0.039642440730664585,8120000,0.03854126182147947,0.2592898396338909
0,2501.0,250,12,-0.8053085368888597,0.03953603075383266,2.104993334702326,0.051118320404554086,1.4842843464375517,3.389589440952523,1.392855471901299,0.02804227663341538,8120001,0.045731312346158834,0.3423617416454016
0,2501.0,250,16,0.2504895437976841,-0.5928903682049141,0.045665046687285486,0.05072661971492338,-0.1813163831544044,3.3928094325872444,0.3434513642242325,0.040419743490089394,8120002,0.03585308977846872,2.4107337026421
0,2501.0,250,12,0.03438614351109485,2.4353233333940723,0.7632369855947494,0.08442102318110706,0.2782638137221645,1.348769540475956,1.3012759584572116,0.03443883059118194,8120003,0.03204754501878482,2.14078535815049
0,2501.0,250,9,0.3170664365836416,0.7828117394489834,1.1287587081278436,0.19521527836277205,0.19132111370538352,0.9860759459968262,1.999575918280756,0.022389095552717786,8120004,0.030347195232543075,0.8848217087812258
0,2501.0,250,8,-1.7101950034217446,-2.133690217292945,2.9650861218653395,-0.05949321126626982,2.5126797697854517,3.111300349103736,1.5042633401808645,0.041051301982122035,8120005,0.040419743490089394,-0.4810627253450502
0,2501.0,250,9,-0.1393322930683575,-2.2007292414680393,1.3675857717087196,0.11972104411613366,0.6477032778098339,2.6896020549721342,1.8383938847045018,0.02719749967612385,8120006,0.06273481020857624,-0.36526632988273866
0,2501.0,250,17,-0.008562152058110088,-0.7127076431669839,1.6509807349961787,0.15291104335060648,0.6839489360988379,1.8142554560946975,0.8961439311133151,0.038633026730578224,8120007,0.0447272962819018,0.1351227795719652
0,2501.0,250,17,-0.5926085173816129,-1.6187954659433672,2.0564422995143947,0.08442519949582115,1.3167309361948387,3.943096045916053,2.8355775744425835,0.027626635574556288,8120008,0.04388521829252494,0.6177371595501959
0,2501.0,250,11,-0.18698716562936987,-1.029123745469293,1.0572575280887184,0.07102805646019927,0.5696631944554376,2.998441508822624,0.941171686840612,0.03780282420002591,8120009,0.040225417800233185,1.943701204670288
0,2501.0,250,15,-0.9147431042261099,0.5430819992150967,2.555407063278112,0.07312679357821555,1.7690185868149946,2.7324815929333233,1.544198364714833,0.030088094312734813,8120010,0.04929394999352248,-0.7205272649888488
0,2501.0,250,15,-1.21252891532826,-1.4636660782230702,2.5997650609416443,0.021222761587710682,2.024651101107735,2.3007591785255546,1.0751131656996793,0.03725385412618215,8120011,0.03640367923306128,0.7557666883969253
0,2501.0,250,12,-0.3562275825937816,0.0395360307538328,0.8812752130196112,0.017549946137057282,0.6366021828676312,3.5651537979615626,2.3153092472918684,0.02771917161734495,8120012,0.0378935095219588,0.8118678441923963
0,2501.0,250,14,-0.2570833944732979,-0.3126827056713453,2.0114854655164387,0.1470132256579513,1.0191227295359435,2.1726466023870232,0.7515651431639506,0.03771537763959062,8120013,0.052014509651509264,0.9473872023802106
0,2501.0,250,19,0.741999724434908,3.2107911004375262,-0.930350958202527,0.04624808606306988,-0.9776156832815138,-1.1662639452806172,-0.6334984631192685,0.043094035126681834,8120014,0.039804378805544764,1.4215632791801045
0,2501.0,250,12,-0.4166882316722952,3.633216984714192,1.1459086827859453,0.0322087613432547,0.7907262126076167,3.937987534949986,1.92764050115876,0.026266355745562898,8120015,0.06905039512890271,0.344241361027924
0,2501.0,250,22,-0.2470274792011677,-2.633615329683029,1.409313422925116,0.08333724731584494,0.785599959858707,4.490546237129924,0.8802841761509542,0.03141598652675217,8120016,0.046702940795439817,0.9682633151665414
0,2501.0,250,14,-0.5176866898362645,0.7478772545717275,2.2476879279872817,0.11993254272113975,1.3225276298123767,2.4036981291740105,0.794222390153252,0.034935440687481105,8120017,0.0519497344215572,-0.5140612150247174
0,2501.0,250,10,-0.40153424465369947,-2.2591619954937,1.4603848828907775,0.06974322330316034,0.8968364926815018,2.564890909537157,0.8980264848934922,0.03425799974089908,8120018,0.04093794532970592,0.7441244806259208
0,2501.0,250,20,-0.8535455023218455,-1.803497432055012,2.325176303370857,0.06148848888940521,1.646641030830214,4.04884015594105,2.217094651066464,0.02686012868679017,8120019,0.04114846482705013,0.01557262724889006
0,2501.0,250,18,-0.5190233551172697,-0.8215446257946851,1.528836224029296,0.04822094616814701,1.044179634698018,4.167076337713222,1.4181526101395845,0.04317269076305221,8120020,0.044306257287213366,-0.058184385039069475
0,2501.0,250,25,-1.059879840604659,-1.373139834581267,2.3101362084255763,0.025329171705561048,1.8206428265743504,1.890082569380821,0.8333189374604615,0.03728894070907285,8120021,0.03815261044176707,0.7801062123280927
0,2501.0,250,13,-0.9202231916584984,-1.2721674407506365,2.230378110934525,0.040705018476516516,1.6314481583340037,4.40437895654226,2.4655447010116815,0.030266226195102993,8120022,0.049520663298354715,0.6251150466074412
0,2501.0,250,16,-1.6159292031895085,-1.5450791905361416,3.43401941082422,0.026128732102817208,2.6926324393279693,4.5387799422429165,2.2730275693916124,0.02817722502914885,8120023,0.024096385542168672,3.8383802270915335
0,2501.0,250,15,-0.8080929331896909,-1.4636660782230697,1.7894901544933186,0.019611220112008342,1.372460455668565,4.521258872188486,1.510203830447431,0.029586086280606293,8120024,0.03653322969296542,0.4397134396628739
0,2501.0,250,30,-1.4967922993533318,-2.187100786286205,3.1182027878872325,0.024836828441702784,2.5265075505861545,4.414779869335335,2.4518142096129707,0.03150775143585093,8120025,0.04171524808913072,-0.3579786953356567
0,2501.0,250,11,-0.6401639065540449,0.2523487190495646,1.5511545139318743,0.028205840252146643,1.1268979813291855,3.701408455123433,1.7997163186243519,0.02382648875070173,8120026,0.046136157533359236,3.0367088728112863
0,2501.0,250,12,0.1497142510203332,3.6332169847141933,0.0015498127987179748,0.030380316376170332,-0.1186055628582984,4.72985831489979e-06,3.0881578085561836,0.02322515869931338,8120027,0.06853219328928617,0.8999748621527864
0,2501.0,250,25,-0.5581920317499072,0.5904455113797498,1.7889317875458577,0.06327522146439929,1.199482679397338,4.6065979540210025,1.3257073296255115,0.0331082394092499,8120028,0.04106749578961005,0.21856283375373015
0,2501.0,250,15,-0.8519129926803901,2.549830076653264,1.6954550678766578,0.002305743957543357,1.369183115741735,4.18972084552233,3.3576906790435963,0.02663341538195794,8120029,0.03381267003497862,1.6310500489900974
0,2501.0,250,7,-0.5959724812823806,-2.0558699516774643,1.7741119787847277,0.06610981916493959,1.1578249940028622,1.757697171589629,0.8621800492516449,0.03358595673014639,8120030,0.056224899598393566,0.3032835761535853
