start,end,N,SS,FayH,bsfs,ZngE,TajD,FulD,FerL,btree,Colless,path,iColless,ibtree
0,2501.0,250,19,0.12319541647857465,2.210032626821489e-06,-0.77193921915314,-0.26102800785970315,1.5581254521553949,0.8306489419316727,0.2873370322255133,0.028385045558578407,8050000,0.05062184220753983,-2.0226463489423443
0,2501.0,250,15,0.1549559111252237,0.9785521575928864,-0.4530178835757458,0.24892013244203226,-1.4636660782230697,0.6946541463299402,0.4078259022960245,0.030523854950594162,8050001,0.05787666796217127,-1.9417606137278316
0,2501.0,250,15,-0.05210237555674521,-0.4764908760403738,0.8743047867904047,0.8040076046574183,0.5430819992150969,-0.6860145522313494,-0.3483679879520348,0.03873963596320767,8050002,0.07183573001684156,-2.762951755871531
0,2501.0,250,19,0.09575171085930394,2.8156465459286313,0.2701548657639548,0.8500942847009995,-0.9208730202678008,0.1014230308470026,-0.2283280239682836,0.04194196139396295,8050003,0.042600509565142296,-0.5038078691189948
0,2501.0,250,12,0.11272285083401057,0.3751765838403733,-0.6349210624872504,-0.23752859240612045,0.0395360307538329,0.6778353112170272,1.1113252696851779,0.024120676253400697,8050004,0.0997754458694995,-2.7524849465529955
0,2501.0,250,14,0.04915530059130197,2.0747214898378603,0.2226848663103069,0.526701521176136,-0.31268270567134554,-0.011924666588372846,-0.4834108585488542,0.04400667184868507,8050005,0.047491039426523295,-1.2801701207306833
0,2501.0,250,12,0.04805528439131882,2.31804539682392,-0.060809051705804126,0.1607686412488812,0.03953603075383266,0.1572040945521467,0.02626768855030176,0.033899037008248034,8050006,0.06790063479725353,-1.9649551724893481
0,2501.0,250,13,-0.08884362739893888,0.4656025840753618,1.0747802288948218,0.887901900379121,2.102545607051514,-0.9000430085735854,0.08006632122367982,0.033683119575074486,8050007,0.03552921362870838,0.0367049247123504
0,2501.0,250,10,0.10428380528080364,1.331586504129518e-05,-0.8718951033256259,-0.6140842436292523,-0.8809206284569866,0.7910838930972776,-0.3175175070376697,0.040378102270834486,8050008,0.06973053504339939,-1.3465896775118271
0,2501.0,250,21,0.017935933380636985,4.450501362251865,0.8726755295215436,1.1490066782829056,2.7028127805474345,-0.4934292042070914,0.3712962692709985,0.02999497991967872,8050009,0.03844409897655137,-0.27467156435879364
0,2501.0,250,10,0.10880472482771313,1.331586504129518e-05,-0.8850292488405305,-0.6095233163744801,0.4973207385797266,0.8098699632609204,0.8126612233289096,0.02790317597935165,8050010,0.07692058556807876,-2.32267173398417
0,2501.0,250,22,0.12746877306453674,2.7297784718080735,0.188569987101846,0.9413046193528334,-2.633615329683029,0.25494263815608154,0.34637451814106635,0.02834378990616845,8050011,0.06744720818758906,-1.9634159069412305
0,2501.0,250,8,0.045716088238438514,-1.3684960675057676,-1.0464665883994382,-1.1435132262949643,6.001904219329237,0.7570988253923191,-0.2915059425895896,0.0409217515222179,8050012,0.043269853607980316,-1.0305608657713041
0,2501.0,250,15,0.017751749178505645,2.2079040060996507,0.25488754061953434,0.4057204962759156,-1.4636660782230697,-0.11267335390815672,0.33937731761030904,0.03032695297318305,8050013,0.05148011400440472,-1.3332111219124148
